,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Paris Saint-Germain,15,6.6,11.9,10.9
1,Lille,14.7,5.7,10.5,12.6
2,Marseille,14.6,4.9,9.4,11
3,Rennes,13.9,5.1,10.8,10
4,Lens,13.9,4.9,8.6,12.7
5,Reims,13.8,4.7,9.1,11.1
6,Lyon,13.7,5.4,10.5,11.9
7,Nice,13.5,5.2,11.1,9.9
8,Monaco,12.6,5.5,8.4,10.8
9,Toulouse,12,4.8,7.4,10.9
10,Strasbourg,11.8,4.3,8.9,12.5
11,Nantes,11.8,4.2,9.9,10.9
12,Montpellier,11.6,4.6,8.9,13.8
13,Auxerre,11.3,3.3,8.9,11
14,Brest,11.2,3.7,7.1,12.2
15,Lorient,10.6,4.1,10.7,13.2
16,Clermont Foot,10.6,4,9.2,15.6
17,Troyes,10.4,3.7,9.6,10.6
18,Angers,9.8,3.4,11.6,11.1
19,AC Ajaccio,8.4,2.3,7.4,13
