,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Paris Saint-Germain,16.6,7.2,15,10.8
1,Monaco,13.6,5,10.9,12.3
2,Marseille,13.4,4.3,11.3,11.4
3,Angers,13,4.1,10.4,11.3
4,Lyon,12.9,4.9,12.1,11.1
5,Nimes,12.8,3.8,8.3,14.3
6,Montpellier,12.6,4.2,7.8,13.8
7,Lille,12.5,4.6,11,12.3
8,Rennes,12.2,4.1,9.3,14.4
9,Strasbourg,12.1,4.1,9.5,11.5
10,Nice,12.1,4.8,13,12.9
11,Reims,12.1,3.3,10.8,13.8
12,Dijon,12,3.7,11.2,11.9
13,Nantes,11.9,4.1,11.5,12.1
14,Brest,11.6,3.7,7.5,10.2
15,Toulouse,11.3,3.5,10.2,10.5
16,Metz,11.1,3.6,12,12.3
17,Bordeaux,11.1,3.9,9.8,12.9
18,Saint-Etienne,11,3.6,10.3,11.6
19,Amiens,8.4,3,8.8,11.4
