,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Harry Kane,25.9,69.9,0.2,1.9,0.1
1,Kevin De Bruyne,49.1,81.7,1.6,2.4,0.2
2,Jack Grealish,38.3,83.3,0.7,1.2,0.1
3,Bruno Fernandes,57.1,78.3,1.1,3.8,0.2
4,Tomás Soucek,42.3,75.5,-,2.2,-
5,Mason Mount,47.3,86.5,1.7,1.6,-
6,Sadio Mané,28.8,78.7,0.3,0.8,-
7,Ilkay Gündogan,63.3,91.7,0.3,1.7,-
8,João Cancelo,65.1,87.2,0.4,2.3,0.1
9,Gareth Bale,18.3,73.2,0.6,1.5,0.1
10,Son Heung-Min,28.6,83.4,1,0.8,-
11,Wilfred Ndidi,55.1,86.9,-,2,-
12,Raphinha,29.2,72.3,1.3,1.5,-
13,James Rodríguez,44.8,83.3,0.7,4.3,0.2
14,Riyad Mahrez,35.9,88.1,0.6,0.8,-
15,Raheem Sterling,35.3,86,-,0.3,-
16,Ollie Watkins,21.7,71.5,0.1,0.2,-
17,Michail Antonio,17.4,68.2,0.1,0.5,-
18,Dominic Calvert-Lewin,20.5,68.7,0.1,0.5,-
19,Rodri,80.8,91.3,0.1,4.4,-
20,Aaron Wan-Bissaka,53.1,84.9,0.4,0.8,-
21,Phil Foden,27.2,88.2,0.5,0.3,-
22,Marcus Rashford,32.1,82.1,0.2,0.9,-
23,Thiago Alcântara,71.7,89.6,-,5,0.1
24,Pedro Neto,32.4,88.4,1.9,0.5,-
25,Allan Saint-Maximin,16.7,82.5,0.2,0.6,-
26,Roberto Firmino,36.1,80.7,-,0.6,0.1
27,Jamie Vardy,12.8,67.5,0.1,0.1,-
28,Adama Traoré,18.8,76.2,0.6,0.4,-
29,Youri Tielemans,65.2,81.7,0.6,3,0.2
30,Lucas Digne,42.2,77.5,1.5,1.3,-
31,Christian Benteke,19.2,58.6,-,0.3,-
32,Kurt Zouma,74,90.9,-,3.8,-
33,Solly March,34.1,76,0.9,2,-
34,James Ward-Prowse,64.1,86.4,1.4,2.1,-
35,Mohamed Salah,34.1,83.7,0.2,0.6,0.1
36,Liam Cooper,65.9,85.6,-,3.8,-
37,Bernardo Silva,51.3,91.6,0.1,1.9,-
38,Sèrge Aurier,41.7,80.8,0.5,1.1,0.1
39,Paul Pogba,51.3,83,0.1,3.7,0.1
40,Harry Maguire,65.5,87.3,-,4.5,-
41,Gabriel Jesus,24.8,85,0.1,0.4,-
42,John Stones,78.5,93.3,-,2.8,-
43,James Justin,45.8,80.5,0.3,1.2,-
44,Luke Shaw,50.3,85,1.8,0.9,-
45,Patrick Bamford,13.3,77.3,-,0.1,0.1
46,James Tarkowski,35,70.1,0.1,3.6,-
47,Antonio Rüdiger,80.2,89.4,0.1,4,-
48,Trent Alexander-Arnold,66.1,79.4,1.9,4.2,0.1
49,Wesley Fofana,60.3,86.4,-,2.7,-
50,Declan Rice,47.7,88,0.3,2.3,-
51,Kalvin Phillips,48.4,84.7,1,4.7,0.1
52,James Maddison,32.9,83.3,0.8,1.1,0.1
53,Ben Chilwell,54.4,82,1,1.9,-
54,Emiliano Martínez,29.8,62.5,-,7,-
55,Frank Anguissa,39.3,84.2,0.1,1.1,0.1
56,Yves Bissouma,46.8,87.4,-,2.1,-
57,Richarlison,22,70,0.1,0.4,0.1
58,Harvey Barnes,24.2,75.2,0.1,0.7,-
59,Jack Harrison,27.5,74,0.9,0.9,-
60,Matheus Pereira,28.5,79.6,1.1,1.5,0.2
61,Vladimír Coufal,37.6,71.2,1,1,-
62,Pierre-Emile Højbjerg,72.8,88.5,-,2.8,-
63,Luke Ayling,62.7,79,0.4,4.6,0.1
64,Reece James,53,88.4,1.1,2.3,-
65,Oriol Romeu,60.7,82.6,0.1,1.8,-
66,Matty Cash,36,75.7,0.8,2,-
67,Scott McTominay,40.6,87,0.1,2.1,-
68,Ben Mee,37.4,71.1,-,3.7,-
69,Fred,60.2,87.7,-,3.3,0.1
70,César Azpilicueta,72.6,86.9,0.3,1.5,0.1
71,Ademola Lookman,30.9,80.9,0.9,0.6,0.1
72,Michael Keane,55.4,87.2,-,3.7,-
73,Rúben Dias,83.5,93.2,-,3.4,-
74,Thiago Silva,84.3,93,-,5,-
75,Illan Meslier,30.9,77.1,-,4.8,-
76,Matt Targett,44.3,78,0.7,3.1,-
77,Diogo Jota,22.4,74.9,0.1,0.4,0.1
78,Nélson Semedo,45.8,81,0.5,1.6,-
79,Jannik Vestergaard,58.8,83.6,-,3.6,-
80,Alexandre Lacazette,16.6,78.8,-,0.4,0.1
81,Andros Townsend,20.7,73.7,1.6,0.5,-
82,John McGinn,36.9,79.4,0.3,3.3,0.1
83,Wilfried Zaha,24.5,78.3,0.2,0.3,0.1
84,Andy Robertson,70.5,84.4,1.6,2.1,-
85,Bukayo Saka,30.6,81.8,1,0.4,-
86,Jorginho,63.7,89.2,0.1,2.7,0.1
87,Jonny Evans,66.1,85.9,-,3.9,-
88,Stuart Dallas,51.6,83.7,0.3,2,-
89,Dwight McNeil,30.7,78.9,1.4,1.8,-
90,Nick Pope,26.2,44.6,-,8.7,-
91,Romain Saïss,52.2,81.1,0.1,3.9,-
92,Tanguy Ndombélé,35.5,85.6,0.1,0.6,0.1
93,Yerry Mina,52.4,90.1,-,2.2,-
94,N'Golo Kanté,51,86.5,-,2.3,-
95,Toby Alderweireld,57.5,82.5,-,4.4,0.1
96,Dani Ceballos,50.9,87.2,0.4,2.8,0.1
97,Bertrand Traoré,19.4,77.7,0.6,1.2,0.1
98,Mateo Kovacic,65.3,90.8,-,3.5,0.1
99,Joël Veltman,44.6,77.7,0.7,2.5,-
100,Oleksandr Zinchenko,68.4,89.8,0.3,1.5,-
101,Antonee Robinson,37.4,74.9,1,1.2,-
102,Kelechi Iheanacho,20.2,79.8,0.2,0.4,0.2
103,Anthony Martial,21.9,84.4,-,0.2,-
104,Lewis Dunk,67.4,89.4,-,5.5,-
105,Kyle Walker-Peters,44.1,80.9,0.2,1.1,-
106,Danny Ings,17.3,66.3,0.1,0.4,-
107,Callum Wilson,13.1,69.5,-,0.1,-
108,Trézéguet,13.7,75.7,0.2,0.6,-
109,Timothy Castagne,49,84.3,0.3,0.9,-
110,Pascal Groß,41.9,81.6,2,2.7,-
