,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Jude Bellingham,8,4,2.2,2.8,2.4,0.1,1.9,1.9
1,Joshua Kimmich,5,6,0.8,0.4,1.5,-,0.8,0.8
2,Niclas Füllkrug,16,5,2.8,1.1,1.7,1,1.8,1.8
3,Christopher Nkunku,16,4,3,1.5,1.5,0.5,1.5,1.5
4,Jamal Musiala,12,10,2,2.3,1.3,-,2.1,2.1
5,Dominik Szoboszlai,6,8,1.9,1.7,1.3,0.1,1.1,1.1
6,Randal Kolo Muani,15,11,2.4,2.2,2.2,0.7,2,2
7,Julian Brandt,9,8,1.3,1.3,0.7,0.2,1.1,1.1
8,Raphaël Guerreiro,4,12,1.2,1,0.4,0.1,0.7,0.7
9,Vincenzo Grifo,15,5,2,1.3,0.9,0.2,0.8,0.8
10,Jonas Hofmann,12,9,1.5,0.5,1.3,0.7,1.1,1.1
11,Sébastien Haller,9,3,1.8,0.5,0.7,0.2,0.8,0.8
12,Donyell Malen,9,5,2.5,2,1.5,0.1,1.5,1.5
13,Kingsley Coman,8,5,2,2,0.9,0.2,0.8,0.8
14,Eric Choupo-Moting,10,2,1.6,1.1,0.4,0.6,0.8,0.8
15,Benjamin Pavard,4,1,1.1,-,0.6,0.2,0.1,0.1
16,Alphonso Davies,1,4,0.7,2.7,1,0.1,1,1
17,Thomas Müller,7,8,1.7,0.3,0.4,0.2,0.7,0.7
18,Jeff Chabot,-,2,0.7,0.2,1,0.1,0.1,0.1
19,Jeremie Frimpong,8,7,1.1,2.5,1.7,0.2,1.4,1.4
20,Michael Gregoritsch,10,4,2.2,0.4,1.4,0.4,0.7,0.7
21,Serge Gnabry,14,5,2.4,0.8,0.3,0.3,0.8,0.8
22,Marcus Thuram,13,6,3.1,1.4,1.5,0.6,1.7,1.7
23,Leroy Sané,8,7,2.4,2.3,0.7,0.2,1.9,1.9
24,Nico Schlotterbeck,4,5,0.6,0.4,0.6,-,0.3,0.3
25,Florian Kainz,6,10,1.7,1,1.3,-,1.1,1.1
26,Moussa Diaby,9,8,2.4,1.5,0.7,0.3,1.3,1.3
27,Willi Orbán,4,-,0.8,0.2,1,0.1,0.2,0.2
28,Ellyes Skhiri,7,1,1,0.8,0.3,0.1,0.6,0.6
29,Maximilian Arnold,5,3,1.1,0.3,2,-,0.7,0.7
30,Frederik Rønnow,-,-,-,-,0.1,-,-,-
31,Borna Sosa,2,7,0.6,0.7,0.5,-,0.6,0.6
32,Philipp Hofmann,8,2,1.5,0.3,1.2,0.5,1.1,1.1
33,Konstantinos Mavropanos,2,1,1.7,0.6,0.8,-,0.2,0.2
34,Paulo Otávio,-,5,0.8,0.9,1.6,-,0.3,0.3
35,Marvin Ducksch,12,6,2.8,0.4,0.5,0.4,0.5,0.5
36,Patrick Wimmer,4,8,1.2,1,1.2,0.3,1.2,1.2
37,Jonas Hector,-,2,0.8,1,2.4,-,0.6,0.6
38,Danilho Doekhi,5,1,0.7,0.1,0.6,-,0.1,0.1
39,Mats Hummels,1,-,0.6,0.2,0.6,0.1,0.3,0.3
40,Wataru Endo,5,4,1.4,0.8,1.7,0.1,1.6,1.6
41,Ramy Bensebaïni,6,1,1.5,0.4,1.6,0.1,0.6,0.6
42,Matthias Ginter,4,1,0.6,0.1,0.8,-,0.1,0.1
43,Mitchell Weiser,2,9,0.9,1.4,1.9,0.2,1.4,1.4
44,Matthijs de Ligt,3,1,0.7,-,0.5,0.1,0.1,0.1
45,Dani Olmo,2,5,1.9,1.7,1.7,-,1.3,1.3
46,Christoph Baumgartner,7,3,2,1.6,1.5,0.3,1.1,1.1
47,Sheraldo Becker,11,7,2,0.8,0.8,0.7,1,1
48,Rodrigo Zalazar,1,6,1.7,1.6,1.6,0.2,1.4,1.4
49,Ritsu Doan,5,4,1.7,1.5,1.6,0.2,1.6,1.6
50,Timo Hübers,3,-,0.5,0.2,0.8,-,0.1,0.1
51,Leon Goretzka,3,2,1.5,0.3,0.7,0.1,0.4,0.4
52,Emre Can,2,1,0.6,0.5,1,-,0.4,0.4
53,Lucas Tousart,5,2,1.3,0.7,1.3,-,0.8,0.8
54,Robin Knoche,2,3,0.3,0.3,0.7,-,0.2,0.2
55,Marc Oliver Kempf,1,-,0.5,0.4,0.8,-,0.2,0.2
56,Noussair Mazraoui,1,4,0.4,0.9,0.6,0.2,0.3,0.3
57,Konrad Laimer,3,-,1,1.5,1,0.1,1,1
58,Felix Nmecha,3,5,1.2,0.9,1.3,-,0.4,0.4
59,Karim Adeyemi,6,5,1.6,1.4,1.3,-,1.1,1.1
60,Sadio Mané,7,5,2.2,1,1,0.8,0.6,0.6
61,Anton Stach,1,4,1.2,0.8,1.3,0.1,0.5,0.5
62,Dodi Lukébakio,11,3,2,2.1,1.8,0.5,1.5,1.5
63,Robert Andrich,2,2,1,0.1,0.7,-,0.1,0.1
64,Lucas Höler,5,2,1.2,0.4,1.4,0.3,0.5,0.5
65,Kevin Stöger,5,3,1.5,0.7,1.7,-,1.1,1.1
66,Kevin Behrens,8,1,1.1,0.4,0.8,0.4,0.6,0.6
67,Ihlas Bebou,7,-,1.5,1.4,0.5,0.4,0.9,0.9
68,Karim Onisiwo,10,2,2.2,1.2,1.1,0.7,1.6,1.6
69,Timo Werner,9,3,2.3,1,0.5,0.9,0.8,0.8
70,Exequiel Palacios,4,2,0.8,0.4,1.6,-,1,1
71,Marius Wolf,1,1,0.9,1.4,0.9,0.1,0.5,0.5
72,Aurélio Buta,3,2,0.5,0.6,0.9,0.1,0.5,0.5
73,Manu Koné,1,1,0.9,1.9,2.5,-,1.7,1.7
74,Philipp Lienhart,1,-,0.6,0.1,1.1,-,-,-
75,Lukas Kübler,2,1,0.4,0.2,0.7,-,0.1,0.1
76,Lars Stindl,8,7,1.7,0.3,1.3,0.3,0.9,0.9
77,Daichi Kamada,9,6,1.4,0.5,0.8,0.2,0.8,0.8
78,Rafal Gikiewicz,-,-,-,-,0.2,-,-,-
79,Mark Flekken,-,-,-,0.1,0.1,-,-,-
80,Niklas Süle,2,3,1.1,0.3,0.2,-,0.3,0.3
81,Nicolas Höfler,-,1,0.7,0.5,1.6,-,0.4,0.4
82,Gregor Kobel,-,-,-,-,0.1,-,-,-
83,Lee Jae-Sung,7,4,1,0.7,0.7,0.2,0.7,0.7
84,Koen Casteels,-,-,-,-,0.1,-,-,-
85,Christopher Trimmel,-,6,0.6,0.3,0.3,-,0.3,0.3
86,Serhou Guirassy,11,-,2.2,0.6,2,0.5,0.9,0.9
87,Benjamin Henrichs,2,2,1,0.7,0.9,0.1,0.6,0.6
88,Ermedin Demirovic,8,4,2.1,0.6,1,0.4,1.1,1.1
89,Stefan Bell,-,-,0.2,0.2,0.4,0.1,0.1,0.1
90,Ko Itakura,-,2,0.5,0.3,0.6,-,0.1,0.1
91,Leandro Barreiro,4,3,1,0.2,1.1,0.1,0.4,0.4
92,Ridle Baku,5,3,0.8,0.7,1,0.1,0.6,0.6
93,Angeliño,-,9,0.6,0.4,0.9,0.2,0.5,0.5
94,Marius Bülter,11,1,2.1,1,1.5,0.2,0.8,0.8
95,Tuta,2,1,0.5,0.4,0.6,-,0.4,0.4
96,Ivan Ordets,-,-,0.6,0.1,0.8,0.1,0.1,0.1
97,Junior Dina Ebimbe,3,1,1.4,0.9,0.6,0.1,0.8,0.8
98,Dayot Upamecano,-,1,0.2,0.3,0.5,-,0.3,0.3
99,Jakub Kaminski,4,2,1.3,0.9,0.4,0.1,1,1
100,Marco Richter,6,5,1.7,1.2,1.1,0.2,1.2,1.2
101,Kevin Akpoguma,-,-,0.3,0.3,0.7,-,0.3,0.3
102,Oliver Baumann,-,-,-,-,-,-,-,-
103,Anthony Losilla,2,2,0.9,0.3,0.5,0.1,0.3,0.3
104,Xaver Schlager,1,1,0.2,0.6,1.1,-,0.6,0.6
105,Kerem Demirbay,4,3,1.2,0.3,0.9,-,0.8,0.8
106,Hiroki Ito,1,1,0.7,0.2,0.6,0.1,0.2,0.2
107,Anthony Caci,2,1,0.3,0.3,0.3,-,0.3,0.3
108,Amine Adli,5,3,1.4,1,1.8,0.2,0.7,0.7
109,Mërgim Berisha,9,4,2.4,0.2,1.3,0.7,1.2,1.2
110,Marco Reus,6,4,1.5,0.4,0.7,0.1,0.6,0.6
111,Nico Elvedi,3,-,0.6,-,0.3,-,0.1,0.1
112,Eric Martel,1,1,1,0.2,0.9,-,0.9,0.9
113,Ozan Kabak,2,2,0.8,0.5,0.5,-,0.2,0.2
114,Maximilian Eggestein,1,2,0.5,0.3,0.7,-,0.7,0.7
115,Jonas Wind,6,-,1.3,0.3,0.9,-,0.8,0.8
116,Evan Ndicka,1,-,0.6,0.2,0.5,-,0.2,0.2
117,Josko Gvardiol,1,-,0.5,0.5,0.4,-,0.2,0.2
118,Marco Friedl,-,-,0.2,0.3,0.8,0.1,0.3,0.3
119,Piero Hincapié,1,1,0.6,0.5,1.2,-,0.3,0.3
120,Jesper Lindstrøm,7,2,1.7,1,0.7,0.1,1.3,1.3
121,Aarón Martín,5,3,0.7,0.4,0.4,0.1,0.5,0.5
122,Tom Krauß,2,-,0.8,0.6,1,-,1,1
123,Micky van de Ven,1,1,0.5,0.6,0.8,-,0.3,0.3
124,Suat Serdar,4,2,0.7,1.1,1,-,1,1
125,Maxence Lacroix,1,-,0.2,0.3,0.5,-,0.3,0.3
126,Christopher Lenz,-,2,0.5,0.5,0.5,-,0.2,0.2
127,Rani Khedira,2,-,0.7,0.3,0.4,-,0.5,0.5
128,Mario Götze,3,1,0.8,0.8,1.4,0.1,1.4,1.4
129,Robin Zentner,-,-,-,-,0.1,-,-,-
130,Chris Führich,5,2,1.3,1.5,0.3,0.1,0.9,0.9
131,Christian Günter,1,4,0.8,0.3,0.4,0.2,0.4,0.4
132,Andrej Kramaric,12,3,2,0.9,1.1,0.3,1,1
133,Mohamed Simakan,1,1,0.5,0.5,1,0.1,0.3,0.3
134,Roland Sallai,1,3,1.7,0.6,1.6,0.2,0.5,0.5
135,Leonardo Bittencourt,3,2,1,1,1.6,0.1,0.4,0.4
136,Janik Haberer,5,1,1,0.3,1.2,-,0.6,0.6
137,Edmond Tapsoba,1,-,0.5,0.5,0.5,0.1,0.4,0.4
138,David Raum,-,2,0.5,0.3,0.5,0.1,0.3,0.3
139,Maya Yoshida,-,-,0.4,0.2,0.6,-,0.1,0.1
140,Mattias Svanberg,4,6,0.9,0.5,0.9,0.1,0.6,0.6
141,André Silva,4,3,1.9,0.7,1.4,0.3,1.4,1.4
142,Manuel Riemann,-,-,-,-,0.1,-,-,-
143,Janis Blaswich,-,-,-,-,0.1,-,-,-
144,Niklas Schmidt,3,-,0.9,1.4,0.6,-,0.5,0.5
145,Dominik Kohr,3,-,1.3,0.3,1.2,-,0.3,0.3
146,Jeffrey Gouweleeuw,-,1,0.5,0.4,0.3,0.1,0.2,0.2
147,Yannick Gerhardt,6,4,0.9,0.1,0.7,0.1,0.3,0.3
148,Silas Katompa Mvumpa,5,2,1.4,1.6,0.7,0.5,1.5,1.5
149,Jirí Pavlenka,-,-,-,-,0.2,-,-,-
150,Dennis Geiger,1,3,0.2,0.3,0.8,-,0.3,0.3
151,Djibril Sow,4,-,0.9,0.3,1.5,-,0.5,0.5
152,Edimilson Fernandes,-,3,0.5,0.5,0.4,-,0.4,0.4
153,Atakan Karazor,-,1,0.2,0.5,1.1,-,0.6,0.6
154,Youssoufa Moukoko,7,3,1.3,0.7,0.3,-,0.8,0.8
155,Christopher Antwi-Adjei,3,6,1,1.1,1.4,0.5,1.1,1.1
156,Sebastiaan Bornauw,1,-,0.2,0.1,0.3,-,0.1,0.1
157,Philipp Förster,3,7,0.7,0.2,0.5,-,0.6,0.6
158,Alassane Pléa,2,9,1,0.6,1.1,0.1,0.8,0.8
