,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,22.1,77.5,-,0.6,0.2
1,Thiago Alcântara,83.6,91.8,0.5,7.3,0.1
2,Kerem Demirbay,48.8,81.2,1.7,2.9,0.2
3,Marcel Halstenberg,40.9,74.3,1.6,1.4,-
4,Sébastien Haller,27,63.5,-,0.4,0.1
5,Jadon Sancho,38.3,84.9,0.8,0.6,0.1
6,Joshua Kimmich,74.1,90.5,2.2,4.2,0.1
7,Thorgan Hazard,34.8,76.9,1.4,1.6,0.2
8,Willi Orbán,41.6,78.2,-,2.7,-
9,Lukasz Piszczek,56.2,83.3,0.6,1.3,0.2
10,Marco Reus,37.6,81.8,0.4,1.5,0.1
11,Kingsley Coman,29.4,85,0.7,0.5,-
12,Ishak Belfodil,15.6,72.2,0.1,0.1,-
13,Kevin Volland,25.3,75,0.6,0.7,0.1
14,Daniel Caligiuri,37.2,68.5,1.5,2.7,-
15,Yussuf Poulsen,24.9,60.8,0.2,0.3,0.1
16,Marko Grujic,43.1,81.9,-,1.6,-
17,Filip Kostic,29.7,64.6,1.4,1.4,0.1
18,Julian Brandt,51.6,81.4,1.2,2.4,0.2
19,Kai Havertz,52.6,87.2,0.1,2.2,0.1
20,Wout Weghorst,23.6,69.5,0.1,0.5,0.1
21,James Rodríguez,43.9,87.1,1.6,2.4,0.2
22,Max Kruse,49.9,79.1,1.7,3.4,0.1
23,Joelinton,24.7,79.3,0.2,0.3,0.1
24,Thomas Müller,37.5,74.7,0.2,1.2,0.1
25,Ibrahima Konaté,37,76,-,1.9,-
26,Kevin Stöger,54.8,85,1.2,5.4,0.2
27,Timo Werner,25.5,74.2,0.2,0.4,0.1
28,Mats Hummels,82.6,89.4,-,4.5,0.1
29,Serge Gnabry,26.4,83.4,0.3,1,0.1
30,Kevin Kampl,52.9,84.4,0.7,2.4,0.1
31,Thomas Delaney,53.6,85.5,0.1,2.7,-
32,Maximilian Arnold,39.6,80.8,1,4.7,0.1
33,Axel Witsel,72.8,93.1,-,2.4,0.1
34,Achraf Hakimi,63.4,86.1,0.4,2.1,0.1
35,Nils Petersen,21.3,68.2,-,0.7,-
36,William,43.8,74.4,0.9,4,-
37,Andrej Kramaric,31.9,80.9,0.8,1.2,0.1
38,Florian Grillitsch,51.6,83.5,0.2,3.5,0.1
39,Salif Sané,51.1,83.2,0.1,3.1,-
40,Theodor Gebre Selassie,41.9,79.8,0.3,0.9,-
41,Jérôme Roussillon,36.6,77.3,1.1,1.9,-
42,Emil Forsberg,23.9,81.6,0.7,0.8,0.2
43,Raphaël Guerreiro,46.1,85.5,0.7,0.9,0.1
44,Ondrej Duda,37.6,76.9,0.5,1.4,0.1
45,Marc Oliver Kempf,44,81.2,0.1,3.2,-
46,David Alaba,56.9,85.5,0.7,1.7,-
47,Lukas Klostermann,30.6,74,0.3,1.5,-
48,Charles Aránguiz,67.8,88.6,0.5,3.3,-
49,Mario Götze,33.3,81.5,0.3,0.7,0.2
50,Luka Jovic,18.7,70.4,0.1,0.9,0.1
51,Bastian Oczipka,36.8,77.1,2.4,1,-
52,Valentino Lazaro,38.9,76.3,1.5,1.6,-
