,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Cristiano Ronaldo,29.9,82.1,0.4,0.5,0.1
1,Zlatan Ibrahimovic,27.5,72,0.1,0.6,0.1
2,Lorenzo Insigne,48.7,83.7,0.7,3.2,0.2
3,Romelu Lukaku,20.4,72.5,0.1,0.4,0.1
4,Domenico Berardi,39.4,80.5,1,2,0.2
5,Rodrigo De Paul,51.1,79.8,2,4.5,0.2
6,Henrikh Mkhitaryan,33.9,78.5,0.4,0.9,0.2
7,Sergej Milinkovic-Savic,54.1,78.7,0.5,3.7,-
8,Théo Hernández,48,83.1,0.5,1.9,-
9,Hakan Çalhanoglu,41.7,84.1,2.2,2.3,-
10,Luis Muriel,17.4,74.9,0.6,0.5,-
11,Andrea Belotti,19.6,69.5,0.1,0.7,0.2
12,Lorenzo Pellegrini,38.2,82,1.7,1.9,0.2
13,Junior Messias,29.6,78.5,0.7,1.4,-
14,Federico Chiesa,23.1,80.4,0.7,1,0.1
15,Robin Gosens,43.1,81.8,0.6,1.1,-
16,Lautaro Martínez,14.5,68.4,0.1,0.6,-
17,Juan Cuadrado,49.4,87.7,1.4,2.8,-
18,Ruslan Malinovskyi,27.6,80.1,1.2,1.5,0.2
19,Piotr Zielinski,32.6,85.9,0.6,1.6,0.1
20,Ciro Immobile,24.7,74,0.1,0.6,0.1
21,Franck Kessié,53.9,88.9,0.1,2.8,-
22,Cristian Romero,42.2,86.2,-,2.3,-
23,Giovanni Di Lorenzo,60.8,86.9,0.4,2.3,0.1
24,Josip Ilicic,32.2,77.5,1,2.1,0.2
25,Luis Alberto,51.7,81.9,0.9,2.6,0.2
26,Victor Osimhen,9.8,71.5,0.1,0.2,-
27,Manuel Locatelli,80.9,88.3,0.3,4.9,-
28,Duván Zapata,20.6,79.5,0.2,0.3,-
29,Diego Godín,55.2,83.6,-,4.7,-
30,Davide Calabria,46.5,79.2,0.5,3,-
31,Marcelo Brozovic,66.7,89.6,1,4.3,0.1
32,Danilo,67.2,88.9,0.4,3.1,0.1
33,Milan Badelj,52.4,82.1,0.1,4.2,-
34,Simon Kjær,52.8,88,-,4.2,-
35,Paulo Dybala,31.7,87.8,0.9,1.5,0.1
36,JP Galvão,24.7,74.3,0.1,1.2,-
37,Remo Freuler,61.1,89,0.1,2.5,-
38,Ante Rebic,14.8,67.7,0.5,0.3,0.1
39,Fabián Ruiz,63,90.2,0.2,5.2,-
40,Leonardo Spinazzola,38.3,80.6,0.9,2.1,0.1
41,Achraf Hakimi,32.7,84.5,0.8,0.9,-
42,Marten de Roon,61.8,85.5,0.1,4,-
43,Hirving Lozano,16.7,76.6,0.4,0.3,-
44,Juraj Kucka,32.3,72.4,0.2,1.1,0.1
45,Nicolò Barella,51.1,84.9,0.4,2.2,0.1
46,Alex Sandro,48.3,87.7,0.5,2.5,-
47,Rodrigo Bentancur,55,89.8,0.3,3.2,-
48,Vlad Chiriches,66.7,93.7,-,2.3,-
49,Roberto Soriano,39.4,82.9,0.2,1.1,0.1
50,Davide Faraoni,34.3,71.6,0.4,2.3,-
51,Álvaro Morata,18,76.5,0.2,0.5,0.1
52,Andrea Consigli,31.9,78.8,-,4.4,-
53,Edin Dzeko,18,68.8,0.1,0.7,-
54,Berat Djimsiti,52.6,87.4,0.1,2.2,-
55,Omar Colley,46.6,81.1,-,4.4,-
56,Federico Dimarco,42.1,75.7,2.1,2.5,-
57,Dusan Vlahovic,16.1,66.3,-,0.4,-
58,Adrien Rabiot,41.6,90.8,0.1,1.2,-
59,Joaquín Correa,24.4,83.2,0.1,0.9,-
60,Milan Skriniar,67.5,92.2,0.1,2.6,-
61,Gianluca Mancini,59.8,88.2,0.1,3.3,-
62,Mattia Zaccagni,23.7,74.1,0.3,0.9,-
63,Stefan de Vrij,61.3,93.8,-,2.7,-
64,Dries Mertens,14.6,80.3,0.4,0.3,-
65,Morten Thorsby,29.2,74.9,-,0.5,-
66,Rafael Leão,15.3,75.7,0.2,0.2,-
67,Simone Bastoni,37.9,76.6,1.3,2.4,-
68,Kalidou Koulibaly,67.8,88.7,0.1,4.8,-
69,Bremer,50.2,82.7,-,3.5,-
70,Ibañez,56.6,86.9,-,3.2,-
71,Alessandro Bastoni,68,90.5,0.1,4.6,-
72,Francesco Acerbi,63.7,89.4,0.3,5.3,-
