,Name,AvgP,PSp,Crosses,LonB,ThrB
101,Edu Expósito,34.4,77.5,0.8,2.4,-
102,José Gayà,35.5,82.1,0.5,2.2,-
103,Jaume Domènech,28.1,64.9,-,9.4,-
104,Rubén Duarte,32.1,71.4,1.1,2.7,-
105,Yassine Bounou,28.7,75.7,-,6.1,-
106,Renan Lodi,25,83,0.7,1.2,-
107,Alfonso Espino,22.3,64.1,0.5,1.9,-
108,Andoni Gorosabel,34.4,80.8,0.6,1.1,-
109,Thierry Correia,32.3,74.7,0.4,2,-
110,Marc Cucurella,29.8,73,0.7,0.8,-
111,Javier Ontiveros,21.4,79.2,0.5,0.9,0.1
112,Diego Carlos,56.9,89.9,-,4.6,-
113,Jorge de Frutos,15.9,74.1,0.5,0.6,-
114,José Luís Morales,16.4,74.7,0.5,0.8,0.1
115,Robin Le Normand,51.5,85.1,0.1,2.4,-
116,Uros Racic,33.8,79.5,-,3.4,-
117,Marco Asensio,25.5,85.1,0.6,0.9,-
118,Aïssa Mandi,54.3,91,-,3,-
119,José Mari Martín,20.8,69.9,-,2.4,-
120,Djené Dakonam,29.6,73.3,-,2.5,-
121,Lucas Boyé,18.6,77.5,0.1,0.7,-
122,Nacho Monreal,37.6,81.6,0.2,1.3,-
123,Manu Trigueros,45.1,86.6,0.2,1.8,0.1
124,Rubén Peña,24.9,78.9,0.4,0.7,-
125,Guido Carrillo,14.3,71.7,-,0.4,-
126,Iñaki Williams,13.6,69,0.3,0.2,-
127,Gonzalo Melero,35.6,88.4,-,1,-
128,Anaitz Arbilla,49.9,75.8,0.3,6.4,-
129,Edgar Badia,33.5,72,-,8.7,-
130,Kenedy,8.9,73,0.5,0.4,-
131,Joaquín,25,84.9,0.7,0.4,-
132,Alfonso Pedraza,32.1,80.3,0.9,0.6,-
133,Álvaro Fernández,31.5,72.6,-,6.7,-
134,Ander Capa,30.5,76,0.3,1,-
135,Rodrygo,17.6,83.2,0.2,0.2,-
136,Marc Bartra,50.4,80.6,-,3.2,-
137,Jonathan Calleri,13.7,61.5,-,0.1,-
138,Carlos Clerc,38.1,77.8,0.5,1.7,-
139,Rubén Rochina,31.4,75.6,0.6,3.4,-
140,Lucas Pérez,18.4,70.3,1.8,0.9,0.1
141,Sergiño Dest,37.2,90,0.2,0.2,-
142,Juan Miranda,32.5,76.1,0.4,0.9,-
143,Gonzalo Verdú,48,84.2,-,4.2,-
144,Marc-André ter Stegen,28.6,86.9,-,4.6,-
145,Víctor Ruiz,48,86.3,-,2.4,-
146,Vinícius Júnior,21.1,86.1,0.2,0.3,-
147,Roque Mesa,34.7,80.9,0.4,2.2,0.1
148,Martín Zubimendi,35.8,88.4,-,2.1,-
149,Óscar Plano,21.8,75.7,0.2,0.7,0.1
150,Lee Kang-In,20.8,86.2,0.3,1.8,0.2
151,Nemanja Maksimovic,21.7,74.8,0.3,0.9,-
152,Moi Gómez,35.5,86.5,0.3,1.5,-
153,Álex Fernández,31.8,82,1.1,1.8,-
154,Nacho Vidal,22.4,71.2,0.3,1.2,-
155,Joaquín Fernández,31,79.1,-,2.9,-
156,Tete Morente,21.4,80.3,0.7,0.8,-
157,Cucho Hernández,20.3,69.7,0.3,0.7,-
158,Saidy Janko,22.4,76.9,0.6,0.9,-
159,Jeison Murillo,52.5,88.1,-,3.4,-
160,Ivan Rakitic,45.3,87.2,0.2,2.9,-
161,Roger Martí,15.2,70.5,0.1,0.5,0.1
162,Raúl García,16.4,62.2,-,0.6,0.1
163,Iñigo Martínez,51.6,82.8,0.1,5.3,-
164,Clément Lenglet,69.7,92.1,-,2.8,-
165,Borja Iglesias,9.7,70.5,0.1,0.3,-
166,Ximo Navarro,25.5,75.9,0.4,1.5,-
167,Hugo Guillamón,47,87.6,-,4.2,-
168,Aarón Martín,35.4,82.3,0.2,1.1,-
169,Sergi Enrich,16.2,76.9,0.1,0.6,-
170,Jorge Pulido,48.5,83.6,0.1,2.8,-
171,Kike Barja,12.9,76.1,0.4,0.5,-
172,Raúl Albiol,58.6,88.8,0.1,4,-
173,Pablo Hervías,19.4,83.8,1.1,0.7,-
174,Igor Zubeldia,50,86.9,0.1,2.6,-
175,Josema,30.2,80.4,0.2,1.9,-
176,Sergio Asenjo,31,75,-,5.6,-
177,Jorge Miramón,30.7,78.2,0.6,1.6,-
178,Óscar Duarte,42.4,83.4,-,3.5,-
179,Samuel Chukwueze,17.8,77.3,0.2,0.3,0.1
180,Enis Bardhi,30.8,78.7,0.7,2,-
181,Josan,18.9,82.3,0.6,0.6,-
182,Mickaël Malsa,39.4,84.6,-,2.5,-
183,Juan Cala,26.7,69.9,-,3.3,-
184,Rúben Vezo,42,83.5,-,3.7,-
185,Jorge Molina,14.1,61.6,-,0.4,0.1
186,Óliver Torres,29.3,86.3,0.3,3.5,-
187,Carles Aleñá,23.6,70.8,0.8,1.3,-
188,Toni Villa,16.2,75.4,0.3,0.8,-
189,Iván Villar,28.6,55.8,-,5.7,-
190,Luis Suárez,10.2,61.2,-,0.4,-
191,Enes Ünal,12.1,59.3,-,0.2,-
192,Paco Alcácer,9.7,73.3,-,0.3,-
193,Unai López,37.7,85.7,0.3,3.9,-
194,Aitor Ruibal,18.8,75.9,0.1,0.5,-
195,Raúl Guti,35.5,83.9,0.1,2.1,-
196,Luis Rioja,14.6,72.1,0.6,0.5,-
197,Jaime Seoane,29.1,77.6,0.2,2.3,-
198,Fabián Orellana,22.5,78.8,0.6,1.4,-
199,Rubén Alcaraz,37,83,0.1,3.9,-
200,Pervis Estupiñán,20.1,80.5,0.8,0.8,-
201,Jens Jønsson,19.7,76.2,-,1,-
202,Antonio Barragán,41.1,85.7,0.4,2.6,-
203,Yeremy Pino,12.3,81.6,-,0.3,0.1
204,Cristian Tello,16.2,80.4,0.2,0.5,-
205,Pablo Insua,37.2,85.5,-,2.8,-
206,Pape Diop,26.2,69.4,0.1,2.2,-
207,Munir El Haddadi,13.5,82.4,0.2,0.5,-
208,Dani García,38,83.8,-,3.2,-
209,Rafa Soares,24.9,71.5,0.9,2.5,-
210,Édgar Méndez,11.7,60.6,0.4,0.5,-
211,Maxime Gonalons,28.3,82.9,-,2.4,-
212,Germán Sánchez,28.5,73.5,-,2.4,-
213,Antonio Puertas,15.7,67.7,0.2,0.4,-
214,Álex Remiro,28.5,68.6,-,6.9,-
215,Ángel Montoro,27.9,76.6,0.9,3.4,-
216,Ander Guevara,45.6,82.8,-,2.7,-
217,Damián Suárez,30.1,63.3,0.6,2.7,-
218,Pere Milla,18,73,0.1,0.5,0.1
219,Marcos André,8.1,60.8,-,0.2,-
220,Bruno González,29.5,75.6,-,2.4,-
221,Fali,20.7,70.2,0.1,2.4,-
222,David Soria,30,45.8,-,10.8,-
223,Mouctar Diakhaby,38,85,-,2.6,-
224,Quini,18.8,67.2,0.3,0.9,-
225,Portu,13.6,73.1,0.3,0.1,-
226,Tomás Pina,27.5,82.5,-,0.9,-
227,Diego Lainez,15.8,79.8,0.3,0.3,-
228,Joseph Aidoo,24.9,82,-,1.3,-
