,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,53.8,81.3,0.4,3.4,0.9
1,Luis Suárez,29,75.3,0.2,1.5,0.1
2,Iago Aspas,32.1,82,0.2,1.4,0.2
3,Dani Parejo,61.5,85.8,1.9,5.6,0.1
4,Karim Benzema,32.9,82.6,0.1,1.1,0.1
5,Antoine Griezmann,37.5,78.3,0.6,1.3,0.1
6,Ousmane Dembélé,31.4,80.7,0.8,1,0.1
7,Rodri,56.7,91.1,-,3.4,-
8,Wissam Ben Yedder,21.6,73.9,0.1,0.5,0.1
9,Guillermo Maripán,30.8,75.3,-,3.7,-
10,Gerard Piqué,68.3,91.4,-,4.3,-
11,Saúl Ñíguez,44.9,78.8,0.1,1.5,0.1
12,Raúl García,27,55.7,0.1,0.8,0.1
13,Pablo Sarabia,36.6,79.6,1.3,1.2,0.1
14,Casemiro,55.8,88,0.1,4.9,-
15,Joan Jordán,46.8,83.4,1.8,4.8,-
16,José Giménez,34.2,80.5,-,4.1,-
17,José Campaña,51.6,84.4,1.2,3,-
18,Santi Cazorla,44.9,86.6,1.3,3.9,0.1
19,Toni Kroos,74,93.2,1.5,7.8,0.1
20,Koke,64.7,86.2,1,3.2,0.1
21,Jonathan Calleri,20.3,59.1,0.3,0.4,-
22,Éver Banega,65.3,85.4,1,6.5,0.1
23,Ivan Rakitic,74.6,91.4,0.1,4.6,0.1
24,Rubén Rochina,34.9,72.8,0.7,3.4,0.3
25,Giovani Lo Celso,44.5,82.9,0.1,1.3,0.2
26,Cote,42.5,68.1,2,5.1,-
27,Enric Gallego,19.7,55.1,0.2,0.1,0.1
28,Zouhair Feddal,60.6,86.2,-,4.1,-
29,Rubén Peña,43.5,71.5,1.6,3.9,-
30,Iborra,41.6,80.4,-,1.9,0.2
31,Dani Carvajal,64.6,87.4,0.4,3.5,-
32,Adnan Januzaj,21.6,75.4,2,1.5,0.1
33,Luka Modric,55.6,88.9,0.6,4.1,0.1
34,Cristhian Stuani,15.7,68.2,-,0.2,-
35,Sofiane Boufal,22.9,80,0.3,0.8,0.1
36,Roberto Rosales,43.5,77.3,0.5,3.2,-
37,Jordi Alba,65.6,85.6,0.3,2,0.1
38,Leandro Cabrera,30,50.6,0.2,4.5,-
39,Sergio Canales,54.3,88.3,1.3,2.4,0.2
40,Sergio Busquets,68.4,89.7,-,4.3,0.1
41,Iñaki Williams,18.1,70.3,0.2,0.2,0.1
42,Brais Méndez,35.9,78.5,0.9,1.3,-
43,Francis Coquelin,37.2,86.1,-,2.9,0.1
44,Diego Godín,34.9,80.5,-,3.1,-
45,José Gayà,41.5,81.9,0.6,2.1,-
46,Yeray Álvarez,42.8,80.1,-,3,-
47,Marc Bartra,68.7,87.8,-,4.2,-
48,Jorge Molina,19.3,66.7,0.1,0.4,0.2
49,Fabián Orellana,35.3,77.8,0.7,1.3,0.1
50,Filipe Luís,47.7,83.1,0.3,1.5,-
51,Maxi Gómez,19.2,73.1,0.1,0.9,0.1
52,Geoffrey Kondogbia,39.2,84.4,-,3.8,0.2
53,Mario Hermoso,50.3,83.9,-,4.9,0.1
54,Raúl de Tomás,13.9,81.7,-,1.1,-
55,Dimitrios Siovas,39.7,72.3,0.1,3.6,-
56,André Silva,19.9,72.7,0.1,0.1,0.2
57,Thomas Partey,41.5,83.8,0.3,2.3,0.1
58,Aritz Elustondo,41,78.9,0.3,1.7,-
59,Jesús Navas,44.3,77,1.3,2.9,0.1
60,Gabriel Paulista,43.3,86.7,-,3.8,-
61,Junior Firpo,38.9,82.9,0.3,0.8,-
62,Borja Iglesias,18.2,70.5,-,0.4,0.1
63,Philippe Coutinho,40.8,87.9,0.2,1.2,0.1
64,Rodrigo,25.1,74.4,0.1,1.1,0.1
65,Ezequiel Garay,44.6,83.6,-,4.1,-
66,Sergio Ramos,68.5,92.1,-,7.1,-
67,Youssef En-Nesyri,15,56.8,0.2,0.5,-
68,Guido Carrillo,20,63.7,-,0.3,-
69,Sergi Roberto,55.9,90.5,0.2,1,0.1
70,Santiago Arias,31.6,81.9,0.4,0.6,-
71,Marc Roca,55.9,86.9,-,4.3,0.3
72,Jan Oblak,20.5,49.4,-,6.2,-
73,Jorge Miramón,32.8,75.1,0.8,2.6,-
74,Óscar Rodríguez,30.6,75.4,1.3,1.7,-
75,Gonçalo Guedes,23.9,75.9,0.4,0.9,0.1
76,Jony,21.6,65.3,2,1.7,0.1
77,Rubén Alcaraz,50.4,83.6,0.2,5.3,-
78,Arturo Vidal,45.4,89,0.1,1.6,0.1
79,Antunes,28.2,58.2,1.5,2.9,-
80,Jonathan Silva,29.6,71.7,1.4,1.6,-
81,Sergio Asenjo,21.4,60.3,-,6.4,-
82,Damián Suárez,36.8,65,1.7,4,-
83,Mikel Merino,37.6,79.6,0.2,1.9,0.1
84,Jaime Mata,19.1,62.9,0.1,0.6,-
85,Ximo Navarro,26.5,79.1,0.5,2,-
86,Gareth Bale,23.8,78.3,0.4,1.5,-
87,Clément Lenglet,49.8,89.4,-,3,-
88,Daniel Carriço,41.7,79.7,-,3,-
