,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Robert Lewandowski,0.5,0.1,1.4,-,0.4,0.4,-,-
1,Erling Haaland,0.3,0.1,0.7,-,0.6,0.1,0.1,-
2,Joshua Kimmich,1.5,1.3,0.7,-,0.7,1.6,0.2,-
3,Jadon Sancho,0.7,0.6,-,-,0.2,0.3,-,-
4,André Silva,0.3,0.1,0.6,-,0.5,0.2,-,-
5,Thomas Müller,1.5,0.7,0.7,-,0.5,1.5,0.1,-
6,Matheus Cunha,1.3,1.1,1.7,-,0.3,1.3,0.1,-
7,Wout Weghorst,0.4,0.1,0.9,-,0.8,0.5,0.1,-
8,Maximilian Arnold,1.6,1.6,1.3,-,1.8,1,0.1,-
9,Filip Kostic,1.8,0.9,0.7,-,0.7,1.1,0.2,-
10,Christopher Nkunku,0.6,0.3,1.4,-,0.5,0.4,-,-
11,Mats Hummels,1.8,2.2,0.8,0.4,3.7,0.5,0.7,-
12,Leon Bailey,0.5,0.3,0.8,-,0.1,0.4,-,-
13,Raphaël Guerreiro,1.1,1,0.4,0.2,0.9,0.6,0.1,-
14,Andrej Kramaric,0.3,0.3,0.1,-,0.2,0.2,-,-
15,Leon Goretzka,1.5,1.8,1.1,0.1,0.4,1,0.1,-
16,Serge Gnabry,1.4,1,0.8,-,0.1,0.7,-,-
17,Willi Orbán,1.4,1.4,0.6,0.9,2.4,0.5,0.7,-
18,Silas Katompa Mvumpa,1.9,0.9,1.3,-,0.4,0.9,-,-
19,Jonas Hofmann,1.1,1.1,0.8,-,0.3,1.8,0.1,-
20,Kingsley Coman,0.5,0.1,0.4,-,0.1,0.7,-,-
21,Marco Reus,1,0.4,0.8,-,0.4,0.8,0.1,-
22,Angeliño,1.2,1.2,0.8,-,1.3,0.4,-,-
23,Vincenzo Grifo,0.6,0.9,0.4,-,0.5,0.6,-,-
24,Emre Can,1.5,1.7,1.3,0.1,1.8,0.6,0.4,-
25,Daniel Caligiuri,2.2,1.2,1.1,0.1,0.9,1.9,0.2,-
26,Alphonso Davies,1.7,1.2,0.6,-,1.2,0.5,-,-
27,Borna Sosa,0.5,1.2,0.7,-,2.5,0.7,0.2,-
28,Wataru Endo,2,1.5,1.4,0.1,1.7,1.3,0.4,-
29,Maxence Lacroix,1.6,2.2,0.8,0.6,4.5,0.7,0.7,-
30,Christopher Trimmel,1.6,1.6,1,0.1,2.9,0.8,0.2,-
31,Sasa Kalajdzic,0.5,0.3,0.9,-,0.6,0.5,-,-
32,Lars Stindl,0.8,0.4,1.4,-,0.5,0.8,0.1,-
33,Marcel Sabitzer,1.1,1.3,0.8,-,1,0.9,0.1,-
34,Martin Hinteregger,2.7,1.5,1.1,0.7,3.1,0.9,0.4,1
35,Nico Elvedi,1.7,2.2,0.4,0.7,4.1,0.4,0.8,-
36,Kevin Mbabu,2.3,1,2,-,2.5,0.5,0.3,-
37,Max Kruse,0.3,0.1,0.2,-,0.1,0.3,-,-
38,Marcus Thuram,0.8,0.5,1.3,-,0.3,0.4,0.1,-
39,Lucas Hernández,1.8,0.8,0.7,0.7,1.4,0.6,0.3,-
40,Ridle Baku,1.6,1.3,1,0.1,0.8,1,0.1,-
41,Xaver Schlager,2.1,1.7,1.4,-,1.1,1.4,0.2,-
42,Niklas Süle,1.6,1.1,0.5,0.5,1.7,0.4,0.6,-
43,Edmond Tapsoba,1.7,1.5,1.4,0.6,2.9,0.8,0.9,1
44,Ihlas Bebou,0.8,0.5,0.8,-,0.5,0.2,0.1,-
45,Dani Olmo,0.7,0.4,0.6,-,0.7,0.6,-,-
46,John Anthony Brooks,1.5,1.7,0.9,0.5,4,0.8,0.3,1
47,Florian Neuhaus,1.5,1.5,0.7,0.1,0.6,1.3,0.2,-
48,Marvin Friedrich,1.4,1.5,0.7,0.3,2.9,0.4,0.5,-
49,Leroy Sané,0.6,0.3,0.4,-,0.2,0.5,-,-
50,Moussa Diaby,0.3,0.4,0.8,-,0.1,0.4,-,-
51,Felix Uduokhai,1.1,1.9,0.8,1,5.4,0.3,0.9,1
52,Daichi Kamada,1.5,0.4,1.3,-,0.7,1,-,-
53,Amos Pieper,1.9,2.2,0.7,0.9,5.3,0.4,1.2,-
54,Konstantinos Mavropanos,2,2.8,1.1,0.2,3,0.9,0.5,-
55,Christopher Lenz,2.7,1.3,1,0.2,1.6,1.3,0.2,-
56,Matthias Ginter,0.8,1.5,0.3,0.6,3.5,0.3,0.9,-
57,Christoph Baumgartner,1.4,0.8,2.3,-,0.6,1.2,0.3,-
58,Renato Steffen,1.1,1,1.5,-,0.6,0.5,0.1,-
59,Nicolas Höfler,1.7,2.1,2.3,-,1.1,1.2,0.3,-
60,Paulo Otávio,2.6,1.8,1.2,0.2,2,1.2,0.3,-
61,Orel Mangala,1.1,1.1,1.4,-,1,0.5,0.4,-
62,Marc Oliver Kempf,1.5,2.1,1.1,0.3,2.9,0.6,0.8,1
63,Benjamin Pavard,1.8,2,0.8,0.4,1,0.7,0.2,-
64,Florian Wirtz,1.2,0.3,0.9,-,0.2,0.9,-,-
65,Ellyes Skhiri,2.6,2.6,1.3,0.1,1,1,0.4,-
66,Robert Andrich,1.8,1.8,1.7,-,1.1,1,0.2,1
67,Ondrej Duda,1.1,0.6,1.7,-,0.6,1,0.1,-
68,Dayot Upamecano,1.3,1.1,1.2,0.7,2.4,0.2,0.5,-
69,Ludwig Augustinsson,1.6,0.9,0.7,0.1,2.3,0.5,0.3,1
70,Ritsu Doan,1.6,0.9,0.9,-,0.2,1,-,-
71,Amine Harit,0.8,0.6,1,-,0.2,0.5,-,-
72,Manuel Akanji,1.5,1.8,0.8,0.4,2.5,0.4,0.4,-
73,Diadié Samassékou,2.3,2.5,1.4,0.2,1.6,1.8,0.4,-
74,Fabian Klos,0.7,0.1,1.4,-,0.8,0.6,0.2,-
75,Marcel Halstenberg,1.2,0.7,0.7,0.4,1.4,0.9,0.1,-
76,Evan Ndicka,1.3,2,1.4,0.7,3.3,0.5,0.3,-
77,Josip Brekalo,0.8,0.6,0.3,-,0.1,0.7,-,-
78,Alassane Pléa,0.7,0.2,0.6,-,0.2,0.5,-,-
79,Ramy Bensebaïni,1.7,1.9,1.4,0.2,2.5,0.6,0.3,-
80,Djibril Sow,2.1,1.8,1.4,0.1,0.5,0.8,0.3,-
81,Rafal Gikiewicz,-,0.1,-,-,0.6,0.1,-,-
82,Jonas Hector,1.8,1,0.6,0.1,0.9,1.1,0.3,-
83,Florian Grillitsch,1.4,2,1.2,0.3,1.7,1.3,0.3,-
84,Giovanni Reyna,0.8,0.3,0.8,-,0.3,0.5,-,-
85,Amadou Haidara,1.6,1,0.7,-,0.6,0.8,-,-
86,Patrik Schick,0.2,0.1,1,-,0.7,0.1,0.1,-
87,Joakim Nilsson,1.4,1.6,0.5,0.6,4.4,0.4,0.9,1
88,Stefan Ortega,0.1,-,-,-,0.6,0.1,-,-
