,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,34,24,5,5,97,37,60,77,97,19.8,36,2,64.8,86.0,12.5,6.98,9.3,16.6,10.3,9.0,2.2,19.8,7.8,14.5,10.4
1,Borussia Dortmund,34,22,3,9,85,52,33,69,85,13.3,61,1,59.4,84.0,12.5,6.77,10.9,15.9,10.2,10.6,2.1,13.3,5.2,10.4,11.7
2,Bayer Leverkusen,34,19,7,8,80,47,33,64,80,13.5,64,2,53.7,81.8,13.1,6.77,13.4,14.2,10.6,10.7,1.9,13.5,5.6,11.8,9.7
3,RB Leipzig,34,17,7,10,72,37,35,58,72,12.9,49,0,56.5,83.1,14.9,6.77,10.4,14.7,10.3,10.6,1.9,12.9,5.4,10.2,12.5
4,Union Berlin,34,16,9,9,50,44,6,57,50,12.1,61,1,43.3,73.6,17.4,6.61,11.6,15.8,11.1,12.4,1.9,12.1,4.6,7.2,9.8
5,Freiburg,34,15,10,9,58,46,12,55,58,13.6,34,0,48.6,76.2,19.9,6.68,14.2,15.2,10.4,11.5,1.7,13.6,4.8,6.6,11.0
6,FC Koln,34,14,10,10,52,49,3,52,52,13.8,66,1,54.8,77.4,17.8,6.65,12.6,17.6,12.5,12.3,2.0,13.8,4.4,7.4,13.5
7,Mainz 05,34,13,7,14,50,45,5,46,50,13.8,58,4,46.0,74.1,18.0,6.64,11.3,17.0,12.9,14.6,1.9,13.8,4.6,7.9,11.4
8,Hoffenheim,34,13,7,14,58,60,-2,46,58,13.3,75,0,53.2,80.7,14.5,6.59,12.5,14.2,8.4,12.6,2.1,13.3,4.4,7.4,10.2
9,Borussia M.Gladbach,34,12,9,13,54,61,-7,45,52,14.8,66,1,54.1,82.0,14.3,6.67,14.0,17.3,9.8,10.6,2.2,14.8,5.4,10.9,13.9
10,Eintracht Frankfurt,34,10,12,12,45,49,-4,42,45,13.2,59,1,49.4,76.2,16.4,6.6,12.7,17.5,11.1,12.4,1.6,13.2,4.1,8.4,8.8
11,Wolfsburg,34,12,6,16,43,54,-11,42,43,12.4,58,3,50.2,78.6,18.4,6.63,13.1,15.9,11.4,12.1,2.2,12.4,4.2,9.4,12.2
12,Bochum,34,12,6,16,38,52,-14,42,38,12.1,53,2,44.5,72.1,18.7,6.58,14.2,17.2,12.7,12.5,2.2,12.1,4.1,6.8,11.5
13,Augsburg,34,10,8,16,39,56,-17,38,39,10.8,74,0,40.6,72.0,16.6,6.51,14.3,16.5,10.7,13.2,2.1,10.8,3.7,7.7,10.5
14,VfB Stuttgart,34,7,12,15,41,59,-18,33,41,13.3,62,2,50.4,80.7,17.3,6.61,14.8,15.6,10.1,10.9,1.6,13.3,4.6,11.0,12.3
15,Hertha Berlin,34,9,6,19,37,71,-34,33,37,10.8,62,2,43.2,74.7,16.6,6.48,13.6,16.1,11.9,12.4,2.1,10.8,3.6,8.3,12.6
16,Arminia Bielefeld,34,5,13,16,27,53,-26,28,27,10.7,53,2,39.9,71.7,19.6,6.5,15.5,16.1,12.4,12.7,1.6,10.7,3.3,8.4,9.0
17,Greuther Fuerth,34,3,9,22,28,82,-54,18,28,9.2,61,0,43.0,74.8,14.1,6.38,15.0,16.7,11.0,12.9,2.0,9.2,3.1,7.8,12.8
