,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,34,26,4,4,100,32,68,82,100,18.1,50,3,29.9,86.9,14.4,7.14,9.3,14.7,10.1,9.5,2.3,18.1,7.5,14.1,10.4
1,Borussia Dortmund,34,21,6,7,84,41,43,69,84,13.1,47,1,58.5,86.9,11.0,6.97,10.4,15.6,11.0,9.0,1.6,13.1,5.7,13.8,9.6
2,RB Leipzig,34,18,12,4,81,37,44,66,81,16.2,47,3,54.1,82.6,15.5,6.95,10.3,18.1,10.7,11.0,2.3,16.2,6.4,11.4,10.9
3,Borussia M.Gladbach,34,20,5,9,66,40,26,65,66,14.1,71,3,23.3,81.8,16.7,6.85,13.7,16.2,11.2,12.5,2.7,14.1,5.9,11.4,13.1
4,Bayer Leverkusen,34,19,6,9,61,44,17,63,61,14.5,55,6,60.1,85.1,15.6,6.84,11.1,16.4,9.8,11.6,2.7,14.5,5.5,13.2,10.9
5,Hoffenheim,34,15,7,12,53,53,0,52,53,13.3,64,2,51.5,81.7,17.2,6.72,14.7,15.6,10.3,11.3,1.8,13.3,4.8,8.9,12.2
6,Wolfsburg,34,13,10,11,48,46,2,49,48,14.0,67,4,48.6,76.0,19.3,6.73,11.2,17.6,11.1,14.4,2.1,14.0,4.7,10.4,11.7
7,Freiburg,34,13,9,12,48,47,1,48,48,13.2,41,2,17.9,78.4,19.3,6.7,17.8,12.7,10.4,9.7,1.6,13.2,4.4,7.3,12.9
8,Eintracht Frankfurt,34,13,6,15,59,60,-1,45,59,14.8,68,4,50.0,76.5,20.9,6.74,13.0,17.5,11.0,12.5,1.7,14.8,5.1,9.6,10.8
9,Hertha Berlin,34,11,8,15,48,59,-11,41,48,10.6,74,4,46.5,77.5,18.6,6.69,14.2,16.3,12.1,13.7,1.7,10.6,3.6,10.4,10.3
10,Union Berlin,34,12,5,17,41,58,-17,41,41,11.8,65,5,43.8,70.5,27.2,6.65,14.5,16.2,12.4,15.4,1.9,11.8,4.0,7.6,11.0
11,Schalke 04,34,9,12,13,38,58,-20,39,38,11.3,63,2,49.6,77.7,19.0,6.63,13.7,17.3,12.0,11.8,2.4,11.3,3.8,12.4,11.2
12,Mainz 05,34,11,4,19,44,65,-21,37,44,13.3,71,3,44.8,75.3,18.4,6.63,14.9,16.9,10.7,13.6,2.1,13.3,4.2,11.1,11.8
13,FC Koln,34,10,6,18,51,69,-18,36,51,12.3,77,4,47.4,76.3,21.5,6.65,13.3,17.9,12.8,14.3,2.2,12.3,4.5,8.0,12.8
14,Augsburg,34,9,9,16,45,63,-18,36,45,10.7,64,2,11.9,69.8,16.8,6.57,14.0,15.7,12.8,11.1,2.4,10.7,4.0,6.9,11.3
15,Werder Bremen,34,8,7,19,42,69,-27,31,42,12.5,72,4,48.9,78.6,17.8,6.57,14.7,16.2,12.4,13.6,1.6,12.5,4.1,7.6,13.2
16,Fortuna Duesseldorf,34,6,12,16,36,67,-31,30,36,12.6,78,0,46.4,77.5,17.6,6.52,13.8,14.6,11.0,12.0,1.6,12.6,3.5,7.6,12.6
17,Paderborn,34,4,8,22,37,74,-37,20,37,12.7,80,3,46.9,77.8,14.1,6.52,14.6,18.6,10.7,12.5,1.8,12.7,3.8,11.2,10.5
