,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,34,24,6,4,99,44,55,78,99,17.1,44,3,58.1,85.5,12.9,6.95,10.1,15.0,11.7,9.3,2.2,17.1,6.9,12.9,11.0
1,RB Leipzig,34,19,8,7,60,32,28,65,60,16.0,57,0,57.3,83.2,18.6,6.78,7.8,13.5,10.4,12.8,2.4,16.0,6.0,9.3,11.9
2,Borussia Dortmund,34,20,4,10,75,46,29,64,75,14.6,43,1,57.5,85.5,12.8,6.84,11.1,15.2,12.1,10.6,2.0,14.6,5.7,11.8,11.0
3,Wolfsburg,34,17,10,7,61,37,24,61,61,14.1,56,3,51.0,78.0,16.9,6.8,10.5,17.5,14.0,13.0,2.3,14.1,4.9,8.7,11.1
4,Eintracht Frankfurt,34,16,12,6,69,53,16,60,69,13.2,80,1,24.8,79.6,17.9,6.73,12.8,17.5,12.6,13.5,2.0,13.2,5.1,8.1,10.8
5,Bayer Leverkusen,34,14,10,10,53,39,14,52,53,13.0,58,0,57.3,84.4,13.1,6.73,10.2,14.7,9.5,12.7,2.1,13.0,4.9,12.5,9.9
6,Union Berlin,34,12,14,8,50,43,7,50,50,11.7,55,2,20.9,76.2,17.6,6.62,10.8,14.8,11.9,12.8,2.5,11.7,4.2,6.1,11.0
7,Borussia M.Gladbach,34,13,10,11,64,56,8,49,64,13.4,61,2,51.5,82.0,15.3,6.7,13.4,14.8,12.8,11.6,2.4,13.4,5.2,9.4,12.1
8,VfB Stuttgart,34,12,9,13,56,55,1,45,56,13.4,63,2,27.4,81.1,16.3,6.68,13.4,14.6,12.5,12.4,1.6,13.4,4.7,12.1,12.8
9,Freiburg,34,12,9,13,52,52,0,45,52,11.4,63,0,47.5,78.1,17.5,6.6,14.8,12.7,13.3,12.9,1.6,11.4,4.4,6.8,11.8
10,Hoffenheim,34,11,10,13,52,54,-2,43,52,12.6,65,4,50.8,80.7,15.7,6.63,11.2,14.9,12.7,13.0,1.4,12.6,4.6,8.2,12.0
11,Mainz 05,34,10,9,15,39,56,-17,39,39,11.1,61,1,42.7,71.3,18.3,6.57,13.3,17.4,14.7,14.7,1.7,11.1,4.1,7.9,11.1
12,Augsburg,34,10,6,18,36,54,-18,36,36,9.9,65,4,44.0,73.6,16.8,6.56,14.4,15.0,13.4,11.6,2.0,9.9,3.3,8.3,11.9
13,Hertha Berlin,34,8,11,15,41,52,-11,35,41,11.3,63,3,49.8,79.5,15.8,6.58,12.6,14.3,12.3,13.8,2.3,11.3,4.4,9.7,12.6
14,Arminia Bielefeld,34,9,8,17,26,52,-26,35,26,9.8,52,1,44.1,74.6,22.2,6.53,13.2,16.2,12.3,11.5,1.4,9.8,3.0,6.9,12.3
15,FC Koln,34,8,9,17,34,60,-26,33,34,10.6,62,1,47.1,77.3,18.5,6.51,12.3,17.2,12.6,12.4,1.7,10.6,3.2,7.0,12.6
16,Werder Bremen,34,7,10,17,36,57,-21,31,36,10.6,63,3,18.4,76.2,18.3,6.52,13.5,15.9,12.0,11.6,2.0,10.6,3.7,5.5,13.7
17,Schalke 04,34,3,7,24,25,86,-61,16,25,8.9,70,2,46.2,76.5,15.6,6.41,17.3,16.2,12.1,12.2,2.0,8.9,2.5,9.8,11.9
