,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,34,24,6,4,88,32,56,78,88,18.7,40,2,62.2,87.5,15.7,7.03,7.6,13.7,9.9,9.2,2.6,18.7,7.6,12.5,10.1
1,Borussia Dortmund,34,23,7,4,81,44,37,76,81,13.2,40,3,56.8,86.0,14.0,6.93,10.3,14.6,11.3,8.6,1.9,13.2,5.4,12.9,11.3
2,RB Leipzig,34,19,9,6,63,29,34,66,63,14.6,61,1,49.5,75.3,22.4,6.96,9.4,19.3,12.2,13.7,2.6,14.6,5.4,9.2,11.6
3,Bayer Leverkusen,34,18,4,12,69,52,17,58,69,15.2,50,1,57.7,84.4,16.6,6.88,11.4,17.1,10.5,10.8,1.9,15.2,5.8,9.6,11.3
4,Borussia M.Gladbach,34,16,7,11,55,42,13,55,55,13.5,43,0,52.3,84.3,13.2,6.76,13.3,14.7,9.1,9.8,2.1,13.5,4.7,8.3,10.5
5,Wolfsburg,34,16,7,11,62,50,12,55,62,12.5,62,0,52.5,78.6,18.9,6.81,13.1,15.9,12.5,10.5,2.0,12.5,4.9,7.5,12.9
6,Eintracht Frankfurt,34,15,9,10,60,48,12,54,60,12.4,56,3,47.6,73.1,24.6,6.83,13.4,17.6,10.6,12.4,2.4,12.4,4.5,8.6,10.2
7,Werder Bremen,34,14,11,9,58,49,9,53,58,13.9,58,3,51.2,80.0,18.1,6.75,14.0,16.1,12.0,12.9,1.2,13.9,5.2,6.5,10.2
8,Hoffenheim,34,13,12,9,70,52,18,51,70,18.0,65,2,52.8,82.0,15.9,6.87,13.9,16.8,11.7,13.9,1.9,18.0,6.6,10.5,10.2
9,Fortuna Duesseldorf,34,13,5,16,49,65,-16,44,49,12.3,67,1,44.4,77.4,18.7,6.67,14.5,18.4,12.3,12.7,1.4,12.3,4.7,6.8,11.9
10,Hertha Berlin,34,11,10,13,49,57,-8,43,49,11.9,61,5,48.6,78.4,20.9,6.74,14.8,15.8,11.2,13.1,2.2,11.9,4.4,9.0,11.0
11,Mainz 05,34,12,7,15,46,57,-11,43,46,14.6,56,0,46.9,77.1,19.6,6.7,15.2,15.5,11.6,12.6,2.4,14.6,4.4,9.3,10.6
12,Freiburg,34,8,12,14,46,61,-15,36,46,12.5,51,3,45.4,78.2,16.9,6.64,15.4,16.8,11.0,12.1,1.5,12.5,4.8,6.9,12.0
13,Schalke 04,34,8,9,17,37,55,-18,33,37,12.2,71,5,46.9,76.3,18.0,6.65,13.7,18.6,12.3,13.4,2.3,12.2,3.9,10.5,11.7
14,Augsburg,34,8,8,18,51,71,-20,32,51,13.4,55,1,46.8,74.5,20.0,6.65,15.3,17.4,13.7,13.5,2.5,13.4,4.8,6.4,10.3
15,VfB Stuttgart,34,7,7,20,32,70,-38,28,32,12.0,62,5,46.8,75.7,21.9,6.57,15.5,16.9,11.7,11.0,2.0,12.0,3.4,7.0,11.7
16,Hannover 96,34,5,6,23,31,71,-40,21,31,11.3,59,4,47.4,76.8,18.6,6.57,16.7,17.1,13.5,12.4,1.7,11.3,3.6,8.1,12.4
17,Nuernberg,34,3,10,21,26,68,-42,19,26,10.6,57,4,44.1,76.0,19.0,6.49,15.3,16.2,10.4,11.6,1.6,10.6,3.1,7.4,11.2
