,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Cristiano Ronaldo,Juventus,39," M(L),FW",31(2),2803,29,3,3,-,5.1,82.1,0.7,8,7.61,0.2,0.2,0.5,0.1,0.5,0.4,0.1,-,1.8,1.3,0.9,1,1,29.9,82.1,0.4,0.5,0.1
1,Zlatan Ibrahimovic,AC Milan,42, FW,18(1),1498,15,2,2,1,4.3,72.0,4.5,8,7.57,0.3,0.3,1.7,0.1,1.4,0.2,0.2,-,0.6,1.3,2.1,0.6,0.6,27.5,72.0,0.1,0.6,0.1
2,Lorenzo Insigne,Napoli,32," AM(CL),FW",33(2),2872,19,7,2,1,4.1,83.7,0.1,11,7.56,0.7,1.1,0.3,-,0.1,1.7,-,-,1.9,1.1,0.3,1,1,48.7,83.7,0.7,3.2,0.2
3,Romelu Lukaku,Inter,30," AM(R),FW",32(4),2887,24,11,4,-,2.7,72.5,1.3,7,7.47,0.3,0.1,0.9,-,0.9,0.2,-,-,1.5,1.3,0.5,1.4,1.4,20.4,72.5,0.1,0.4,0.1
4,Domenico Berardi,Sassuolo,29," AM(R),FW",28(2),2485,17,7,4,-,3.8,80.5,0.4,8,7.42,1.4,0.9,1.4,-,1,1.4,-,-,1,2,0.1,1,1,39.4,80.5,1,2,0.2
5,Rodrigo De Paul,Udinese,29," AM(CLR),FW",36,3204,9,9,3,2,2.3,79.8,0.2,12,7.41,1.1,0.5,0.9,-,0.3,1.3,-,-,3.4,3.5,-,1.6,1.6,51.1,79.8,2,4.5,0.2
6,Henrikh Mkhitaryan,Roma,35," M(CLR),FW",30(4),2747,13,10,2,-,2.4,78.5,0.4,4,7.3,1.7,1.1,1.1,-,0.2,1.5,-,-,1.4,1.4,0.3,0.7,0.7,33.9,78.5,0.4,0.9,0.2
7,Sergej Milinkovic-Savic,Lazio,29, AM(C),32,2754,8,9,4,-,2,78.7,3.3,8,7.3,1.8,1,1.8,0.1,1.3,1.8,0.4,-,0.9,1.6,0.3,1.4,1.4,54.1,78.7,0.5,3.7,-
8,Théo Hernández,AC Milan,26," D(CL),M(L)",33,2935,7,5,9,-,1.4,83.1,1.6,2,7.28,1.5,1,1.2,0.2,1.5,0.6,0.2,-,2.2,2.5,0.2,0.8,0.8,48.0,83.1,0.5,1.9,-
9,Hakan Çalhanoglu,AC Milan,30," M(CLR),FW",30(3),2629,4,9,4,-,2.5,84.1,0.5,4,7.27,0.8,0.5,0.9,-,0.5,0.6,0.2,-,1.1,1.3,0.1,1.1,1.1,41.7,84.1,2.2,2.3,-
10,Luis Muriel,Atalanta,33," AM(CL),FW",16(20),1437,22,9,-,-,2.4,74.9,0.7,7,7.25,0.6,0.2,0.5,-,0.1,0.5,-,-,1.5,0.6,0.1,1.4,1.4,17.4,74.9,0.6,0.5,-
11,Andrea Belotti,Torino,30, FW,33(2),2895,13,6,4,-,3.1,69.5,2.4,3,7.23,0.9,0.3,1.7,-,0.5,0.7,0.1,-,1.3,3.9,0.6,1.2,1.2,19.6,69.5,0.1,0.7,0.2
12,Lorenzo Pellegrini,Roma,27, M(CL),30(4),2608,7,6,10,-,2.1,82.0,0.6,7,7.23,1.2,1.3,1.3,-,0.6,1.2,0.1,-,1.3,1.5,0.2,0.6,0.6,38.2,82.0,1.7,1.9,0.2
13,Junior Messias,Crotone,32," M(CR),FW",36,3217,9,4,6,-,2.7,78.5,1,3,7.22,1.7,1,0.9,-,1.1,1.3,0.3,-,2.9,2.6,0.1,1.6,1.6,29.6,78.5,0.7,1.4,-
14,Federico Chiesa,Juventus,26," M(CLR),FW",28(2),2227,8,8,3,1,2,80.4,0.2,3,7.21,1.6,0.4,1,-,0.5,1,-,-,1.6,1.2,0.4,0.8,0.8,23.1,80.4,0.7,1,0.1
15,Robin Gosens,Atalanta,29," D(L),M(CL)",30(2),2539,11,6,7,1,1.6,81.8,1.1,3,7.19,1.4,1.3,1.6,-,1,0.8,0.2,1,0.8,0.8,0.3,0.5,0.5,43.1,81.8,0.6,1.1,-
16,Lautaro Martínez,Inter,26, FW,30(8),2576,17,6,5,-,2.9,68.4,0.7,5,7.17,0.7,0.7,1.7,-,0.3,0.4,-,-,0.9,1.6,0.3,0.9,0.9,14.5,68.4,0.1,0.6,-
17,Juan Cuadrado,Juventus,35," D(R),M(CLR),FW",26(4),2180,2,10,9,1,0.6,87.7,0.4,4,7.16,1.4,1.4,1.1,0.1,0.5,1,0.1,-,1.5,2.2,0.1,0.7,0.7,49.4,87.7,1.4,2.8,-
18,Ruslan Malinovskyi,Atalanta,31," M(CLR),FW",22(14),1883,8,12,3,-,1.9,80.1,0.8,4,7.16,0.5,0.1,1.3,-,0.1,0.4,-,-,1.4,1.5,-,1.3,1.3,27.6,80.1,1.2,1.5,0.2
19,Piotr Zielinski,Napoli,29, M(CLR),32(4),2548,8,10,2,-,1.7,85.9,0.1,-,7.16,0.5,0.5,0.3,-,0.3,0.4,0.1,-,1.6,1.3,0.2,0.9,0.9,32.6,85.9,0.6,1.6,0.1
20,Ciro Immobile,Lazio,34, FW,34(1),2866,20,6,3,1,3.4,74.0,0.8,6,7.15,0.4,0.2,1.1,-,0.2,0.4,-,-,0.8,1.3,0.9,1,1,24.7,74.0,0.1,0.6,0.1
21,Franck Kessié,AC Milan,27, M(C),36(1),3230,13,4,8,-,1.3,88.9,1.5,2,7.15,1.4,1.2,1.8,-,1.3,0.5,0.4,-,1.2,1.1,-,1.1,1.1,53.9,88.9,0.1,2.8,-
22,Cristian Romero,Atalanta,26, D(C),29(2),2549,2,2,10,-,0.5,86.2,3.6,2,7.14,2,3.1,2.3,0.3,2.2,0.7,0.4,-,0.2,1,-,0.2,0.2,42.2,86.2,-,2.3,-
23,Giovanni Di Lorenzo,Napoli,30," D(CLR),M(R)",36,3240,3,6,11,-,0.8,86.9,1.6,1,7.14,2.2,1,1.4,0.2,1.4,0.9,0.4,-,0.8,1.7,0.1,0.4,0.4,60.8,86.9,0.4,2.3,0.1
24,Josip Ilicic,Atalanta,36," AM(CLR),FW",17(11),1532,6,9,2,-,2.1,77.5,-,4,7.13,0.3,0.1,0.8,-,-,0.6,-,-,2,2.5,0.3,1.6,1.6,32.2,77.5,1,2.1,0.2
25,Luis Alberto,Lazio,31," AM(CL),FW",33(1),2641,9,2,5,-,2,81.9,0.3,4,7.1,1.3,0.4,0.6,-,0.3,1.7,0.1,-,1.5,1.1,0.1,1.1,1.1,51.7,81.9,0.9,2.6,0.2
26,Victor Osimhen,Napoli,25, FW,16(8),1576,10,3,4,-,2.8,71.5,1.9,2,7.09,0.9,0.3,1.4,-,0.4,0.5,-,-,0.5,1.5,0.8,0.7,0.7,9.8,71.5,0.1,0.2,-
27,Manuel Locatelli,Sassuolo,26, M(C),32(2),2886,4,2,9,-,1.2,88.3,1.4,1,7.08,2.4,1.5,1.5,0.1,1.7,0.8,0.4,-,0.8,1.4,-,1,1,80.9,88.3,0.3,4.9,-
28,Duván Zapata,Atalanta,33, FW,29(8),2400,15,9,-,-,2.7,79.5,1.3,1,7.05,0.3,0.2,0.8,-,0.5,0.2,0.1,-,0.9,1.3,0.6,1.8,1.8,20.6,79.5,0.2,0.3,-
29,Diego Godín,Cagliari,38, D(C),28,2510,1,-,3,-,0.4,83.6,2.5,1,7.04,2.1,2,1.1,0.7,4,0.5,0.9,-,0.6,1,0.1,0.1,0.1,55.2,83.6,-,4.7,-
30,Davide Calabria,AC Milan,27," D(LR),M(R)",30(2),2652,2,1,7,-,0.8,79.2,0.8,-,7.04,3.2,1.2,1,0.1,2.2,1.1,0.3,1,0.6,1.1,0.1,0.4,0.4,46.5,79.2,0.5,3,-
