,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Cristiano Ronaldo,Juventus,39," M(L),FW",33,2919,31,5,3,-,6.3,85.1,1.2,10,7.82,0.4,0.2,0.8,-,0.6,0.5,0.1,-,1.6,1.8,0.9,1,1,36.5,85.1,0.2,0.9,-
1,Josip Ilicic,Atalanta,36," AM(CLR),FW",21(5),1673,15,5,1,1,3.1,81.9,0.1,7,7.65,1,0.3,0.4,-,0.2,0.8,-,-,2.3,2.3,0.1,1.8,1.8,34.6,81.9,0.7,1.8,0.3
2,Ciro Immobile,Lazio,34, FW,36(1),3176,36,9,8,-,3.8,77.0,0.6,10,7.57,0.2,0.3,1,-,0.2,0.6,0.1,-,0.6,1,0.6,0.8,0.8,23.9,77.0,-,0.9,0.1
3,Luis Alberto,Lazio,31," AM(CL),FW",36,3122,6,15,5,-,2.7,83.5,0.3,10,7.55,1.4,0.6,0.6,-,0.2,1.5,-,-,2,1.1,-,1.3,1.3,57.6,83.5,1.2,3.1,0.4
4,Papu Gómez,Atalanta,36," M(CLR),FW",34(2),2861,7,16,2,-,2.6,85.3,0.1,3,7.55,0.8,0.5,0.5,-,0.1,0.9,-,-,1.8,2.1,0.1,1.1,1.1,47.8,85.3,1.8,2.1,0.1
5,Zlatan Ibrahimovic,AC Milan,42, FW,16(2),1365,10,5,1,-,3.7,70.9,4.4,4,7.51,0.3,0.3,1.7,-,1.2,0.7,0.2,-,0.7,0.9,1.1,0.9,0.9,32.8,70.9,0.2,1.1,0.1
6,Edin Dzeko,Roma,38, FW,31(4),2884,16,7,4,-,3.5,69.9,3.7,5,7.48,0.5,0.2,1.1,-,0.9,0.3,0.1,-,1,1.4,0.5,1.1,1.1,22.0,69.9,0.1,1.5,0.1
7,Domenico Berardi,Sassuolo,29," AM(R),FW",29(2),2505,14,10,6,1,3.9,78.4,0.6,5,7.45,1,1.1,1.8,-,0.8,1.5,0.1,-,1.3,2.1,0.2,1,1,35.1,78.4,0.6,1.5,0.3
8,Paulo Dybala,Juventus,30," AM(CR),FW",25(8),2165,11,6,5,-,3,88.1,0.1,3,7.44,0.6,0.4,0.7,-,-,0.9,-,-,2,1.6,0.2,1.2,1.2,42.2,88.1,0.8,2.2,0.1
9,Duván Zapata,Atalanta,33, FW,25(3),2038,18,6,1,-,3.2,79.6,1.9,4,7.41,0.3,0.1,1.3,-,0.3,0.2,0.3,-,0.8,1.6,0.4,2.2,2.2,19.6,79.6,0.3,0.4,-
10,Romelu Lukaku,Inter,30," AM(R),FW",33(3),2984,23,2,2,-,2.8,70.7,2.6,4,7.3,0.4,-,1.3,-,0.8,0.2,0.2,-,0.6,0.6,0.6,1.9,1.9,21.5,70.7,0.2,0.7,-
11,Musa Barrow,Bologna,25," AM(CL),FW",14(4),1354,9,2,1,-,3.6,78.2,0.7,3,7.28,1.1,0.3,1.2,-,0.6,0.8,-,-,1.9,0.7,0.1,1,1,29.1,78.2,0.6,1.4,0.1
12,Sergej Milinkovic-Savic,Lazio,29, AM(C),35(2),3038,7,4,9,-,2.4,77.2,3.5,5,7.27,1.6,1,1.9,-,1.6,1.7,0.4,-,1.1,1.2,0.2,1.3,1.3,45.8,77.2,0.3,3.2,0.1
13,Rodrigo De Paul,Udinese,29," AM(CLR),FW",33(1),2828,7,6,5,1,2.5,82.0,-,8,7.25,1.8,0.9,1,-,0.2,1.1,0.1,-,1.8,2.2,0.1,1.4,1.4,46.0,82.0,1.6,3.6,0.1
14,Robin Gosens,Atalanta,29," D(L),M(CL)",31(3),2628,9,8,3,-,1.5,78.4,1.5,-,7.22,1.6,1.1,0.9,0.2,1,0.8,0.3,-,0.5,1.1,0.2,0.3,0.3,38.0,78.4,0.6,1.1,-
15,Radja Nainggolan,Cagliari,36, M(C),25(1),2082,6,7,5,-,2.5,79.8,0.7,4,7.21,1.2,0.5,0.8,-,1.1,0.8,0.2,-,1.5,1.1,-,1.7,1.7,39.8,79.8,0.8,4.4,0.2
16,Théo Hernández,AC Milan,26," D(CL),M(L)",32(1),2819,6,3,10,-,1.5,84.3,1.4,3,7.19,1.7,1.3,1,0.3,1.5,0.6,0.2,1,1.7,2.1,0.2,0.6,0.6,49.8,84.3,0.4,1.9,-
17,Hakan Çalhanoglu,AC Milan,30," M(CLR),FW",34(1),2719,9,9,6,-,2.9,84.0,0.8,4,7.19,1.2,0.7,1.1,-,0.7,0.7,0.1,-,0.8,0.8,-,0.9,0.9,41.5,84.0,0.9,1.9,0.1
18,Jérémie Boga,Sassuolo,27," AM(CLR),FW",28(6),2525,11,2,-,-,1.7,86.8,0.1,3,7.17,0.4,0.1,0.4,-,0.1,0.4,-,-,3.9,1.6,0.3,1.4,1.4,28.1,86.8,-,0.1,-
19,Joaquín Correa,Lazio,29," AM(CL),FW",22(8),2005,9,2,-,-,2.6,81.7,0.5,1,7.16,0.4,0.2,0.6,-,0.3,0.6,-,-,1.7,1.6,0.2,0.9,0.9,22.2,81.7,0.1,0.7,-
20,Marcelo Brozovic,Inter,31, M(CR),30(2),2703,3,6,9,-,1.7,89.9,0.7,2,7.15,2.1,1.4,1.4,-,1.2,1.6,0.3,-,0.8,0.6,-,0.6,0.6,65.0,89.9,0.3,5.7,-
21,Aleksandar Kolarov,Roma,38," D(CL),M(L)",30(2),2760,7,3,6,-,2.3,83.7,1.4,1,7.14,1.2,1,0.9,0.5,1.6,0.5,0.3,-,0.6,0.9,0.1,0.3,0.3,45.5,83.7,1.7,2.8,0.1
22,Manuel Locatelli,Sassuolo,26, M(C),31(2),2597,-,5,9,-,1,88.0,0.7,3,7.13,2.3,1,1.4,-,0.9,1.1,0.4,1,1.5,1.8,-,0.9,0.9,64.0,88.0,0.5,3.5,0.2
23,Andrea Belotti,Torino,30, FW,34(2),3011,16,3,4,-,2.9,68.8,3.2,6,7.12,0.8,0.1,1.8,-,0.5,0.7,0.1,1,1.3,2.9,0.6,1.7,1.7,19.7,68.8,0.2,0.6,-
24,Dejan Kulusevski,Parma Calcio 1913,24," AM(CR),FW",33(3),2938,10,8,3,-,1.7,80.5,0.3,5,7.12,1.1,0.6,1.5,-,0.4,1.3,-,-,2.1,1.1,0.2,2.3,2.3,29.4,80.5,0.3,0.8,0.1
25,Juan Cuadrado,Juventus,35," D(R),M(CLR),FW",28(5),2652,2,5,7,1,0.6,89.5,0.4,1,7.11,2,1.1,0.8,0.2,1.1,0.8,0.2,-,1.3,2.4,0.1,0.8,0.8,61.4,89.5,0.7,3,-
26,Lorenzo Insigne,Napoli,32," AM(CL),FW",34(3),2823,8,6,1,-,3.3,85.4,0.1,4,7.11,0.6,0.8,0.2,-,0.1,0.8,-,-,1.5,0.8,0.2,1.3,1.3,44.4,85.4,0.6,2,0.1
27,Rodrigo Bentancur,Juventus,26, M(C),25(5),2199,-,7,9,-,0.5,88.9,1.1,-,7.1,1.9,1.1,1.8,0.1,0.9,1.2,0.3,-,1.2,0.9,0.1,0.6,0.6,52.1,88.9,0.7,2,0.1
28,Henrikh Mkhitaryan,Roma,35," M(CLR),FW",16(6),1536,9,5,5,-,2,84.1,0.5,1,7.09,1.5,0.5,0.8,-,0.2,1.2,0.1,-,1,1.2,-,0.9,0.9,30.5,84.1,0.1,1.4,0.1
29,Filippo Falco,Lecce,32," AM(CR),FW",24(6),2021,4,6,-,-,1.9,87.8,0.2,3,7.08,0.4,0.1,0.4,-,-,0.4,-,-,2,2.8,0.2,1.2,1.2,29.5,87.8,1.1,1.6,-
30,Francesco Caputo,Sassuolo,36, FW,33(3),2937,21,7,3,-,2,79.3,0.5,5,7.08,0.2,-,0.7,-,0.2,0.2,-,-,0.6,1.3,0.6,1.2,1.2,21.7,79.3,0.1,0.4,0.1
31,Miralem Pjanic,Juventus,34, M(C),28(2),2286,3,6,10,-,0.7,90.4,0.5,1,7.08,1.5,1.1,1.3,0.1,0.9,1.4,0.4,-,0.5,0.8,-,0.4,0.4,63.6,90.4,0.8,3.3,-
32,Ismaël Bennacer,AC Milan,26, M(C),28(3),2488,1,-,14,-,0.5,88.3,0.5,-,7.07,2.2,1.7,1.5,-,0.4,1.4,0.2,-,2.4,1.2,-,1,1,56.8,88.3,0.4,3.4,-
33,Diego Godín,Inter,38, D(C),18(5),1630,1,1,5,-,0.5,85.1,2.6,2,7.07,1.7,2,1.3,0.2,2.5,0.6,0.3,-,0.7,0.7,0.1,0.5,0.5,47.8,85.1,0.2,3.3,0.1
34,Federico Chiesa,Fiorentina,26," M(CLR),FW",31(3),2651,10,6,7,-,3.3,76.7,0.3,5,7.05,1.1,0.2,1.6,-,0.1,1.2,-,-,1.5,1.4,0.2,1.4,1.4,21.2,76.7,0.3,0.7,0.1
35,Lorenzo Pellegrini,Roma,27, M(CL),26(1),2109,1,9,6,1,2.1,81.1,0.7,2,7.05,1.1,0.6,1.5,-,0.6,0.8,-,-,0.9,1.2,0.1,0.7,0.7,38.7,81.1,2,2.1,0.3
36,JP Galvão,Cagliari,32," AM(CLR),FW",35(1),3187,18,4,6,-,2.4,76.9,2.3,3,7.05,0.5,0.3,1.3,-,0.9,0.6,0.2,-,0.7,2.1,0.3,1,1,22.1,76.9,0.1,1.6,0.1
37,Miguel Veloso,Verona,37, M(C),32(2),2817,3,4,6,-,1.1,82.3,1.6,5,7.05,1.5,0.9,1,-,1.1,1.2,0.4,-,0.9,0.4,-,0.4,0.4,46.6,82.3,1.5,2.7,-
38,Franck Ribéry,Fiorentina,41," AM(CL),FW",19(2),1426,3,3,3,1,1.1,85.6,0.3,2,7.04,1,0.1,1,-,0.1,0.8,-,-,2.5,1.9,0.1,2.4,2.4,33.8,85.6,0.1,2,0.1
39,Erick Pulgar,Fiorentina,30, DMC,32(5),2948,7,6,9,-,0.9,88.0,0.7,3,7.03,2,1.3,1.1,-,1.3,2,0.4,-,0.3,0.9,0.1,0.4,0.4,40.2,88.0,1.6,2.4,0.1
40,Andreas Cornelius,Parma Calcio 1913,31, FW,17(9),1492,12,3,1,-,1.8,66.7,4,4,7.03,0.3,0.1,1.6,-,1,0.3,-,-,0.5,1.2,0.1,1.4,1.4,15.7,66.7,0.1,0.4,-
41,Fabián Ruiz,Napoli,28, M(CL),30(3),2689,3,6,2,-,2.2,90.7,0.4,3,7.03,1.3,1,0.6,-,0.5,1.2,0.1,-,1,0.8,-,0.9,0.9,70.6,90.7,0.2,3.9,0.2
42,Jesse Joronen,Brescia,31, GK,29,2610,-,-,1,-,-,61.3,0.3,4,7.01,0.1,0.2,-,-,1.6,-,-,-,-,0.1,-,-,-,23.8,61.3,-,5.1,-
