,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
291,Fabio Quagliarella,Sampdoria,41, FW,19(14),1661,4,3,2,-,1.8,70.9,0.5,1,6.34,0.2,0.1,0.6,-,0.3,0.4,-,-,0.3,0.8,0.5,0.8,0.8,13.3,70.9,0.2,0.9,-
292,Álvaro Odriozola,Fiorentina,28, D(R),18(7),1730,1,1,4,1,0.2,88.9,-,-,6.34,1,0.3,0.6,0.2,0.8,0.7,0.2,-,0.5,0.5,-,0.5,0.5,33.5,88.9,0.5,1.2,-
293,Jacopo Sala,Spezia,32," D(LR),M(CR)",13(5),891,1,-,3,-,0.2,87.3,0.2,1,6.34,1.2,0.8,0.6,-,0.6,0.9,-,-,0.3,0.7,0.1,0.2,0.2,25.8,87.3,0.1,1.2,-
294,Lorenzo Venuti,Fiorentina,29," D(CLR),M(LR)",20(3),1578,-,-,4,-,0.3,88.8,0.4,-,6.34,1.1,0.2,0.7,0.4,1,0.4,0.2,1,0.2,1.4,-,0.4,0.4,39.3,88.8,0.2,2.3,-
295,Andrea Petagna,Napoli,28, FW,4(20),574,3,1,1,-,0.5,71.1,0.8,1,6.34,0.1,-,0.6,-,0.2,0.1,-,-,0.4,0.6,0.1,0.6,0.6,6.6,71.1,-,0.1,-
296,Fabio Depaoli,Verona,27," D(R),M(CLR)",7(11),697,1,1,3,-,0.6,62.9,0.5,-,6.33,0.7,0.4,1.1,-,0.7,0.3,0.1,-,0.4,0.6,0.2,0.3,0.3,10.3,62.9,0.3,0.7,0.1
297,Tyronne Ebuehi,Venezia,28, D(LR),12(7),1142,-,-,1,1,0.4,79.7,0.8,-,6.33,1.5,0.8,1.2,0.1,1.7,0.4,0.2,-,0.6,0.2,0.1,0.3,0.3,20.2,79.7,0.3,0.8,-
298,Moise Kean,Juventus,24," AM(LR),FW",12(20),1091,5,1,5,-,0.9,78.3,0.7,-,6.33,0.3,0.1,0.6,-,0.3,0.3,-,-,0.6,0.5,0.4,0.7,0.7,6.9,78.3,-,0.3,-
299,Caleb Ekuban,Genoa,30," AM(CLR),FW",18(12),1721,1,2,2,-,1.3,70.7,1.2,-,6.33,0.6,0.3,0.7,-,0.2,0.5,0.2,-,0.9,1.1,0.1,1.3,1.3,13.9,70.7,0.1,0.2,-
300,Stefano Sturaro,Genoa,31, M(CL),25(1),1783,-,-,12,-,0.3,65.6,1.9,-,6.33,1.7,0.6,2,-,1,1,-,-,0.2,1.4,0.2,1,1,21.5,65.6,0.2,0.8,-
301,M'Bala Nzola,Spezia,27, FW,10(11),1061,2,1,2,-,1,79.8,1.3,-,6.32,0.1,-,1.4,-,0.6,0.2,-,-,0.8,0.3,0.7,1,1,11.3,79.8,-,0.4,-
302,Leo Stulac,Empoli,29, M(C),8(15),822,2,2,1,-,0.4,83.3,0.2,-,6.32,0.6,0.3,0.3,-,0.6,0.5,0.1,-,0.1,0.7,-,0.2,0.2,19.6,83.3,0.2,1.1,-
303,Bosko Sutalo,Verona,24, D(C),6(18),912,-,-,-,-,0.2,77.2,0.8,-,6.31,0.8,0.7,0.5,0.1,1.4,0.3,0.2,-,0.4,0.4,-,0.3,0.3,18.5,77.2,0.1,1.2,-
304,Andreas Skov Olsen,Bologna,24, M(CR),6(12),744,-,2,-,-,0.4,81.8,0.2,-,6.3,0.7,0.2,0.2,0.1,0.6,0.3,0.1,-,0.3,0.8,-,0.3,0.3,17.7,81.8,0.3,0.6,-
305,Mato Jajalo,Udinese,35, M(C),6(16),621,-,1,2,-,0.2,80.7,0.3,-,6.3,1.1,0.5,0.5,-,0.2,0.5,-,-,0.1,0.3,-,0.2,0.2,14.1,80.7,-,0.8,0.1
306,Pasquale Mazzocchi,Venezia,28," D(LR),M(LR)",15(3),1246,-,-,3,-,0.3,79.7,0.7,-,6.3,1,1.2,1.2,0.1,1.4,0.9,0.4,-,0.9,0.3,-,0.7,0.7,24.1,79.7,0.2,1.4,-
307,José Callejón,Fiorentina,37," M(LR),FW",16(14),1302,1,2,-,-,0.6,84.7,0.3,1,6.29,0.5,0.1,0.1,-,-,0.6,-,-,0.2,0.6,0.1,0.4,0.4,18.3,84.7,0.5,0.7,-
308,Kristoffer Askildsen,Sampdoria,23, M(C),7(12),749,-,-,5,-,0.4,66.2,1.1,-,6.29,0.9,0.8,0.9,0.1,0.7,0.5,0.4,1,0.2,0.7,-,0.3,0.3,11.5,66.2,-,0.4,-
309,Keita Baldé,Cagliari,29," AM(LR),FW",14(12),1233,3,1,2,-,1,74.5,0.8,-,6.29,0.3,0.2,1,-,0.2,0.3,-,-,0.2,1.2,0.3,0.4,0.4,9.7,74.5,-,0.3,-
310,Pablo Galdames,Genoa,27, M(C),11(8),1032,-,-,2,-,0.6,75.6,0.3,-,6.29,1.5,0.4,1.1,-,0.5,1.2,0.1,-,0.4,0.6,0.2,0.9,0.9,21.4,75.6,0.7,1.3,-
311,Viktor Kovalenko,Spezia,28, M(C),16(10),1323,1,4,4,-,0.3,78.3,0.5,-,6.28,0.6,0.5,0.6,-,0.2,0.5,0.1,-,0.2,0.8,-,0.7,0.7,21.8,78.3,0.3,0.9,-
312,Matheus Henrique,Sassuolo,26, M(C),10(15),1066,-,1,3,-,0.3,91.2,0.2,-,6.28,0.4,0.3,0.7,0.1,0.4,0.7,0.1,-,0.8,0.5,-,0.7,0.7,23.7,91.2,0.1,1.1,-
313,Filippo Melegoni,Genoa,25, M(CR),10(15),976,1,-,1,-,0.5,71.8,0.2,-,6.28,0.8,0.4,0.6,-,0.3,0.3,-,-,0.3,0.8,0.1,0.5,0.5,12.3,71.8,0.4,0.1,-
314,Francesco Di Tacchio,Salernitana,34, M(C),14(4),1257,-,-,3,-,0.8,80.5,0.8,-,6.27,0.9,1.2,1.3,0.1,1.3,0.9,0.4,1,0.3,1.3,-,0.4,0.4,29.1,80.5,0.2,1.2,-
315,Patrick Cutrone,Empoli,26, FW,15(13),1402,3,-,1,-,1.8,70.4,0.3,-,6.27,0.2,0.2,0.5,-,-,0.3,-,-,0.3,0.6,0.7,0.6,0.6,8.0,70.4,0.1,0.3,-
316,Grégoire Defrel,Sassuolo,32," AM(CR),FW",11(27),1346,2,2,3,-,0.7,85.6,0.2,-,6.27,0.4,0.1,0.4,-,0.3,0.3,-,-,0.5,0.5,0.1,0.8,0.8,10.1,85.6,-,0.2,0.1
317,Toma Basic,Lazio,27, M(C),9(20),969,-,2,3,-,0.6,88.5,0.3,-,6.27,0.4,0.1,0.4,-,0.7,0.4,0.1,-,0.2,0.2,-,0.2,0.2,15.0,88.5,-,0.3,-
318,Riccardo Marchizza,Empoli,26, D(L),16(3),1352,-,1,4,-,0.4,70.0,0.4,-,6.26,1.1,0.5,1,0.3,1.1,0.3,0.3,1,0.6,0.2,0.1,0.4,0.4,24.9,70.0,0.6,1.2,-
319,Joel Obi,Salernitana,32, M(CR),12(9),1146,-,1,4,-,0.5,79.1,0.8,-,6.25,1.1,0.5,1.5,-,0.3,0.3,0.3,-,0.2,1,-,0.8,0.8,16.0,79.1,0.3,0.3,-
320,Dor Peretz,Venezia,28, DMC,4(14),574,-,1,2,-,0.3,75.8,0.4,-,6.25,1.5,0.4,0.6,-,0.6,0.7,0.2,-,0.1,0.4,-,0.4,0.4,12.6,75.8,-,0.4,-
321,Emanuel Vignato,Bologna,23, AM(CL),3(21),582,-,1,2,-,0.2,85.9,0.3,-,6.25,0.5,0.1,0.2,-,0.2,0.3,-,-,0.5,0.1,-,0.4,0.4,15.6,85.9,0.1,0.7,-
322,Dennis Johnsen,Venezia,26," AM(L),FW",17(10),1466,1,2,2,-,0.6,63.7,0.2,-,6.24,0.5,0.2,0.3,-,0.1,0.4,-,-,0.7,0.4,0.5,0.9,0.9,10.3,63.7,0.4,0.6,-
323,Daniel Bessa,Verona,31, AM(C),5(19),762,1,1,3,1,0.4,82.5,0.3,-,6.24,0.3,0.2,0.9,-,0.5,0.5,0.1,-,0.5,0.5,0.1,0.6,0.6,19.0,82.5,0.1,0.7,-
324,Janis Antiste,Spezia,21, Forward,9(9),796,1,-,-,-,0.6,65.3,0.9,-,6.24,1,0.2,0.8,0.1,0.3,0.4,0.1,-,0.4,0.3,0.3,0.4,0.4,10.9,65.3,0.2,0.2,0.1
325,Brandon Soppy,Udinese,22," D(R),M(LR)",7(21),765,-,-,4,-,0.2,73.7,0.2,-,6.22,0.7,0.2,0.8,-,0.2,0.2,0.1,-,0.6,1.2,-,0.3,0.3,7.1,73.7,-,0.1,-
326,Tanner Tessmann,Venezia,22, DMC,6(14),674,-,-,1,1,0.4,74.2,0.4,-,6.21,0.6,0.3,0.5,-,1.1,0.5,0.5,-,0.6,0.4,-,0.4,0.4,11.1,74.2,-,0.9,-
327,Vanja Milinkovic-Savic,Torino,27, GK,27,2430,-,-,3,-,-,46.8,0.1,-,6.21,-,-,0.1,-,0.5,-,-,-,0.1,0.1,-,-,-,34.1,46.8,-,7.6,-
328,Simy,Salernitana,31, FW,10(9),842,1,1,-,-,1.1,72.7,1,1,6.2,0.3,0.2,0.6,-,0.5,0.3,0.2,-,0.4,0.7,0.5,1.2,1.2,9.6,72.7,-,0.2,-
329,Martin Hongla,Verona,26," D(C),DMC",7(11),644,1,-,3,-,0.5,77.0,0.8,-,6.2,0.8,0.2,0.8,-,0.9,0.2,0.1,-,0.1,0.3,0.1,0.4,0.4,16.4,77.0,-,0.9,-
330,Michael Svoboda,Venezia,25, D(C),13(5),1234,-,-,2,1,0.4,81.8,1.4,-,6.19,1.8,0.6,0.5,0.4,3.3,0.8,0.8,-,0.1,0.2,-,0.3,0.3,34.5,81.8,-,3.1,-
331,Goran Pandev,Genoa,40," M(CR),FW",7(13),837,-,1,1,-,0.3,71.9,0.3,-,6.17,0.1,0.1,0.3,-,-,0.5,0.1,-,0.5,1.9,0.3,1.3,1.3,11.6,71.9,0.1,0.1,0.1
332,Nicola Murru,Sampdoria,29," D(L),M(L)",13(9),987,1,-,5,-,0.1,68.7,0.5,-,6.15,1,0.3,1,0.1,0.7,0.2,0.1,-,0.2,0.3,0.1,0.5,0.5,16.1,68.7,0.3,0.8,-
333,Gabriele Zappa,Cagliari,24," D(CR),M(R)",11(14),1140,-,-,2,1,0.2,75.9,0.5,-,6.15,0.8,0.6,0.6,0.1,1,0.7,0.2,-,0.4,0.4,-,0.4,0.4,19.9,75.9,0.2,1.1,-
334,Hernani,Genoa,30, M(CL),7(11),681,-,-,-,-,0.6,75.6,0.7,-,6.15,1.1,0.7,0.7,-,0.3,1.1,0.2,-,0.3,0.6,0.1,0.6,0.6,12.3,75.6,0.2,0.6,-
335,Abdou Harroui,Sassuolo,26, M(CR),3(19),439,-,-,2,-,0.6,88.7,0.3,-,6.11,0.5,0.2,0.6,0.1,0.1,0.1,-,-,0.1,0.1,-,0.2,0.2,12.9,88.7,-,0.5,-
