,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Kylian Mbappé,PSG,25," AM(CLR),FW",27(4),2389,27,7,5,-,3.4,80.7,0.2,6,7.68
1,Andy Delort,Montpellier,32," AM(R),FW",30,2494,15,9,4,-,3,62.5,4.7,6,7.60
2,Memphis Depay,Lyon,30," AM(CL),FW",33(4),2932,20,12,4,-,3,76.1,0.4,9,7.56
3,Ángel Di María,PSG,36," M(CLR),FW",23(4),1863,4,9,1,-,2.2,81.2,-,5,7.33
4,Karl Toko-Ekambi,Lyon,31," AM(LR),FW",34(1),2830,14,6,3,-,2.6,80.3,1,6,7.32
5,Benjamin André,Lille,33," D(R),M(CLR)",35,2903,-,1,10,-,0.5,84.1,2.7,6,7.27
6,Téji Savanier,Montpellier,32, M(C),26(1),2175,5,5,6,1,2.1,74.4,0.7,6,7.26
7,Gaëtan Laborde,Montpellier,30," AM(CLR),FW",38,3270,16,8,3,-,2.6,67,3.6,4,7.25
8,Marco Verratti,PSG,31, M(C),16(5),1491,-,2,7,-,0.5,91.7,0.6,2,7.24
9,Fabien Centonze,Metz,28," D(R),M(R)",36,3222,1,-,9,-,0.7,79.5,1.6,1,7.23
10,Ludovic Ajorque,Strasbourg,30, FW,34(1),2972,16,4,5,-,2,68.3,4.7,4,7.22
11,Farid Boulaya,Metz,31," AM(CLR),FW",32(1),2822,6,8,5,-,2.4,74.4,0.9,3,7.22
12,Lucas Paquetá,Lyon,26," M(CLR),FW",27(3),2285,9,5,4,1,1.8,81,1.3,1,7.22
13,Zinedine Ferhat,Nimes,31, M(LR),33,2960,6,10,3,-,1.9,71,2.2,8,7.21
14,Romain Faivre,Brest,25, AM(CLR),33(3),2902,6,5,-,-,1.8,84.8,0.4,5,7.18
15,Aleksandr Golovin,Monaco,27, M(CLR),12(9),1072,5,9,2,-,1.3,76.5,0.5,3,7.16
16,Steve Mounié,Brest,29, FW,31(4),2696,9,4,6,-,2.3,58,7.4,2,7.16
17,Aurélien Tchouaméni,Monaco,24," D(C),DMC",36,3073,2,3,7,1,1.5,82.8,2.4,8,7.16
18,Burak Yilmaz,Lille,38," AM(L),FW",23(5),2057,16,5,6,-,2.4,77.6,1.4,3,7.14
19,Angelo Fulgini,Angers,27," AM(CLR),FW",33,2739,7,4,4,-,2,83.2,0.7,4,7.13
20,Amine Gouiri,Nice,24," AM(CL),FW",31(3),2753,12,7,5,-,2.4,79.6,0.6,5,7.13
21,Kiki Kouyaté,Metz,27, D(C),21(4),1961,1,-,10,-,0.5,80.8,4,3,7.10
22,Jérémy Doku,Rennes,21, M(LR),26(4),2318,2,3,1,1,1.2,83.4,0.3,3,7.07
23,Jonathan Bamba,Lille,28," AM(CLR),FW",34(4),2993,6,9,2,-,1.6,82.6,0.4,3,7.07
24,Kevin Volland,Monaco,31," AM(CLR),FW",34(1),2789,16,7,4,-,1.6,67.8,1.6,2,7.06
25,Wissam Ben Yedder,Monaco,33," AM(C),FW",32(5),2626,20,7,3,-,2.2,74.2,1.1,4,7.06
26,Ludovic Blas,Nantes,26," M(CLR),FW",32(4),2805,10,4,5,-,2,80.7,0.4,6,7.06
27,José Fonte,Lille,40, D(C),36,3190,3,-,7,-,0.8,90.4,2.2,-,7.05
28,Reinildo,Lille,30," D(CL),M(L)",24(5),2183,-,-,2,1,0.1,81.3,1.9,3,7.05
29,Marquinhos,PSG,29," D(CR),DMC",24(1),2129,3,1,2,-,0.6,93,2,-,7.05
30,Rafinha,PSG,32, M(CLR),15(8),1368,-,4,2,-,1,90.9,0.3,2,7.02
31,Mahdi Camara,Saint-Etienne,25," D(CR),M(C)",37,3295,3,2,4,-,0.6,86.4,1.3,2,7.01
32,Léo Dubois,Lyon,29," D(LR),M(R)",35(2),2917,2,4,3,-,0.5,83,1,2,7.00
33,Zeki Çelik,Lille,27," D(R),M(R)",28(1),2389,3,2,8,-,0.5,78.6,0.9,3,7.00
34,Sven Botman,Lille,24, D(C),37,3311,-,-,3,-,0.4,86.5,3.2,1,6.99
35,Florian Thauvin,Marseille,31," M(CLR),FW",33(3),2749,8,8,5,-,2,79.1,0.3,4,6.98
36,Mathieu Debuchy,Saint-Etienne,38," D(CR),M(R)",25(1),2108,2,1,5,-,1,72.6,2.7,1,6.97
37,Marcelo,Lyon,36, D(C),34,2912,3,-,5,2,0.7,88.2,3.3,-,6.97
38,Massadio Haïdara,Lens,31," D(CL),M(L)",24(1),2136,2,1,6,-,0.5,82.2,1.7,2,6.96
39,Moise Kean,PSG,24," AM(LR),FW",22(4),1709,13,-,4,-,2,78.8,0.5,-,6.95
40,Sofiane Diop,Monaco,23, AM(CLR),24(8),2036,7,1,4,-,1.4,80.6,0.6,-,6.95
41,Loïc Badé,Lens,24, D(C),29(2),2610,-,-,9,1,0.4,85.5,3.6,3,6.95
42,Tino Kadewere,Lyon,28," AM(LR),FW",24(9),2022,10,3,4,-,1.8,75.2,1,5,6.94
43,Boubacar Kamara,Marseille,24," D(CL),DMC",35,2905,-,2,6,-,0.5,86.7,1.9,2,6.94
44,Nayef Aguerd,Rennes,28, D(C),35,3148,3,1,6,-,0.8,90.4,3.5,2,6.94
45,Valentin Rongier,Marseille,29," D(R),M(C)",21(5),1895,1,2,8,-,0.7,86.3,1,2,6.93
46,Laurent Koscielny,Bordeaux,38, D(C),25(1),2218,-,2,3,-,0.2,90.1,2.1,1,6.92
47,Brendan Chardonnet,Brest,29, D(C),30(3),2714,3,1,3,1,0.6,82.6,2.4,2,6.92
48,Dimitri Payet,Marseille,37," M(CLR),FW",28(5),2429,7,10,4,2,1.4,78.9,0.1,3,6.92
49,Serhou Guirassy,Rennes,28," AM(L),FW",19(8),1766,10,1,3,-,1.9,76.1,2.6,2,6.91
50,Randal Kolo Muani,Nantes,25," AM(CLR),FW",35(2),3042,9,4,3,-,1.6,67.3,2.1,6,6.91
51,Pol Lirola,Marseille,26," D(CR),M(LR)",17(2),1554,2,2,3,-,0.5,78.3,0.9,1,6.90
52,Keylor Navas,PSG,37, GK,29,2522,-,-,-,-,-,85.6,0.1,2,6.90
53,Yunis Abdelhamid,Reims,36, D(C),33,2890,3,-,4,1,0.5,85.7,2.8,2,6.89
54,Hatem Ben Arfa,Bordeaux,37," M(CR),FW",19(5),1708,2,4,2,-,1.4,85.6,0.2,3,6.89
55,Habib Maïga,Metz,28," DMC,M(R)",31,2698,1,3,9,-,0.8,82.7,1.3,1,6.89
56,Hamari Traoré,Rennes,32," D(R),M(R)",34(1),3004,1,1,4,-,0.7,86,1.1,1,6.89
57,Alexander Djiku,Strasbourg,29," D(CR),DMC",29(1),2553,-,-,8,-,0.5,84.5,1.8,1,6.88
58,Jonathan Clauss,Lens,31," D(R),M(LR)",30(3),2538,3,6,2,-,1,77.2,0.6,5,6.88
59,Gelson Martins,Monaco,28, M(LR),20(3),1562,3,2,3,-,1.1,85.3,0.4,2,6.88
60,Martin Terrier,Rennes,27," AM(CL),FW",30(4),2454,9,7,3,1,1.4,80.1,1.5,2,6.88
61,Armand Laurienté,Lorient,25," AM(LR),FW",16(13),1618,3,5,4,-,2,83.8,0.4,3,6.88
62,Cheick Doucouré,Lens,24, DMC,30(3),2633,2,1,8,-,1.1,86.6,0.8,1,6.87
63,Yoane Wissa,Lorient,27," AM(L),FW",30(8),2685,10,4,2,-,1.5,76.4,1.3,3,6.86
64,Maxwel Cornet,Lyon,27," D(L),M(LR),FW",29(7),2457,2,5,5,-,0.6,80.8,1.1,2,6.86
65,Luiz Araújo,Lille,27," AM(CLR),FW",17(11),1502,4,2,5,-,1.8,78,0.4,2,6.86
66,Benjamin Bourigeaud,Rennes,30, M(CLR),29(8),2559,6,5,8,-,1.7,82.1,0.5,2,6.86
67,Idrissa Gueye,PSG,34, M(C),20(8),1587,2,1,3,-,0.7,92.6,0.9,-,6.85
68,Florian Sotoca,Lens,33," M(CR),FW",28(5),2422,8,3,7,-,2.2,73.6,2.8,2,6.85
69,Franck Honorat,Brest,27," M(LR),FW",28(8),2471,8,5,3,-,1.1,72.1,0.6,2,6.85
70,Ruben Aguilar,Monaco,31," D(R),M(R)",27(6),2233,1,3,6,-,0.2,85.4,1.5,1,6.85
71,Romain Perraud,Brest,26," D(L),M(L)",35(1),3141,3,7,4,-,1.3,79.9,0.8,2,6.84
72,Gaël Kakuta,Lens,32," M(CLR),FW",30(5),2414,11,5,3,-,1.5,76.5,0.6,-,6.84
