,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
286,Kévin Zohi,Strasbourg,27, AM(LR),6(14),623,1,1,-,-,0.9,76.8,0.5,-,6.39
287,Bassem Srarfi,Nice,26," D(L),M(LR)",8(14),813,1,-,2,-,0.5,81.3,0.4,-,6.38
288,Kwon Chang-Hoon,Dijon,29, AM(CR),10(9),936,2,-,1,-,1.1,74.7,0.9,-,6.37
289,Théo Valls,Nimes,28, DMC,20(11),1772,-,-,2,-,0.7,79.4,0.7,-,6.36
290,Thiago Maia,Lille,27, DMC,10(14),1015,-,1,4,-,0.1,83.1,0.7,1,6.36
291,Yoël Armougom,Caen,25, D(L),20(9),1850,-,1,4,1,0.4,73.5,0.9,-,6.36
292,Rémi Walter,Nice,29, M(CR),8(11),828,2,-,1,-,0.5,91.1,0.3,-,6.35
293,Jean-Victor Makengo,Nice,25, M(CL),11(14),1025,1,-,3,-,0.5,86.2,0.2,1,6.35
294,Cheick Timité,Amiens,26," AM(R),FW",15(12),1453,1,1,2,-,1.3,76.6,0.8,-,6.34
295,Petar Skuletic,Montpellier,33, FW,4(24),581,1,1,-,-,1.2,69.2,1.7,1,6.33
296,Ismaël Diomandé,Caen,31," D(C),DMC",14(4),1297,-,1,4,1,0.5,82.5,0.8,-,6.31
297,Jordan Ikoko,Guingamp,30, D(LR),19(1),1707,-,-,3,-,0.2,73.5,0.4,-,6.29
298,Mathieu Bodmer,Amiens,41," D(C),M(C)",10(16),1065,1,-,1,-,0.5,69.6,1.6,-,6.29
299,Florent Balmont,Dijon,44, DMC,15(5),1083,-,1,3,-,0.3,84.4,0.1,-,6.28
300,Corentin Jean,Toulouse,28," AM(LR),FW",6(13),623,-,-,1,-,0.7,79,0.8,-,6.26
301,Aaron Leya Iseka,Toulouse,26," AM(C),FW",15(13),1440,4,-,2,1,1,79.4,1.2,-,6.25
302,Wilfried Kanga,Angers,26, FW,4(14),483,2,-,3,-,1,68.6,0.6,1,6.24
303,Rúnar Rúnarsson,Dijon,29, GK,25,2250,-,-,-,-,-,67.1,0.4,-,6.23
304,Cristian López,Angers,35, Forward,2(17),359,2,-,2,-,0.6,67.7,0.9,-,6.17
305,Moussa Sylla,Monaco,24," AM(R),FW",7(11),762,-,-,1,-,0.9,63.9,0.9,-,6.17
306,Farid El Melali,Angers,26," D(R),M(R)",0(18),310,-,1,1,-,0.4,77.1,0.1,-,6.16
