,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Kylian Mbappé,PSG,25," AM(CLR),FW",34(1),3032,28,17,10,-,4.2,82.2,0.1,12,8.04
1,Lionel Messi,PSG,36," AM(CR),FW",24(2),2153,6,14,-,-,3.4,86.7,0.2,5,7.77
2,Neymar,PSG,32," AM(CLR),FW",22,1861,13,6,10,-,2.5,82.2,0.2,2,7.65
3,Benjamin Bourigeaud,Rennes,30, M(CLR),38,3215,11,12,2,-,1.3,76.9,0.4,4,7.44
4,Dimitri Payet,Marseille,37," M(CLR),FW",28(3),2597,12,10,3,-,2.2,81.8,0.1,6,7.44
5,Martin Terrier,Rennes,27," AM(CL),FW",37,2805,21,3,1,-,2.4,81.1,1.1,4,7.41
6,Téji Savanier,Montpellier,32, M(C),28(1),2422,8,7,7,2,2.8,72.4,0.5,8,7.40
7,Aurélien Tchouaméni,Monaco,24," D(C),DMC",33(2),2933,3,2,9,1,1.6,86.7,2.2,5,7.32
8,Sofiane Boufal,Angers,30," AM(CLR),FW",28(1),2345,8,4,6,-,2.2,78.3,0.4,5,7.27
9,Lucas Paquetá,Lyon,26," M(CLR),FW",32(3),2713,9,6,3,-,2.5,79.6,1.3,4,7.24
10,Jonathan Clauss,Lens,31," D(R),M(LR)",35(2),3063,5,11,3,-,1.1,73.3,0.4,3,7.22
11,Marco Verratti,PSG,31, M(C),23(1),1951,2,2,12,-,0.3,91.6,0.2,2,7.21
12,Bruno Guimarães,Lyon,26, DMC,19(1),1642,-,3,2,-,0.6,88,0.6,3,7.21
13,Moussa Dembélé,Lyon,27, FW,25(5),2209,21,4,6,-,2.9,66.1,2,4,7.21
14,Romain Faivre,Brest,25, AM(CLR),20(1),1801,7,5,1,-,1.8,83.3,0.3,3,7.20
15,Ángel Di María,PSG,36," M(CLR),FW",19(7),1654,5,7,2,-,2,80.3,-,3,7.17
16,Karl Toko-Ekambi,Lyon,31," AM(LR),FW",26(4),2305,12,5,3,-,2.5,80.6,1.1,2,7.15
17,Gaëtan Laborde,Rennes,30," AM(CLR),FW",32(2),2741,12,8,1,-,2.5,65.7,2.6,4,7.14
18,Andrei Girotto,Nantes,32," D(C),DMC",36,3150,6,1,8,-,1.3,81.6,3,4,7.13
19,Franck Honorat,Brest,27," M(LR),FW",34,2911,11,4,3,-,1.8,74.5,0.5,4,7.13
20,Andy Delort,Nice,32," AM(R),FW",26(6),2449,16,2,3,-,3.1,61.1,3.1,5,7.09
21,Lovro Majer,Rennes,26, AM(CR),21(8),1841,6,8,1,-,1.6,81,0.1,1,7.06
22,Ludovic Ajorque,Strasbourg,30, FW,31(5),2743,12,8,5,1,1.6,72.9,3.5,4,7.05
23,Wissam Ben Yedder,Monaco,33," AM(C),FW",29(8),2541,25,5,3,-,1.9,73.5,0.6,1,7.04
24,Kiki Kouyaté,Metz,27, D(C),30,2666,1,-,8,1,0.7,81.4,3.1,6,7.04
25,Frédéric Guilbert,Strasbourg,29," D(CLR),M(R)",28(5),2521,-,4,4,-,0.7,75.5,0.8,4,7.04
