,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Robert Lewandowski,0.3,0.2,0.6,0.1,0.2,0.4,0.1,-
1,Christopher Nkunku,0.7,0.4,0.9,-,0.4,0.8,0.1,-
2,Joshua Kimmich,1.4,1.9,0.7,0.1,0.9,1.4,0.3,-
3,Erling Haaland,0.1,-,0.7,-,1.3,-,-,-
4,Patrik Schick,0.2,0.1,0.5,-,1,0.3,-,-
5,Florian Wirtz,1,0.5,0.6,-,0.1,0.8,-,-
6,Nico Schlotterbeck,2.3,1.8,1,0.7,4.6,0.5,1,-
7,Thomas Müller,1.1,0.5,0.3,-,0.4,1.2,-,1
8,Alphonso Davies,1.5,1,0.7,0.2,0.9,0.8,-,-
9,Serge Gnabry,1.4,0.4,0.3,-,0.1,1,-,-
10,Marco Reus,1.6,0.4,0.8,-,1.3,0.9,0.2,-
11,Jonas Hofmann,1.2,0.5,0.9,-,0.3,1,-,-
12,Moussa Diaby,0.6,0.3,1.2,-,0.1,1,-,-
13,Leroy Sané,0.9,0.4,0.8,-,-,0.5,-,-
14,David Raum,1.6,0.8,0.8,0.5,1.1,1.1,0.2,1
15,Kingsley Coman,0.7,0.4,0.4,-,0.1,0.5,-,-
16,Jude Bellingham,1.6,1.3,1.2,-,0.9,1,0.1,-
17,Julian Brandt,1.2,0.8,0.4,-,0.4,1.2,0.1,-
18,Filip Kostic,1.4,0.5,0.5,0.1,0.6,1.1,-,-
19,Anthony Modeste,0.3,0.1,1.2,-,0.9,0.5,0.1,-
20,Vincenzo Grifo,0.8,0.4,0.3,-,0.7,0.5,0.1,-
21,Nicolas Höfler,2.4,1.5,1.6,0.1,1.4,1.2,0.7,-
22,Leon Goretzka,1.3,0.9,0.8,0.1,1.2,0.8,0.1,-
23,Lucas Höler,1.2,0.5,1.1,-,1.1,0.4,0.1,-
24,Evan Ndicka,1.9,1.5,1.3,1,4.1,0.5,0.6,1
