,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Robert Lewandowski,0.4,0.2,0.8,-,0.5,0.2,-,-
1,Thiago Alcântara,2.9,1.5,1.7,-,0.6,0.8,0.1,-
2,Kerem Demirbay,2.2,0.8,1.8,-,0.8,1.5,0.4,-
3,Marcel Halstenberg,2.4,1.4,0.9,0.5,1.9,0.8,0.1,-
4,Sébastien Haller,0.8,0.5,1.4,-,0.8,0.4,-,-
5,Jadon Sancho,0.6,0.4,0.1,-,0.1,0.6,-,-
6,Joshua Kimmich,1.4,1,0.8,0.1,1,0.9,0.3,-
7,Thorgan Hazard,1.5,0.8,0.8,-,0.2,0.9,0.1,-
8,Willi Orbán,2,1.5,1.1,1.4,5.7,0.6,0.6,-
9,Lukasz Piszczek,2.9,2,0.8,0.2,3,0.8,0.2,-
10,Marco Reus,1.2,0.3,1.3,-,1.2,0.9,-,-
11,Kingsley Coman,0.5,0.2,0.8,-,0.1,0.6,-,-
12,Ishak Belfodil,0.5,0.1,0.9,-,0.5,0.4,-,-
13,Kevin Volland,1,0.2,1.2,0.1,0.9,0.4,-,-
14,Daniel Caligiuri,3,1.6,1,0.1,2,1.9,0.3,-
15,Yussuf Poulsen,0.6,0.2,1.8,0.1,0.9,0.7,0.1,-
16,Marko Grujic,2,1.3,2,0.1,2.3,1.1,0.3,-
17,Filip Kostic,1.9,0.7,0.8,0.1,1.1,1.2,0.2,-
18,Julian Brandt,0.8,0.5,0.4,-,0.2,1.1,-,-
19,Kai Havertz,0.8,0.5,0.7,-,0.8,0.7,0.1,-
20,Wout Weghorst,0.9,0.3,1.1,-,0.9,0.8,0.1,-
21,James Rodríguez,0.6,0.2,0.4,-,0.1,0.7,-,-
22,Max Kruse,0.5,0.3,0.7,-,0.2,1,-,-
23,Joelinton,1.3,0.5,2,-,0.3,0.7,0.1,-
24,Thomas Müller,1.3,0.3,0.7,-,0.4,0.9,0.2,-
25,Ibrahima Konaté,1.6,2.1,1.3,1,4.3,0.4,0.6,-
26,Kevin Stöger,2.5,1.2,1.9,0.1,0.6,1.5,0.2,-
27,Timo Werner,0.6,0.1,0.8,-,0.1,0.4,0.1,-
28,Mats Hummels,1.2,1.6,0.4,0.2,2.3,0.7,0.4,-
29,Serge Gnabry,1.2,0.4,0.8,-,0.1,0.8,-,-
30,Kevin Kampl,1.5,1.2,1.1,-,0.7,0.7,0.1,-
31,Thomas Delaney,2.3,1.9,1.5,-,1.4,0.4,0.3,-
32,Maximilian Arnold,1.6,1.1,1.4,-,1.3,1.2,0.3,-
33,Axel Witsel,1.4,1.4,0.8,-,1.4,0.3,0.2,-
34,Achraf Hakimi,1.6,1.4,0.7,0.3,1.8,0.9,0.2,-
35,Nils Petersen,1.2,0.5,1,-,1.4,0.8,0.1,-
36,William,2.6,2.7,1.2,0.2,3.5,1.3,0.1,-
37,Andrej Kramaric,0.3,0.3,0.2,-,0.4,0.7,0.1,-
38,Florian Grillitsch,2.6,2.4,1.4,0.1,1.7,1.5,0.3,-
