Name,Position,Date of Birth,Age,Nationality,Market Value
Florian Müller,Goalkeeper,"Nov 13, 1997",25,Germany,€1.50m
Fabian Bredlow,Goalkeeper,"Mar 2, 1995",28,Germany,€1.50m
Dennis Seimen,Goalkeeper,"Dec 1, 2005",17,Germany,€200k
Florian Schock,Goalkeeper,"May 22, 2001",22,Germany,€200k
Nicolas Glaus,Goalkeeper,"May 10, 2002",21,Switzerland,€125k
Konstantinos Mavropanos,Centre-Back,"Dec 11, 1997",25,Greece,€15.00m
Hiroki Ito,Centre-Back,"May 12, 1999",24,Japan,€10.00m
Waldemar Anton,Centre-Back,"Jul 20, 1996",26,Germany,€4.50m
Dan-Axel Zagadou,Centre-Back,"Jun 3, 1999",24,France,€2.50m
Leon Reichardt,Centre-Back,"Jun 28, 2004",19,Germany,-
Borna Sosa,Left-Back,"Jan 21, 1998",25,Croatia,€12.00m
Clinton Mola,Left-Back,"Mar 15, 2001",22,England,€500k
Josha Vagnoman,Right-Back,"Dec 11, 2000",22,Germany,€8.00m
Pascal Stenzel,Right-Back,"Mar 20, 1996",27,Germany,€1.50m
Antonis Aidonis,Right-Back,"May 22, 2001",22,Germany,€350k
Mattis Hoppe,Right-Back,"Jul 23, 2003",19,Germany,€150k
Wataru Endo,Defensive Midfield,"Feb 9, 1993",30,Japan,€6.50m
Atakan Karazor,Defensive Midfield,"Oct 13, 1996",26,Germany,€4.00m
Luca Bazzoli,Defensive Midfield,"Nov 1, 2000",22,Germany,€225k
Naouirou Ahamada,Central Midfield,"Mar 29, 2002",21,France,€10.00m
Nikolas Nartey,Central Midfield,"Feb 22, 2000",23,Denmark,€1.50m
Gil Dias,Left Midfield,"Sep 28, 1996",26,Portugal,€1.50m
Enzo Millot,Attacking Midfield,"Jul 17, 2002",20,France,€7.00m
Lilian Egloff,Attacking Midfield,"Aug 20, 2002",20,Germany,€1.50m
Genki Haraguchi,Attacking Midfield,"May 9, 1991",32,Japan,€1.00m
Ömer Beyaz,Attacking Midfield,"Aug 29, 2003",19,Türkiye,€700k
Laurin Ulrich,Attacking Midfield,"Jan 31, 2005",18,Germany,€500k
Chris Führich,Left Winger,"Jan 9, 1998",25,Germany,€4.00m
Darko Churlinov,Left Winger,"Jul 11, 2000",22,North Macedonia,€2.20m
Mateo Klimowicz,Left Winger,"Jul 6, 2000",22,Germany,€1.20m
Silas,Right Winger,"Oct 6, 1998",24,DR Congo,€8.00m
Tanguy Coulibaly,Right Winger,"Feb 18, 2001",22,France,€2.50m
Sasa Kalajdzic,Centre-Forward,"Jul 7, 1997",25,Austria,€15.00m
Serhou Guirassy,Centre-Forward,"Mar 12, 1996",27,Guinea,€14.00m
Tiago Tomás,Centre-Forward,"Jun 16, 2002",21,Portugal,€7.00m
Juan-José Perea,Centre-Forward,"Feb 23, 2000",23,Colombia,€2.00m
Luca Pfeiffer,Centre-Forward,"Aug 20, 1996",26,Germany,€1.70m
Thomas Kastanaras,Centre-Forward,"Jan 9, 2003",20,Germany,€700k
Alou Kuol,Centre-Forward,"Jul 5, 2001",21,Australia,€300k
