Name,Position,Date of Birth,Age,Nationality,Market Value
Jiri Pavlenka,Goalkeeper,"Apr 14, 1992",31,Czech Republic,€3.00m
Michael Zetterer,Goalkeeper,"Jul 12, 1995",27,Germany,€500k
Mio Backhaus,Goalkeeper,"Apr 16, 2004",19,Germany,€300k
Dudu,Goalkeeper,"Feb 10, 1999",24,Germany,€200k
Louis Lord,Goalkeeper,"Oct 22, 2003",19,Germany,€150k
Marco Friedl,Centre-Back,"Mar 16, 1998",25,Austria,€7.00m
Amos Pieper,Centre-Back,"Jan 17, 1998",25,Germany,€6.00m
Niklas Stark,Centre-Back,"Apr 14, 1995",28,Germany,€5.50m
Milos Veljkovic,Centre-Back,"Sep 26, 1995",27,Serbia,€5.50m
Anthony Jung,Centre-Back,"Nov 3, 1991",31,Germany,€1.50m
Fabio Chiarodia,Centre-Back,"Jun 5, 2005",18,Italy,€1.00m
Tim-Justin Dietrich,Centre-Back,"Nov 8, 2002",20,Germany,€200k
Lee Buchanan,Left-Back,"Mar 7, 2001",22,England,€3.50m
Mitchell Weiser,Right-Back,"Apr 21, 1994",29,Germany,€6.00m
Felix Agu,Right-Back,"Sep 27, 1999",23,Germany,€1.00m
Ilia Gruev,Defensive Midfield,"May 6, 2000",23,Bulgaria,€3.00m
Nicolai Rapp,Defensive Midfield,"Dec 13, 1996",26,Germany,€700k
Christian Groß,Defensive Midfield,"Feb 8, 1989",34,Germany,€500k
Tom Berger,Defensive Midfield,"Jul 31, 2001",21,Germany,€200k
Jens Stage,Central Midfield,"Nov 8, 1996",26,Denmark,€5.00m
Jean Manuel Mbom,Central Midfield,"Feb 24, 2000",23,Germany,€800k
Dikeni Salifou,Central Midfield,"Jun 8, 2003",20,Togo,€200k
Leon Opitz,Left Midfield,"Apr 11, 2005",18,Germany,-
Romano Schmid,Attacking Midfield,"Jan 27, 2000",23,Austria,€4.50m
Leonardo Bittencourt,Attacking Midfield,"Dec 19, 1993",29,Germany,€2.80m
Niklas Schmidt,Attacking Midfield,"Mar 1, 1998",25,Germany,€2.50m
Eren Dinkçi,Right Winger,"Dec 13, 2001",21,Germany,€1.00m
Benjamin Goller,Right Winger,"Jan 1, 1999",24,Germany,€450k
Maximilian Philipp,Second Striker,"Mar 1, 1994",29,Germany,€2.00m
Nick Woltemade,Second Striker,"Feb 14, 2002",21,Germany,€1.50m
Niclas Füllkrug,Centre-Forward,"Feb 9, 1993",30,Germany,€13.00m
Marvin Ducksch,Centre-Forward,"Mar 7, 1994",29,Germany,€7.50m
Oliver Burke,Centre-Forward,"Apr 7, 1997",26,Scotland,€2.50m
