Name,Position,Date of Birth,Age,Nationality,Market Value
Gregor Kobel,Goalkeeper,"Dec 6, 1997",25,Switzerland,€35.00m
Marcel Lotka,Goalkeeper,"May 25, 2001",22,Germany,€1.50m
Alexander Meyer,Goalkeeper,"Apr 13, 1991",32,Germany,€1.00m
Luca Unbehaun,Goalkeeper,"Feb 27, 2001",22,Germany,€650k
Silas Ostrzinski,Goalkeeper,"Nov 19, 2003",19,Germany,€150k
Nico Schlotterbeck,Centre-Back,"Dec 1, 1999",23,Germany,€40.00m
Niklas Süle,Centre-Back,"Sep 3, 1995",27,Germany,€35.00m
Mats Hummels,Centre-Back,"Dec 16, 1988",34,Germany,€6.00m
Soumaïla Coulibaly,Centre-Back,"Oct 14, 2003",19,France,€1.00m
Antonios Papadopoulos,Centre-Back,"Sep 10, 1999",23,Germany,€600k
Raphaël Guerreiro,Left-Back,"Dec 22, 1993",29,Portugal,€20.00m
Tom Rothe,Left-Back,"Oct 29, 2004",18,Germany,€3.50m
Nico Schulz,Left-Back,"Apr 1, 1993",30,Germany,€1.00m
Julian Ryerson,Right-Back,"Nov 17, 1997",25,Norway,€13.00m
Marius Wolf,Right-Back,"May 27, 1995",28,Germany,€10.00m
Thomas Meunier,Right-Back,"Sep 12, 1991",31,Belgium,€5.00m
Felix Passlack,Right-Back,"May 29, 1998",25,Germany,€1.50m
Mateu Morey,Right-Back,"Mar 2, 2000",23,Spain,€1.00m
Emre Can,Defensive Midfield,"Jan 12, 1994",29,Germany,€14.00m
Salih Özcan,Defensive Midfield,"Jan 11, 1998",25,Türkiye,€13.00m
Abdoulaye Kamara,Defensive Midfield,"Nov 6, 2004",18,France,€1.00m
Mahmoud Dahoud,Central Midfield,"Jan 1, 1996",27,Syria,€12.00m
Jude Bellingham,Attacking Midfield,"Jun 29, 2003",20,England,€120.00m
Julian Brandt,Attacking Midfield,"May 2, 1996",27,Germany,€40.00m
Giovanni Reyna,Attacking Midfield,"Nov 13, 2002",20,United States,€25.00m
Marco Reus,Attacking Midfield,"May 31, 1989",34,Germany,€7.00m
Göktan Gürpüz,Attacking Midfield,"Jan 22, 2003",20,Türkiye,€300k
Karim Adeyemi,Left Winger,"Jan 18, 2002",21,Germany,€40.00m
Jamie Bynoe-Gittens,Left Winger,"Aug 8, 2004",18,England,€14.00m
Thorgan Hazard,Left Winger,"Mar 29, 1993",30,Belgium,€7.00m
Donyell Malen,Right Winger,"Jan 19, 1999",24,Netherlands,€28.00m
Julien Duranville,Right Winger,"May 5, 2006",17,Belgium,€8.50m
Justin Njinmah,Right Winger,"Nov 15, 2000",22,Germany,€800k
Marco Pasalic,Right Winger,"Sep 14, 2000",22,Croatia,€350k
Sébastien Haller,Centre-Forward,"Jun 22, 1994",29,Cote d'Ivoire,€30.00m
Youssoufa Moukoko,Centre-Forward,"Nov 20, 2004",18,Germany,€30.00m
Anthony Modeste,Centre-Forward,"Apr 14, 1988",35,France,€700k
