,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
24,Christopher Trimmel,Union Berlin,37," D(CR),M(R)",32,2864,-,8,6,-,0.2,71.3,1.3,3,7.16,2.2,1.6,1.1,0.1,2.5,0.7,0.3,-,0.7,0.7,-,0.3,0.3,30.8,71.3,2.4,2.5,-
25,Denis Zakaria,Borussia M.Gladbach,27," D(C),DMC",22(1),1947,2,2,7,-,1,86.7,0.9,-,7.15,2.1,1.6,1,0.2,1.1,0.8,0.5,-,2,0.7,-,0.8,0.8,38.3,86.7,-,1.5,0.1
26,Marcel Halstenberg,RBL,32," D(CL),M(L)",28(1),2523,3,3,4,1,1.1,84.9,1.8,1,7.15,1.6,1.6,0.8,0.5,2.2,1,0.4,-,0.8,0.6,-,0.3,0.3,58.3,84.9,0.7,1.8,-
27,Ramy Bensebaïni,Borussia M.Gladbach,29," D(CL),DMC,M(L)",16(3),1450,5,3,6,1,1.2,77.5,2.4,-,7.14,1.7,2,1.4,-,2.1,0.7,0.2,-,0.8,1.3,0.1,0.7,0.7,40.6,77.5,0.3,2.2,-
28,Robert Skov,Hoffenheim,27," D(L),M(LR)",29(2),2613,4,7,4,-,2,79.0,0.6,1,7.14,1.3,0.6,0.7,0.1,1.1,0.8,0.2,-,1.3,1.2,0.1,0.5,0.5,32.2,79.0,1.7,1.1,-
29,Kingsley Coman,Bayern,27," M(LR),FW",17(7),1507,4,3,2,-,1.5,82.3,0.8,-,7.13,0.8,0.2,0.5,-,0.1,0.6,-,-,2.4,1.4,0.2,1.5,1.5,29.4,82.3,0.6,1.0,0.1
30,Mats Hummels,Borussia Dortmund,35, D(C),31,2586,1,3,6,1,0.7,87.5,2.9,-,7.11,1.8,1.9,0.9,0.8,3.4,0.6,0.6,1,0.5,0.3,0.1,0.2,0.2,73.5,87.5,-,6.4,0.1
31,Kevin Volland,Leverkusen,31," AM(CLR),FW",24(3),2051,10,7,3,-,2.9,70.8,1.4,4,7.1,0.6,0.2,0.8,-,0.3,0.4,0.1,-,0.8,0.7,1.1,1.5,1.5,20.2,70.8,0.3,0.3,0.2
32,Sebastian Andersson,Union Berlin,32, FW,31(2),2689,12,1,5,-,2,59.9,7.4,5,7.07,0.6,0.2,1.9,-,1.1,0.5,0.1,-,0.6,1.2,0.6,2,2,23.2,59.9,0.2,0.2,-
33,Nordi Mukiele,RBL,26," D(CR),M(R)",21(4),1785,3,1,1,-,0.9,76.9,2,2,7.07,2.4,1.9,0.6,0.4,2.1,0.5,0.2,-,0.4,1.1,0.1,0.8,0.8,44.4,76.9,0.2,1.2,-
34,Bas Dost,Eintracht Frankfurt,34, FW,16(8),1477,8,2,2,-,1.3,59.2,5.4,2,7.06,0.5,0.2,0.7,-,0.9,0.2,0.1,-,0.1,0.5,0.4,0.2,0.2,19.1,59.2,-,0.5,-
35,Wout Weghorst,Wolfsburg,31, FW,30(2),2741,16,3,7,-,2.7,63.1,4.1,4,7.06,0.5,0.1,1.4,-,0.9,0.5,0.1,-,0.6,1.3,0.6,1.3,1.3,24.5,63.1,0.1,0.3,-
36,Dayot Upamecano,RBL,25, D(C),27(1),2360,-,1,6,1,0.5,89.1,1.9,1,7.06,1.9,1.5,1,0.9,3,0.7,0.6,-,1,0.5,-,0.5,0.5,70.1,89.1,-,5.8,-
37,Patrik Schick,RBL,28," AM(R),FW",15(7),1304,10,2,3,-,2.4,72.0,2.7,-,7.06,0.3,0.1,0.7,-,0.8,0.3,0.1,-,0.8,1,0.4,0.6,0.6,13.5,72.0,-,0.1,-
38,Dedryck Boyata,Hertha Berlin,33, D(C),28,2441,4,1,8,1,0.6,89.4,2.7,2,7.04,0.9,2.2,0.8,0.5,5.6,0.3,1.1,-,0.3,0.3,0.1,0.1,0.1,48.9,89.4,-,3.9,-
39,Julian Brandt,Borussia Dortmund,28," M(CLR),FW",25(8),2210,3,7,-,-,1,83.8,0.6,-,7.04,1.5,0.5,0.4,-,0.3,0.9,0.1,-,2,0.6,0.1,1.5,1.5,49.1,83.8,0.2,3.0,0.2
40,Florian Niederlechner,Augsburg,33," AM(CR),FW",31(2),2732,13,6,1,-,2.4,73.4,1.4,4,7.03,0.6,0.2,1.4,-,1.2,0.5,0.2,1,0.8,1.9,1.2,1.2,1.2,14.4,73.4,0.1,0.5,0.1
41,Jordan Torunarigha,Hertha Berlin,26, D(CL),16(2),1461,1,1,3,-,0.1,85.3,2.2,-,7.03,1.8,1.7,0.9,0.7,4.1,0.5,1,-,0.8,0.3,-,0.3,0.3,44.2,85.3,0.1,4.3,0.1
42,Sebastian Schonlau,Paderborn,29," D(C),DMC",23,2070,2,-,2,-,0.5,87.9,2.5,1,7.01,2.8,1.7,0.9,1.1,5.7,1.1,0.7,-,0.4,0.9,-,0.1,0.1,63.7,87.9,-,3.9,-
