,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Lecce,11.8,18.6,9.7,14.6,1.8
1,Cremonese,15.3,18.5,10.3,12.1,1.8
2,AC Milan,10.7,18.2,7.6,11.8,1.6
3,Udinese,12.3,17.1,8.3,12.6,1.3
4,Bologna,12.7,17,7.9,12.6,2
5,Atalanta,11.8,16.7,11.1,12.4,1.5
6,Roma,10.4,16.4,9.7,11.7,1.5
7,Spezia,15.8,16.4,7.9,13.7,1.4
8,Empoli,16.1,15.9,7.4,11.6,1.4
9,Verona,14.2,15.9,8.9,14.2,2
10,Monza,12.8,15.7,8.8,12.9,1.8
11,Juventus,12.3,15.6,8.1,12,1.6
12,Sampdoria,15.8,15.5,8.3,13.3,1.4
13,Salernitana,15.6,15.4,8.7,12.4,1.8
14,Lazio,12.2,15.3,8.2,10.5,1.4
15,Fiorentina,9.1,15.3,6.8,12.8,1.5
16,Inter,11.2,15.1,8.3,11.7,1.8
17,Napoli,9.6,15,7.6,10.2,1.6
18,Sassuolo,12.7,13.2,7.3,10.7,1.1
19,Torino,11.4,12.4,7.7,13.3,2.1
