,Team,P,W,D,L,GF,GA,GD,Pts
0,Real Madrid,75,17,68,3,61.2,90.0,8.9,6.86
1,Barcelona,70,15.1,78,6,64.8,88.1,12.3,6.85
2,Atletico Madrid,70,14.2,86,8,50.4,84.2,11.9,6.75
3,Villarreal,59,13.3,86,4,56.7,85.4,9.5,6.68
4,Real Sociedad,51,12.3,91,2,54.6,81.9,17.6,6.65
5,Real Betis,46,11.1,77,15,50.5,82.4,12.1,6.63
6,Athletic Club,47,14.4,80,5,51.5,80.1,14.2,6.59
7,Mallorca,37,8.7,121,5,40.4,75.5,17.8,6.56
8,Celta Vigo,43,12.4,80,6,50.1,81.8,12.1,6.56
9,Girona,58,12,88,3,50.9,83.4,11.4,6.55
10,Valencia,42,12.8,86,8,51.8,80.6,13,6.54
11,Osasuna,37,11.7,91,7,48.1,78.0,16.2,6.54
12,Sevilla,47,12.3,112,13,52.7,83.0,13.1,6.53
13,Espanyol,52,11.1,91,10,42.6,76.5,17.1,6.53
14,Rayo Vallecano,45,13.6,87,6,50.8,78.8,11.5,6.51
15,Real Valladolid,33,11.8,89,6,48.5,79.1,12.5,6.50
16,Almeria,49,11.6,94,4,44.9,78.3,12.8,6.50
17,Getafe,34,9.8,116,9,39.2,70.6,19,6.49
18,Cadiz,30,10.4,107,7,41.3,74.1,16.1,6.49
19,Elche,30,10.7,93,12,44.9,79.1,12.8,6.44
