,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Daniele Orsato,15,21.4,0.64,0.07,3.0,45,0.07,1
1,Fabio Maresca,15,25.6,0.99,0.27,5.33,80,0.2,3
2,Daniele Chiffi,15,23.47,0.73,0.13,4.47,67,0.2,3
3,Maurizio Mariani,14,24.07,0.72,0.21,4.5,63,0.0,0
4,Daniele Doveri,14,25.43,0.79,0.36,3.5,49,0.21,3
5,Davide Massa,14,27.64,0.85,0.07,6.21,87,0.29,4
6,Antonio Rapuano,14,22.43,0.67,0.29,4.5,63,0.21,3
7,Livio Marinelli,14,24.07,0.68,0.64,3.36,47,0.21,3
8,Michael Fabbri,12,23.17,0.81,0.25,4.75,57,0.33,4
9,Luca Pairetto,12,26.08,0.85,0.42,4.42,53,0.17,2
10,Giovanni Ayroldi,12,27.5,0.8,0.25,5.25,63,0.08,1
11,Andrea Colombo,12,22.83,0.71,0.17,4.75,57,0.0,0
12,Matteo Marcenaro,12,23.42,0.75,0.25,4.83,58,0.5,6
13,Marco Di Bello,11,28.55,0.88,0.55,5.0,55,0.18,2
14,Antonio Giua,11,23.64,0.79,0.55,5.18,57,0.36,4
15,Simone Sozza,11,26.09,0.73,0.27,5.0,55,0.0,0
16,Matteo Marchetti,11,27.45,0.9,0.64,4.09,45,0.27,3
17,Massimiliano Irrati,10,23.7,0.73,0.4,5.1,51,0.2,2
18,Rosario Abisso,10,24.6,0.77,0.5,3.9,39,0.3,3
19,Francesco Fourneau,10,24.2,0.78,0.2,4.7,47,0.0,0
20,Luca Massimi,10,22.7,0.71,0.2,4.1,41,0.4,4
21,Juan Luca Sacchi,9,25.0,0.83,0.22,3.22,29,0.22,2
22,Marco Piccinini,9,25.33,0.8,0.11,4.44,40,0.0,0
23,Federico Dionisi,9,28.11,0.82,0.22,4.56,41,0.11,1
24,Gianluca Aureliano,8,24.25,0.74,0.38,3.13,25,0.13,1
25,Paolo Valeri,7,26.86,0.87,0.43,4.57,32,0.14,1
26,Davide Ghersini,7,23.0,0.69,0.43,4.14,29,0.29,2
27,Federico La Penna,7,25.14,0.75,0.14,3.86,27,0.0,0
28,Alessandro Prontera,7,26.29,0.89,0.29,4.43,31,0.14,1
29,Alberto Santoro,7,24.0,0.82,0.29,4.86,34,0.14,1
30,Gianluca Manganiello,6,21.17,0.59,0.33,3.5,21,0.0,0
31,Marco Guida,5,23.2,0.74,0.2,4.0,20,0.0,0
32,Ivano Pezzuto,5,23.8,0.85,0.2,4.0,20,0.0,0
33,Francesco Cosso,5,22.2,0.66,0.2,3.4,17,0.4,2
34,Ermanno Feliciani,5,22.4,0.72,0.2,3.8,19,0.0,0
35,Niccolò Baroni,4,26.25,0.82,0.0,4.25,17,0.25,1
36,Manuel Volpi,4,26.75,0.79,0.0,4.0,16,0.0,0
37,Giacomo Camplone,4,23.75,0.97,0.25,3.5,14,0.5,2
38,Luca Zufferli,3,26.0,0.7,0.0,3.0,9,0.0,0
39,Maria Ferrieri Caputi,3,23.67,0.86,0.33,2.33,7,0.0,0
40,Marco Serra,2,28.0,0.63,0.0,3.5,7,0.5,1
41,Daniele Perenzoni,2,28.5,0.83,0.5,4.0,8,0.0,0
42,Daniele Minelli,1,26.0,1.08,0.0,6.0,6,0.0,0
43,Daniele Paterna,1,30.0,1.11,0.0,6.0,6,2.0,2
44,Francesco Meraviglia,1,24.0,1.0,0.0,3.0,3,0.0,0
