,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Daniele Doveri,17,26.82,0.92,0.35,3.47,59,0.18,3
1,Marco Di Bello,17,27.18,0.87,0.47,4.29,73,0.24,4
2,Fabio Maresca,16,24.75,0.9,0.38,4.5,72,0.31,5
3,Daniele Chiffi,16,24.88,0.74,0.31,3.63,58,0.19,3
4,Daniele Orsato,15,28.0,0.87,0.27,5.87,88,0.13,2
5,Maurizio Mariani,14,28.79,0.99,0.21,4.86,68,0.36,5
6,Marco Guida,14,27.14,0.74,0.29,4.79,67,0.21,3
7,Davide Massa,14,26.29,0.83,0.14,4.21,59,0.36,5
8,Livio Marinelli,14,21.86,0.68,0.29,3.93,55,0.0,0
9,Simone Sozza,14,26.43,0.79,0.29,4.36,61,0.21,3
10,Rosario Abisso,13,25.92,0.88,0.46,4.69,61,0.31,4
11,Paolo Valeri,12,30.25,1.01,0.42,5.0,60,0.17,2
12,Michael Fabbri,12,23.67,0.8,0.17,3.67,44,0.5,6
13,Luca Pairetto,12,26.58,0.87,0.92,4.33,52,0.25,3
14,Gianluca Manganiello,12,24.08,0.88,0.17,3.5,42,0.17,2
15,Massimiliano Irrati,11,27.0,0.83,0.64,5.64,62,0.27,3
16,Juan Luca Sacchi,11,25.55,0.78,0.09,3.45,38,0.27,3
17,Francesco Fourneau,11,27.45,0.88,0.36,4.73,52,0.27,3
18,Luca Massimi,11,29.27,0.95,0.18,4.27,47,0.27,3
19,Giovanni Ayroldi,11,29.82,1.07,0.18,5.36,59,0.18,2
20,Alessandro Prontera,10,26.7,0.89,0.5,4.7,47,0.4,4
21,Antonio Rapuano,9,26.22,0.9,0.44,4.11,37,0.56,5
22,Davide Ghersini,8,21.38,0.72,0.63,3.25,26,0.13,1
23,Gianluca Aureliano,8,29.63,0.89,0.75,5.13,41,0.25,2
24,Marco Piccinini,8,26.0,0.92,0.38,4.25,34,0.5,4
25,Matteo Marchetti,8,26.13,0.95,0.5,4.5,36,0.0,0
26,Ivano Pezzuto,7,31.14,1.05,0.14,4.86,34,0.0,0
27,Federico Dionisi,7,26.86,1.09,0.43,3.57,25,0.43,3
28,Antonio Giua,6,25.67,0.91,0.5,5.33,32,0.17,1
29,Manuel Volpi,6,31.17,1.22,0.5,6.17,37,0.33,2
30,Piero Giacomelli,5,29.6,1.1,0.4,4.6,23,0.0,0
31,Marco Serra,5,24.8,0.93,1.0,5.2,26,0.2,1
32,Lorenzo Maggioni,4,29.0,0.82,0.5,5.0,20,0.25,1
33,Giacomo Camplone,3,30.0,0.97,0.0,3.67,11,0.67,2
34,Andrea Colombo,3,25.33,0.78,0.0,5.33,16,0.33,1
35,Matteo Marcenaro,3,28.33,0.89,0.33,4.67,14,0.0,0
36,Valerio Marini,2,28.5,0.95,1.5,5.5,11,0.0,0
37,Alberto Santoro,2,25.5,0.71,0.0,2.5,5,0.0,0
38,Matteo Gariglio,2,25.0,0.93,0.0,5.0,10,0.0,0
39,Francesco Cosso,2,25.0,1.04,1.0,5.0,10,1.0,2
40,Antonio Di Martino,1,26.0,0.93,0.0,3.0,3,0.0,0
41,Niccolò Baroni,1,23.0,0.77,2.0,3.0,3,0.0,0
42,Daniele Paterna,1,30.0,0.79,0.0,7.0,7,0.0,0
43,Francesco Meraviglia,1,29.0,0.73,0.0,7.0,7,0.0,0
44,Gianpiero Miele,1,27.0,0.53,0.0,4.0,4,0.0,0
