,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Maurizio Mariani,18,27.11,0.85,0.5,3.67,66,0.11,2
1,Daniele Doveri,17,29.06,1.07,0.29,4.06,69,0.0,0
2,Davide Massa,17,27.76,0.97,0.35,4.47,76,0.24,4
3,Marco Di Bello,17,27.41,0.96,0.47,4.65,79,0.18,3
4,Piero Giacomelli,17,29.65,1.02,0.65,4.59,78,0.06,1
5,Gianpaolo Calvarese,16,27.0,1.01,0.5,3.5,56,0.31,5
6,Daniele Chiffi,16,27.75,1.01,0.31,3.56,57,0.0,0
7,Daniele Orsato,15,29.07,0.97,0.13,5.13,77,0.13,2
8,Luca Pairetto,15,28.67,1.05,0.47,3.8,57,0.4,6
9,Michael Fabbri,14,23.57,0.81,0.36,4.57,64,0.21,3
10,Fabio Maresca,14,26.64,0.88,0.07,6.0,84,0.29,4
11,Paolo Valeri,13,27.0,0.99,0.38,4.38,57,0.23,3
12,Rosario Abisso,13,27.23,0.92,0.62,4.31,56,0.31,4
13,Marco Piccinini,13,27.85,0.95,0.38,3.62,47,0.08,1
14,Fabrizio Pasqua,12,25.0,0.85,0.25,3.42,41,0.25,3
15,Juan Luca Sacchi,12,25.75,0.86,0.33,4.17,50,0.08,1
16,Massimiliano Irrati,11,27.73,0.97,0.09,4.55,50,0.0,0
17,Marco Guida,10,27.7,0.94,0.5,4.2,42,0.3,3
18,Federico La Penna,10,28.0,0.96,0.4,4.8,48,0.4,4
19,Gianluca Manganiello,10,25.4,0.78,0.2,3.0,30,0.1,1
20,Francesco Fourneau,9,29.0,0.88,0.67,5.56,50,0.22,2
21,Valerio Marini,7,30.57,1.06,0.71,4.29,30,0.0,0
22,Giovanni Ayroldi,7,26.0,0.94,0.57,3.86,27,0.43,3
23,Gianluca Aureliano,6,26.17,1.02,0.67,5.5,33,0.0,0
24,Livio Marinelli,6,23.83,0.68,0.17,4.0,24,0.17,1
25,Antonio Giua,6,31.0,1.06,0.33,3.83,23,0.33,2
26,Simone Sozza,6,25.0,0.92,0.17,3.33,20,0.33,2
27,Ivano Pezzuto,5,28.4,0.96,0.8,3.0,15,0.0,0
28,Alessandro Prontera,5,28.6,1.1,0.4,3.4,17,0.4,2
29,Manuel Volpi,5,32.2,1.2,0.4,3.2,16,0.0,0
30,Federico Dionisi,5,29.4,1.07,0.4,4.4,22,0.0,0
31,Davide Ghersini,4,25.75,0.98,1.0,4.5,18,0.0,0
32,Antonio Di Martino,4,28.75,1.07,0.25,4.75,19,0.75,3
33,Antonio Rapuano,4,27.5,1.06,0.5,4.75,19,0.0,0
34,Luca Massimi,4,31.25,1.12,0.5,4.5,18,0.25,1
35,Eugenio Abbattista,3,26.33,0.81,0.0,5.0,15,0.33,1
36,Marco Serra,2,33.0,0.77,0.0,4.5,9,0.0,0
37,Daniele Paterna,2,21.0,1.14,0.0,2.0,4,0.0,0
38,Alberto Santoro,2,27.0,1.1,0.5,4.0,8,0.0,0
39,Matteo Gariglio,2,25.0,1.0,0.5,2.0,4,0.0,0
40,Matteo Marchetti,2,32.0,1.6,0.0,4.0,8,0.0,0
41,Riccardo Ros,1,37.0,1.06,1.0,6.0,6,1.0,1
42,Lorenzo Maggioni,1,21.0,0.75,0.0,1.0,1,0.0,0
43,Giacomo Camplone,1,20.0,0.8,1.0,4.0,4,0.0,0
44,Francesco Meraviglia,1,22.0,0.73,0.0,3.0,3,1.0,1
