,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Deniz Aytekin,19,24.95,0.73,0.42,3.89,74,0.16,3
1,Dr. Felix Brych,18,22.78,0.65,0.39,3.67,66,0.06,1
2,Robert Schröder,16,23.56,0.81,0.5,3.75,60,0.25,4
3,Harm Osmers,15,25.0,0.8,0.27,4.87,73,0.33,5
4,Christian Dingert,15,25.07,0.71,0.4,4.6,69,0.13,2
5,Felix Zwayer,15,22.93,0.7,0.33,4.13,62,0.07,1
6,Tobias Stieler,15,20.13,0.58,0.27,2.33,35,0.07,1
7,Sven Jablonski,15,20.67,0.55,0.4,4.4,66,0.07,1
8,Daniel Siebert,15,24.73,0.69,0.13,4.13,62,0.13,2
9,Daniel Schlager,15,23.2,0.76,0.4,4.87,73,0.27,4
10,Sascha Stegemann,14,23.21,0.76,0.21,4.79,67,0.07,1
11,Florian Badstübner,14,22.14,0.76,0.43,3.57,50,0.14,2
12,Bastian Dankert,13,25.77,0.84,0.23,3.15,41,0.23,3
13,Frank Willenborg,13,21.46,0.64,0.62,4.46,58,0.23,3
14,Marco Fritz,13,23.85,0.71,0.38,3.31,43,0.0,0
15,D.M. Jöllenbeck,13,24.31,0.77,0.69,2.92,38,0.23,3
16,Robert Hartmann,12,20.58,0.66,0.33,3.58,43,0.0,0
17,Tobias Welz,10,23.2,0.72,0.3,4.7,47,0.4,4
18,Martin Petersen,10,23.4,0.67,0.2,4.8,48,0.0,0
19,Benjamin Cortus,9,25.78,0.91,0.33,5.0,45,0.11,1
20,Patrick Ittrich,9,25.33,0.91,0.33,3.44,31,0.0,0
21,Tobias Reichel,9,28.0,0.93,0.11,3.44,31,0.0,0
22,Benjamin Brand,6,29.83,1.03,0.17,4.67,28,0.33,2
23,Timo Gerach,2,26.0,0.79,0.5,3.5,7,0.0,0
24,Robin Braun,1,22.0,0.79,1.0,3.0,3,0.0,0
