,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
86,Gareth Bale,Real Madrid,34," M(CLR),FW",21(8),1794,8,3,4,-,2.6,78.3,1.3,2,6.88
87,Clément Lenglet,Barcelona,28, D(C),22(1),1935,1,-,8,1,0.3,89.4,1.9,1,6.88
88,Daniel Carriço,Sevilla,35," D(C),DMC",24,2132,1,1,10,-,0.4,79.7,2.5,1,6.88
89,Pedro Alcalá,Girona,35, D(C),20(5),1869,1,1,9,-,0.6,79.4,3.5,1,6.88
90,Okay Yokuslu,Celta Vigo,30," D(C),DMC",26(4),2205,2,-,10,-,0.6,86.1,2.6,1,6.87
91,Simon Kjær,Sevilla,35, D(C),25(1),2016,-,-,5,-,0.5,85.7,3,-,6.87
92,Nacho Martínez,Real Valladolid,35," D(LR),M(L)",35,3150,1,3,10,-,0.5,71,0.9,2,6.87
93,Alejandro Granell,Girona,35," DMC,M(L)",26(6),2392,-,4,5,-,1.2,76.1,1,1,6.87
94,Franco Vázquez,Sevilla,35," AM(CLR),FW",26(8),2290,3,4,8,1,1.3,79.3,2,-,6.87
95,Thomas Lemar,Atletico,28, AM(CLR),22(9),1829,3,3,4,-,0.8,85.2,0.3,1,6.87
96,Joaquín,Real Betis,42," M(CLR),FW",17(13),1697,6,-,5,-,0.8,84.8,0.5,1,6.87
97,Yuri Berchiche,Athletic Club,34," D(L),M(L)",35,3121,2,2,9,1,0.8,81.9,2.2,1,6.87
98,Hugo Mallo,Celta Vigo,32," D(CR),M(R)",35,3094,1,4,11,-,0.7,74.6,1.7,-,6.86
99,José Luís Morales,Levante,36," D(R),M(CLR),FW",35(2),3197,12,5,7,-,1.8,71.1,0.4,2,6.86
100,Pape Diop,Eibar,38, M(C),27(1),2356,1,1,11,-,1.3,73.2,3.6,-,6.85
101,Iñigo Martínez,Athletic Club,32, D(C),33,2903,-,-,12,-,0.8,78,2.9,-,6.85
102,Esteban Granero,Espanyol,36, M(CLR),24(4),2020,3,1,11,-,1.1,86.2,0.8,2,6.85
103,Marc Muniesa,Girona,32, D(CL),15(4),1403,-,-,6,-,0.4,80.7,1.6,1,6.83
104,Cristiano Piccini,Valencia,31, D(CR),21(2),1868,1,-,3,-,0.5,78.5,1.1,1,6.83
105,Théo Hernández,Real Sociedad,26," D(CL),M(L)",22(2),1977,1,2,5,1,1,82.8,0.9,3,6.83
106,Mikel Oyarzabal,Real Sociedad,27," AM(CLR),FW",36(1),3160,13,2,2,-,1.8,73.9,1.2,1,6.83
107,Karl Toko-Ekambi,Villarreal,31," AM(LR),FW",24(10),2149,10,1,5,-,1.7,74.7,1,2,6.83
108,Javi López,Espanyol,38," D(R),DMC",21(2),1949,-,-,3,1,0.3,78.1,1.5,1,6.83
109,Iker Muniain,Athletic Club,31, AM(CLR),27(7),2387,7,4,7,-,0.7,85.9,0.2,1,6.83
110,Oier Olazábal,Levante,34, GK,21,1890,-,-,1,-,-,54.4,0.2,4,6.82
111,Djené Dakonam,Getafe,32," D(CR),DMC",34,2981,-,-,11,2,0.4,71.9,2.6,3,6.81
112,Igor Zubeldia,Real Sociedad,27," D(C),DMC",29(4),2552,-,1,7,-,0.5,85.8,1.8,3,6.81
113,Marcelo,Real Madrid,35," D(L),M(L)",21(2),1841,2,2,6,-,1.5,83.5,0.3,1,6.81
114,Toni Villa,Real Valladolid,29, AM(CLR),21(5),1774,2,2,3,-,1.3,78,0.1,1,6.80
115,Sergi Enrich,Eibar,34, FW,30(5),2593,7,4,4,-,1.9,71.5,5,2,6.80
