,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
153,Joel Ward,Crystal Palace,34," D(CLR),DMC,M(R)",27(1),2486,-,-,8,-,0.4,79.2,2.1,-,6.72,1.6,1.1,0.8,0.3,3.4,1,0.4,-,0.7,0.8,-,0.6,0.6,51.6,79.2,0.1,2.4,-
154,Adam Webster,Brighton,29, D(C),16(6),1432,2,-,5,-,0.4,81.0,2.5,2,6.72,1.2,0.8,0.7,0.5,2.8,0.3,0.8,-,0.5,0.2,-,-,-,52.4,81.0,-,3,-
155,Timothy Castagne,Leicester,28," D(CLR),M(LR)",22(5),2126,1,-,1,-,0.3,82.0,1.4,-,6.71,2.5,1.1,0.6,0.2,1.7,0.6,0.3,-,0.2,0.3,-,0.4,0.4,40.8,82.0,0.4,1.3,-
156,Andros Townsend,Everton,32," AM(CLR),FW",17(4),1459,3,2,3,-,1,78.1,0.3,2,6.71,1.5,0.7,0.5,-,0.2,1.2,0.1,-,1.2,1.9,-,0.9,0.9,18.7,78.1,1.3,0.3,-
157,Ederson,Man City,30, GK,37,3330,-,-,3,-,-,88.8,0.3,-,6.7,0.1,-,-,-,0.6,0.1,-,-,-,0.1,-,-,-,25.9,88.8,-,4,-
158,Craig Dawson,West Ham,33, D(CR),30(4),2754,2,2,4,1,0.7,80.9,2.8,-,6.7,0.9,0.9,1.1,0.4,4.1,0.3,1.5,-,0.1,0.4,-,0.1,0.1,37.5,80.9,-,3,-
159,Fraser Forster,Southampton,36, GK,19,1710,-,-,1,-,-,54.7,0.4,1,6.7,0.1,-,-,-,1.8,0.1,-,-,-,0.2,-,-,-,27.9,54.7,-,6.4,-
160,Fernandinho,Man City,38," D(CR),M(C)",10(9),960,2,1,1,-,0.9,88.8,1.2,-,6.7,1.1,0.4,0.7,0.2,0.7,0.9,0.1,-,0.5,0.5,-,0.4,0.4,44.1,88.8,0.1,1.8,0.1
161,Fabian Schär,Newcastle,32, D(C),25,2161,2,2,4,-,0.8,69.6,1.8,1,6.7,0.6,1.3,1,0.4,3.8,0.3,0.7,-,0.2,0.4,0.1,0.2,0.2,39.4,69.6,-,5.1,-
162,Anthony Gordon,Everton,23," AM(CLR),FW",25(10),2285,4,2,4,-,1.3,74.2,0.5,2,6.7,1.5,0.6,0.7,-,0.2,1.1,0.1,-,1.1,1.8,0.2,1.1,1.1,17.5,74.2,0.7,0.2,-
163,Joshua King,Watford,32," AM(CLR),FW",27(5),2251,5,3,5,-,1.6,72.9,3.1,2,6.69,0.6,0.3,1.3,-,0.9,0.4,0.1,-,0.9,0.7,0.3,1.3,1.3,15.6,72.9,0.1,0.1,0.1
164,Danny Welbeck,Brighton,33," AM(CLR),FW",15(10),1477,6,2,-,-,1.7,77.7,1.9,-,6.69,0.6,0.2,0.7,0.1,0.7,0.3,0.1,-,0.4,0.5,0.2,0.9,0.9,10.9,77.7,-,0.1,-
165,João Moutinho,Wolves,37, M(C),34(1),2975,2,1,4,-,0.6,86.7,0.4,2,6.69,2.1,1,1,-,0.9,2.2,0.2,-,0.5,0.4,-,0.6,0.6,54.9,86.7,0.8,3.8,-
166,Maxwel Cornet,Burnley,27," D(L),M(LR),FW",21(5),1778,9,1,2,-,1.8,70.6,0.9,1,6.69,0.6,0.4,0.8,-,0.5,0.3,0.2,-,0.5,0.8,1,1.3,1.3,14.5,70.6,0.4,0.2,-
167,Moussa Sissoko,Watford,34, M(CR),36,3221,2,1,5,-,0.7,78.3,1.8,-,6.68,1.5,0.8,1,-,1.7,0.4,0.4,-,1.4,0.3,0.1,1.5,1.5,31.8,78.3,0.4,1.6,0.1
168,Vicente Guaita,Crystal Palace,37, GK,30,2656,-,-,2,-,-,74.9,0.3,1,6.68,-,-,-,-,0.7,-,-,-,-,0.1,-,-,-,26.6,74.9,-,4.5,-
169,Kiernan Dewsbury-Hall,Leicester,25, M(C),23(5),2106,1,2,4,-,0.8,81.2,0.6,1,6.68,1.4,0.8,0.7,-,0.8,0.8,0.3,-,1.1,1,-,1.6,1.6,41.0,81.2,0.3,1.1,0.1
170,Christian Pulisic,Chelsea,25," M(CLR),FW",13(9),1286,6,2,2,-,1.3,80.3,0.5,1,6.67,0.5,0.2,0.7,-,0.4,0.6,-,-,1.1,1.4,0.2,1.1,1.1,19.9,80.3,0.1,0.3,-
171,Jordan Ayew,Crystal Palace,32," AM(CLR),FW",23(8),2024,3,3,2,-,1.1,83.6,1.0,-,6.67,1.5,0.5,1.2,-,0.4,0.5,0.1,-,1.1,2.1,0.1,2.5,2.5,21.6,83.6,0.3,0.3,0.2
172,Granit Xhaka,Arsenal,31," D(L),M(C)",27,2331,1,2,10,1,1,86.8,1.0,1,6.67,1.2,0.8,1.1,0.1,1,0.9,0.2,-,0.7,0.7,0.1,0.9,0.9,57.1,86.8,0.3,2,0.2
173,Jack Harrison,Leeds,27," AM(CLR),FW",32(3),2652,8,1,3,-,1.2,70.5,0.5,3,6.67,1.6,0.6,0.8,0.1,0.5,1.3,-,-,1.5,0.7,0.1,1.9,1.9,24.9,70.5,0.5,0.6,0.1
174,Joachim Andersen,Crystal Palace,27, D(C),32(2),2915,-,3,4,-,0.2,81.6,1.6,-,6.66,0.9,1.1,0.6,0.2,3.6,0.3,0.6,1,0.2,0.2,-,0.2,0.2,68.6,81.6,0.1,7.4,0.1
175,Raúl Jiménez,Wolves,32, FW,30(4),2640,6,4,5,2,1.7,71.8,1.9,1,6.66,0.9,0.4,1.3,-,0.8,0.7,0.1,-,1.1,1.4,0.7,1.7,1.7,22.1,71.8,0.1,0.7,0.1
176,Michael Olise,Crystal Palace,22, AM(CLR),12(14),1138,2,5,4,-,0.7,81.4,0.3,1,6.66,0.8,0.2,0.6,-,0.2,0.7,-,-,1.1,1,-,0.8,0.8,21.0,81.4,0.7,1.1,0.1
177,Odsonne Édouard,Crystal Palace,26," AM(L),FW",18(10),1567,6,3,4,-,1.4,73.7,1.4,-,6.66,0.6,-,0.9,-,0.6,0.5,0.2,-,1.1,0.2,0.1,1,1,14.8,73.7,-,0.1,-
178,Jadon Sancho,Man Utd,24, AM(CLR),20(9),1904,3,3,-,-,0.9,83.5,0.1,1,6.66,0.5,0.5,0.1,-,0.2,0.5,-,-,1.6,0.2,0.2,0.9,0.9,32.2,83.5,0.3,0.4,0.1
179,Christian Benteke,Crystal Palace,33, FW,11(14),1136,4,1,3,-,1.6,64.4,3.4,3,6.66,0.1,0.1,0.6,-,1.3,0.2,0.1,-,0.4,0.6,0.4,0.7,0.7,11.9,64.4,-,0.3,-
180,Édouard Mendy,Chelsea,32, GK,34,3060,-,-,3,-,-,82.0,0.3,1,6.65,-,-,-,-,0.7,0.1,-,-,-,0.1,-,-,-,23.6,82.0,-,3.5,-
181,Ben Johnson,West Ham,24," D(CLR),M(LR)",16(4),1401,1,-,1,-,0.3,70.8,0.8,-,6.65,1.7,1.1,0.5,0.1,2.5,0.4,0.4,-,0.4,0.2,-,0.5,0.5,28.1,70.8,0.7,1.8,-
182,Martin Dúbravka,Newcastle,35, GK,26,2340,-,-,1,-,-,59.4,0.2,1,6.65,-,-,-,-,0.5,-,-,-,-,0.2,-,-,-,29.0,59.4,-,8.6,-
183,Aaron Ramsdale,Arsenal,25, GK,34,3060,-,-,1,-,-,62.6,0.2,2,6.65,0.1,-,-,-,1.1,-,-,-,-,0.1,-,-,-,29.7,62.6,-,4.7,-
184,Jonjo Shelvey,Newcastle,32, M(C),22(1),1962,2,1,5,-,1.3,81.2,0.4,1,6.65,1.3,1,0.7,-,0.8,0.8,0.3,-,0.4,0.3,-,0.2,0.2,38.7,81.2,0.4,5,0.1
185,Manuel Lanzini,West Ham,31, M(CLR),19(11),1789,5,3,2,-,0.5,91.9,0.2,1,6.65,0.9,0.6,0.4,-,0.3,0.8,-,-,0.8,0.6,-,0.5,0.5,40.1,91.9,0.2,1.1,-
186,Harry Maguire,Man Utd,31, D(C),28(2),2514,1,-,7,1,0.8,86.4,2.5,-,6.65,1.1,1.1,0.7,0.4,3.3,0.4,1,1,0.1,0.6,-,0.2,0.2,52.1,86.4,-,4,-
187,Danny Ings,Aston Villa,31," AM(C),FW",22(8),1906,7,6,4,-,1.6,69.3,0.9,2,6.65,0.8,0.2,0.5,-,0.7,0.8,0.1,-,0.3,0.4,0.4,0.7,0.7,12.0,69.3,-,0.3,-
188,Jean-Philippe Mateta,Crystal Palace,26, FW,13(9),1152,5,1,2,-,1.7,67.8,1.8,1,6.64,0.4,0.2,0.7,-,0.6,0.7,0.1,-,0.5,0.3,0.6,1,1,10.5,67.8,0.1,-,-
189,David de Gea,Man Utd,33, GK,38,3420,-,-,-,-,-,68.9,0.2,1,6.64,-,-,-,-,0.6,-,-,-,-,-,-,-,-,20.7,68.9,-,3.1,-
190,Ademola Lookman,Leicester,26," AM(CLR),FW",16(10),1459,6,-,2,-,1,78.3,0.1,1,6.64,1.2,0.4,1,-,0.1,0.7,-,-,1.5,1.3,0.2,2,2,19.5,78.3,0.1,0.1,0.1
191,Conor Coady,Wolves,31," D(CR),DMC",38,3364,4,-,5,-,0.3,89.7,0.8,-,6.64,0.8,0.7,0.5,0.9,3.7,0.3,1.1,-,-,-,0.1,-,-,44.4,89.7,-,3.8,-
192,Luke Shaw,Man Utd,28," D(CL),M(L)",19(1),1603,-,3,8,-,0.3,84.1,1.0,-,6.64,1.1,0.5,1.6,0.2,0.9,0.5,0.6,-,0.4,0.8,0.2,0.7,0.7,46.2,84.1,1.5,1.6,0.2
193,Robert Sánchez,Brighton,26, GK,37,3330,-,-,4,1,-,67.4,0.5,-,6.63,0.1,-,-,-,0.6,-,-,-,-,0.1,-,-,-,36.0,67.4,-,5.5,-
194,Nemanja Matic,Man Utd,35, DMC,16(7),1384,-,4,3,-,0.3,87.1,1.2,-,6.63,1.3,1.3,1.1,0.1,0.8,0.7,0.3,-,0.7,0.1,-,0.9,0.9,45.2,87.1,0.1,2.2,0.2
195,Emiliano Martínez,Aston Villa,31, GK,36,3240,-,-,4,-,-,70.4,0.3,-,6.63,-,-,-,-,0.3,0.1,-,-,-,0.2,-,-,-,26.0,70.4,-,4.8,-
196,Juraj Kucka,Watford,37, M(CLR),22(4),1924,1,1,3,1,1.8,68.7,2.2,1,6.63,2.3,1,1.8,-,1.7,1.8,0.3,1,0.7,1.9,0.1,0.7,0.7,26.1,68.7,0.2,1,-
197,Wout Weghorst,Burnley,31, FW,17(3),1457,2,3,3,-,1.5,64.3,2.8,-,6.62,0.9,0.3,1.5,-,0.7,0.7,0.3,-,0.7,0.9,0.5,1.5,1.5,21.3,64.3,0.1,0.2,-
198,Mohamed Elyounoussi,Southampton,29," AM(CLR),FW",23(7),2046,4,2,4,-,1.4,70.7,1.3,-,6.62,1.2,0.4,0.9,-,0.9,0.9,0.1,-,0.9,0.6,-,1.3,1.3,20.1,70.7,0.1,0.4,-
199,Séamus Coleman,Everton,35," D(CR),M(R)",30,2658,1,-,4,-,0.3,74.2,0.8,1,6.61,2,1.1,0.5,0.2,2.5,0.6,0.4,1,1.1,0.6,0.1,0.7,0.7,31.7,74.2,0.4,1.8,-
200,Illan Meslier,Leeds,24, GK,38,3385,-,-,2,-,-,69.0,0.4,-,6.61,-,-,-,-,1.2,-,-,-,0.1,0.2,-,-,-,29.3,69.0,-,4,-
201,Connor Roberts,Burnley,28," D(LR),M(R)",19(2),1693,1,1,2,-,0.3,72.9,0.6,-,6.61,1,1,0.3,0.2,2.5,0.2,0.2,-,0.3,1.4,-,0.3,0.3,30.8,72.9,0.3,1.1,-
202,Jordan Pickford,Everton,30, GK,35,3150,-,-,2,-,-,48.1,0.3,3,6.6,-,-,-,-,1,-,-,-,-,0.2,-,-,-,29.2,48.1,-,8.2,-
203,Eddie Nketiah,Arsenal,24, FW,8(13),825,5,1,3,-,1.4,77.7,0.4,2,6.6,0.4,0.2,0.8,-,0.2,0.1,0.1,-,0.7,0.7,0.2,0.5,0.5,10.7,77.7,-,-,-
204,James Milner,Liverpool,38," D(LR),M(CLR)",9(15),851,-,1,2,-,0.4,86.0,0.5,-,6.6,1.2,0.7,0.7,-,0.8,0.7,0.2,-,0.1,0.6,-,0.2,0.2,29.3,86.0,0.5,1.1,0.1
205,Nathan Redmond,Southampton,30," AM(CLR),FW",20(7),1834,1,5,-,-,1,73.1,0.5,1,6.6,0.8,0.3,0.6,-,0.5,0.9,0.1,-,0.8,0.6,0.1,0.6,0.6,24.8,73.1,0.7,0.9,0.1
206,Armando Broja,Southampton,22, FW,21(11),1981,6,-,2,-,1.4,61.4,2.8,1,6.59,0.4,0.1,0.9,-,0.3,0.2,-,-,1,0.8,0.4,1.6,1.6,12.4,61.4,-,-,-
207,Joe Willock,Newcastle,24, M(C),24(5),2015,2,-,-,-,1.2,81.4,0.6,1,6.59,2.2,0.7,1.2,-,0.2,1.3,0.2,-,1.2,0.9,-,0.7,0.7,18.3,81.4,0.1,0.6,-
208,Solly March,Brighton,29, M(CLR),17(14),1739,-,2,1,-,0.6,77.4,0.5,-,6.59,1,0.5,1,-,0.7,0.5,0.1,-,0.7,0.6,0.4,0.9,0.9,20.6,77.4,0.8,1.3,-
209,Emil Krafth,Newcastle,29, D(CR),18(2),1638,-,1,5,-,0.3,73.3,1.1,-,6.59,1.9,1.3,1.1,0.4,2.5,0.5,0.5,-,0.1,0.6,-,0.2,0.2,29.6,73.3,0.2,0.6,-
210,Matthew Lowton,Burnley,34," D(LR),M(R)",20(5),1772,1,2,3,1,0.4,67.4,1.0,-,6.59,1.5,1,0.5,0.1,2.5,0.7,0.4,-,0.4,0.2,-,0.2,0.2,25.9,67.4,0.4,2.5,-
211,Diego Llorente,Leeds,30," D(C),DMC",28,2344,3,-,7,-,0.4,81.4,1.8,1,6.58,1.9,1.4,0.8,0.3,2.7,0.5,0.6,-,0.3,0.8,-,0.1,0.1,48.5,81.4,-,3.1,-
212,Ismaïla Sarr,Watford,26," AM(CLR),FW",21(1),1865,5,2,2,-,1.8,77.5,0.5,1,6.58,0.5,0.4,0.8,-,0.4,0.6,-,-,1.5,2.1,0.5,1.8,1.8,18.8,77.5,0.4,0.5,-
213,Alex Iwobi,Everton,28, M(CLR),22(6),2037,2,2,1,-,0.9,79.6,0.3,1,6.58,1.4,0.7,0.6,-,0.9,1.1,0.1,-,1.1,0.2,0.1,1,1,24.9,79.6,0.4,1,0.1
214,Trincão,Wolves,24, AM(CLR),16(12),1340,2,1,-,-,1.1,80.8,0.2,1,6.58,1,0.4,0.5,-,-,0.6,-,-,1.6,0.8,-,0.6,0.6,15.3,80.8,0.3,0.6,-
215,Rodrigo,Leeds,33," M(CLR),FW",27(4),2275,6,1,9,-,1.5,75.5,0.5,1,6.57,0.6,0.4,0.7,-,0.8,0.9,-,-,0.7,1,0.1,0.9,0.9,28.1,75.5,0.4,1.3,0.2
216,Vladimír Coufal,West Ham,31," D(R),M(R)",25(3),2211,-,4,3,1,0.4,71.4,1.2,-,6.57,1.6,0.8,1,-,2,0.6,0.3,1,0.5,0.5,0.1,0.5,0.5,37.4,71.4,0.7,1.3,-
217,Kalvin Phillips,Leeds,28," D(C),DMC",18(2),1596,-,1,4,-,0.8,82.0,0.9,-,6.56,2.7,1.2,1.7,0.2,0.9,1.7,0.5,-,0.4,1,-,0.8,0.8,47.4,82.0,0.2,3.5,-
218,Anthony Elanga,Man Utd,22," AM(LR),FW",14(7),1217,2,2,-,-,1,78.2,1.1,-,6.56,1.2,0.4,0.4,-,0.2,0.7,-,-,0.5,1,0.1,0.7,0.7,19.7,78.2,0.2,0.2,-
219,Mathias Normann,Norwich,27, M(C),20(3),1653,1,2,6,-,1.1,71.8,1.2,1,6.56,1.5,0.8,1.6,-,1.7,1.3,0.3,-,0.7,1.2,-,0.7,0.7,32.5,71.8,0.3,2.8,0.2
220,Imrân Louza,Watford,25, M(CLR),17(3),1423,-,-,6,-,0.9,77.5,0.6,-,6.54,2.1,2.1,1.2,-,1,1.1,0.3,-,0.7,0.7,-,0.5,0.5,32.5,77.5,0.5,2.3,0.1
221,Brandon Williams,Norwich,23," D(LR),M(L)",23(3),2123,-,1,8,-,0.2,81.8,0.5,-,6.54,2.1,1.7,0.9,0.2,1.7,1.1,0.2,-,0.8,1.7,-,0.7,0.7,35.9,81.8,0.1,1.6,0.2
222,Rico Henry,Brentford,26," D(L),M(L)",33(1),2784,3,-,2,-,0.4,74.4,0.8,-,6.54,0.8,0.8,0.6,0.1,1.6,0.6,0.3,-,0.8,0.8,-,1,1,30.1,74.4,0.6,1,-
223,Tariq Lamptey,Brighton,23," D(LR),M(R)",16(14),1558,-,2,4,-,0.6,85.8,0.2,-,6.54,1.2,0.7,0.9,-,0.7,0.3,0.1,-,1,1.7,0.1,0.7,0.7,20.5,85.8,0.6,0.2,-
224,Timo Werner,Chelsea,28," AM(CLR),FW",15(6),1286,4,1,1,-,2.1,78.2,0.3,-,6.53,0.4,0.1,0.5,-,0.2,0.9,-,-,0.5,0.6,0.5,0.9,0.9,17.7,78.2,-,0.2,-
225,Mason Holgate,Everton,27," D(CR),DMC,M(R)",23(2),2134,2,1,7,1,0.3,68.4,2.5,-,6.53,1.4,1,1,0.2,3.7,0.6,0.7,1,0.1,0.6,-,0.3,0.3,33.7,68.4,-,3,-
226,Samir,Watford,29, D(CL),19,1676,-,-,4,-,0.4,80.7,2.5,-,6.53,1.3,2.3,0.9,0.4,4.3,0.6,0.6,-,0.1,0.8,-,0.2,0.2,35.1,80.7,-,2.1,-
227,Hwang Hee-Chan,Wolves,28," AM(CLR),FW",20(10),1822,5,1,2,-,0.9,81.0,0.3,1,6.53,0.9,0.4,1,-,0.2,1,-,-,1.1,1.4,0.1,0.8,0.8,20.9,81.0,0.1,0.7,-
228,Cédric Soares,Arsenal,32," D(LR),M(R)",16(5),1487,1,1,3,-,0.6,83.5,0.6,1,6.53,1.8,0.8,0.7,-,1.4,0.4,0.3,-,0.4,0.3,0.1,0.5,0.5,41.6,83.5,1,1.5,-
229,Yoane Wissa,Brentford,27," AM(L),FW",12(18),1275,7,1,-,-,1.1,68.1,0.7,-,6.52,0.4,0.3,0.3,-,0.2,0.5,0.2,-,0.6,0.7,0.2,0.2,0.2,9.1,68.1,-,0.2,-
230,Kelechi Iheanacho,Leicester,27," AM(C),FW",13(13),1263,4,5,1,-,1.2,77.4,0.6,1,6.52,0.4,0.2,0.7,-,0.4,0.4,-,-,0.6,0.4,0.3,0.8,0.8,13.4,77.4,0.1,0.2,0.2
231,Cucho Hernández,Watford,25," AM(CLR),FW",11(14),1143,5,2,3,-,1.4,65.6,1.3,2,6.51,0.5,0.2,0.5,-,0.4,0.9,-,1,0.7,0.5,-,0.6,0.6,13.5,65.6,0.5,0.7,-
232,Stuart Armstrong,Southampton,32, AM(CLR),15(10),1470,2,-,1,-,1.5,81.9,0.2,-,6.51,1.1,0.3,0.4,-,0.5,0.6,-,-,1.1,0.8,-,1.1,1.1,27.9,81.9,0.4,0.5,-
233,Ben Godfrey,Everton,26, D(CLR),23,2031,-,-,6,-,0.8,76.6,1.6,-,6.51,2,0.7,0.7,0.3,4,0.7,0.8,-,0.4,0.5,-,0.2,0.2,30.7,76.6,0.2,1,-
234,Albert Sambi Lokonga,Arsenal,24, DMC,12(7),1133,-,-,5,-,1.1,88.4,0.8,-,6.51,1.2,0.7,0.6,0.1,0.6,0.1,0.4,-,0.2,0.8,-,0.4,0.4,43.1,88.4,0.1,1.8,0.1
