,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Atalanta,98,18.7,78,2,55.4,83.9,16.8,6.93
1,Juventus,76,17.9,83,3,56.4,88.0,11.8,6.88
2,Inter,81,16.3,98,7,52.8,85.1,14.2,6.85
3,Lazio,79,15.3,97,3,50.1,84.2,12.4,6.84
4,Roma,77,16.9,103,7,52.0,84.7,14.4,6.80
5,AC Milan,63,16.3,93,6,53.6,84.5,14.6,6.79
6,Sassuolo,69,14.6,97,3,56.1,86.8,9.4,6.74
7,Napoli,61,18.1,74,2,57.2,88.2,10.8,6.73
8,Torino,46,11.7,87,7,48.5,79.7,19.3,6.70
9,Fiorentina,51,14.4,99,6,48.2,81.6,12.8,6.67
10,Parma Calcio 1913,56,12.2,81,1,45.3,79.4,15.1,6.67
11,Verona,47,11.7,83,7,49.9,78.1,19.6,6.66
12,Udinese,37,12.3,73,3,45.9,81.2,13.3,6.64
13,Cagliari,52,11.7,103,6,46.6,80.5,14.4,6.62
14,Bologna,52,14.6,103,7,51.8,81.7,17.8,6.61
15,Sampdoria,48,14.8,101,7,44.4,77.5,16.3,6.60
16,Lecce,52,13.9,93,5,46.0,81.8,13.1,6.55
17,Genoa,47,11.4,97,10,49.3,81.2,16.5,6.54
18,Brescia,35,11,89,6,42.9,75.5,13.7,6.48
19,SPAL 2013,27,12.3,95,4,47.6,81.1,15.1,6.48
