,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Napoli,77,16.2,47,1,62.1,87.8,12.8,6.81
1,Lazio,60,11.5,87,2,52.2,85.4,10.7,6.74
2,Inter,71,16.6,62,3,55.7,85.6,13.3,6.71
3,Juventus,56,14.1,72,6,49.4,83.6,12.8,6.71
4,AC Milan,64,14.5,86,2,55.6,82.6,14.8,6.70
5,Atalanta,66,13.5,81,3,49.9,80.6,15.2,6.67
6,Roma,50,13.1,78,4,48.1,81.3,14.4,6.64
7,Bologna,53,12.8,81,3,55.0,83.0,9.8,6.60
8,Fiorentina,53,15.9,89,3,56.4,82.3,15.5,6.60
9,Udinese,47,13.3,86,3,47.5,81.8,12.7,6.58
10,Torino,42,11.7,81,0,53.3,81.1,15.6,6.57
11,Monza,48,10.8,88,4,55.6,84.6,11.8,6.55
12,Empoli,37,11.8,82,7,47.1,80.3,11.5,6.53
13,Salernitana,48,10.1,84,4,44.6,78.7,14,6.51
14,Lecce,33,11,85,2,40.8,72.4,14.9,6.49
15,Sassuolo,47,12.8,84,6,49.1,82.5,9.9,6.48
16,Verona,31,10.9,104,3,40.5,70.7,21.4,6.47
17,Cremonese,36,12.2,81,3,41.4,75.0,14.8,6.47
18,Spezia,31,11.1,95,6,46.9,77.1,14.1,6.43
19,Sampdoria,24,9.9,104,3,45.6,78.2,16.4,6.41
