,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Juventus,70,16,74,4,54.9,86.2,14.7,6.93
1,Napoli,74,18.6,70,5,56.8,87.3,10.7,6.91
2,Atalanta,77,16.9,61,3,55.7,84.0,16.8,6.90
3,Roma,66,16.4,86,2,51.0,82.4,19.8,6.86
4,Torino,52,13.7,87,4,51.0,78.2,22.5,6.83
5,Inter,57,16.7,71,3,56.9,86.3,14.2,6.82
6,AC Milan,55,15.4,78,5,53.4,85.6,13.4,6.82
7,Lazio,56,16.1,88,4,50.5,82.3,16.8,6.80
8,Sampdoria,60,12.8,87,3,53.7,83.2,13.1,6.74
9,Fiorentina,47,15.4,88,5,50.4,79.2,17.3,6.71
10,Udinese,39,12.2,88,4,44.8,77.9,19,6.68
11,Bologna,48,13.2,87,6,46.2,77.9,20.3,6.67
12,Sassuolo,53,13.5,84,8,53.1,84.0,12.7,6.66
13,Genoa,39,14,92,7,44.7,75.1,20.5,6.64
14,SPAL 2013,44,12.2,111,3,50.4,82.5,15.7,6.64
15,Cagliari,36,11.5,90,9,49.4,79.0,23.1,6.62
16,Empoli,51,12,72,3,48.2,81.5,11.7,6.60
17,Parma Calcio 1913,41,9.3,80,3,41.0,74.5,15.4,6.59
18,Frosinone,29,12,99,2,43.1,76.5,17.2,6.51
19,Chievo,25,10.3,104,7,44.7,78.1,19.2,6.48
