,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg,P,W,D,L,GF,GA,GD,Pts
0,Juventus,70,16.0,74,4,54.9,86.2,14.7,6.93,11.7,15.0,10.4,12.4,2.0,16.0,5.3,9.9,12.3,38,28,6,4,70,30,40,90
1,Napoli,74,18.6,70,5,56.8,87.3,10.7,6.91,11.4,15.2,9.4,10.8,2.2,18.6,6.2,8.8,10.9,38,24,7,7,74,36,38,79
2,Atalanta,77,16.9,61,3,55.7,84.0,16.8,6.9,10.9,16.8,12.0,11.7,1.9,16.9,5.8,9.6,13.2,38,20,9,9,77,46,31,69
3,Roma,66,16.4,86,2,51.0,82.4,19.8,6.86,14.3,14.1,11.0,12.1,1.3,16.4,5.7,9.6,10.4,38,18,12,8,66,48,18,66
4,Torino,52,13.7,87,4,51.0,78.2,22.5,6.83,12.5,16.8,11.8,16.2,2.0,13.7,4.8,9.0,15.0,38,16,15,7,52,37,15,63
5,Inter,57,16.7,71,3,56.9,86.3,14.2,6.82,11.1,16.2,8.2,12.3,1.7,16.7,5.2,7.5,12.8,38,20,9,9,57,33,24,69
6,AC Milan,55,15.4,78,5,53.4,85.6,13.4,6.82,12.3,16.9,9.8,11.7,1.7,15.4,5.2,9.1,12.6,38,19,11,8,55,36,19,68
7,Lazio,56,16.1,88,4,50.5,82.3,16.8,6.8,12.4,17.3,11.4,13.2,2.6,16.1,5.1,9.1,10.3,38,17,8,13,56,46,10,59
8,Sampdoria,60,12.8,87,3,53.7,83.2,13.1,6.74,13.6,17.1,9.6,13.0,1.8,12.8,4.7,7.6,13.4,38,15,8,15,60,51,9,53
9,Fiorentina,47,15.4,88,5,50.4,79.2,17.3,6.71,12.3,15.6,10.9,14.8,1.3,15.4,4.7,8.1,13.3,38,8,17,13,47,45,2,41
10,Udinese,39,12.2,88,4,44.8,77.9,19.0,6.68,16.3,17.2,10.1,13.3,1.7,12.2,3.4,8.9,12.3,38,11,10,17,39,53,-14,43
11,Bologna,48,13.2,87,6,46.2,77.9,20.3,6.67,14.2,18.1,9.7,13.6,2.2,13.2,4.3,7.2,13.7,38,11,11,16,48,56,-8,44
12,Sassuolo,53,13.5,84,8,53.1,84.0,12.7,6.66,12.9,13.9,9.9,13.9,1.9,13.5,4.1,9.4,13.9,38,9,16,13,53,60,-7,43
13,Genoa,39,14.0,92,7,44.7,75.1,20.5,6.64,13.6,17.6,11.2,14.7,1.7,14.0,4.0,7.6,12.7,38,8,14,16,39,57,-18,38
14,SPAL 2013,44,12.2,111,3,50.4,82.5,15.7,6.64,14.3,15.3,10.2,13.1,1.0,12.2,3.6,7.2,14.5,38,11,9,18,44,56,-12,42
15,Cagliari,36,11.5,90,9,49.4,79.0,23.1,6.62,15.6,15.9,9.0,15.1,1.5,11.5,3.3,4.7,11.9,38,10,11,17,36,54,-18,41
16,Empoli,51,12.0,72,3,48.2,81.5,11.7,6.6,16.6,14.6,8.7,12.1,2.0,12.0,4.1,8.8,11.6,38,10,8,20,51,70,-19,38
17,Parma Calcio 1913,41,9.3,80,3,41.0,74.5,15.4,6.59,19.8,15.2,10.5,13.0,2.4,9.3,2.9,7.3,11.4,38,10,11,17,41,61,-20,41
18,Frosinone,29,12.0,99,2,43.1,76.5,17.2,6.51,16.7,15.0,10.1,14.7,1.9,12.0,3.3,5.6,14.1,38,5,10,23,29,69,-40,25
19,Chievo,25,10.3,104,7,44.7,78.1,19.2,6.48,15.7,16.4,12.4,15.5,2.1,10.3,3.1,5.3,12.5,38,2,14,22,25,75,-50,17
