,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg,P,W,D,L,GF,GA,GD,Pts
0,Juventus,77,15.7,76,6,26.5,88.3,11.4,6.85,11.4,14.9,12.1,13.3,2.4,15.7,5.7,11.9,12.4,38,23,9,6,77,38,39,78
1,Atalanta,90,16.3,66,3,29.6,83.5,16.8,6.84,8.6,15.9,13.6,15.3,1.5,16.3,6.1,10.4,12.4,38,23,9,6,90,47,43,78
2,AC Milan,74,14.7,80,4,51.4,84.0,15.2,6.82,12.2,16.5,10.1,13.5,2.4,14.7,5.4,10.9,12.5,38,24,7,7,74,41,33,79
3,Inter,89,14.5,59,2,52.0,87.0,11.8,6.81,10.2,13.3,9.8,12.4,1.7,14.5,5.4,6.8,11.2,38,28,7,3,89,35,54,91
4,Napoli,86,17.0,71,3,54.1,87.0,11.1,6.81,10.3,15.1,9.7,10.2,1.9,17.0,5.9,10.2,14.4,38,24,5,9,86,41,45,77
5,Roma,68,14.3,84,3,51.5,84.5,12.1,6.71,10.4,12.9,12.9,14.6,1.6,14.3,5.3,10.8,11.2,38,18,8,12,68,58,10,62
6,Sassuolo,64,13.9,74,4,31.3,87.8,10.9,6.67,13.9,13.9,11.2,13.0,1.5,13.9,4.7,11.3,12.5,38,17,11,10,64,56,8,62
7,Sampdoria,52,11.3,81,3,20.6,78.5,16.8,6.63,13.6,15.2,11.9,13.4,1.6,11.3,3.7,7.7,12.8,38,15,7,16,52,54,-2,52
8,Lazio,61,13.8,100,5,52.2,83.8,14.6,6.62,10.6,15.7,11.7,13.1,2.3,13.8,4.9,7.8,11.2,38,21,5,12,61,55,6,68
9,Torino,50,12.2,72,4,23.5,80.5,16.1,6.59,13.3,13.9,11.7,15.2,1.6,12.2,4.0,10.2,15.8,38,7,16,15,50,69,-19,37
10,Verona,43,10.6,91,1,49.6,76.3,20.6,6.59,14.1,12.5,12.9,16.4,2.8,10.6,3.3,8.0,13.7,38,11,12,15,46,48,-2,45
11,Cagliari,43,11.4,73,3,45.8,79.8,17.2,6.58,14.6,15.5,10.2,13.6,1.5,11.4,3.4,8.8,12.3,38,9,10,19,43,59,-16,37
12,Bologna,51,13.1,78,4,50.7,81.5,15.1,6.56,14.2,14.3,11.2,14.1,1.9,13.1,4.7,9.1,12.5,38,10,11,17,51,65,-14,41
13,Udinese,42,10.9,63,2,47.2,82.5,13.1,6.55,12.2,13.2,11.6,13.4,2.2,10.9,3.4,9.9,13.7,38,10,10,18,42,58,-16,40
14,Genoa,47,9.0,85,2,18.0,79.7,13.7,6.54,14.3,14.6,13.7,13.7,2.1,9.0,3.3,7.7,12.3,38,10,12,16,47,58,-11,42
15,Fiorentina,47,9.8,86,5,46.8,81.0,14.2,6.52,12.0,13.1,10.2,13.8,1.6,9.8,3.3,8.6,13.8,38,9,13,16,47,59,-12,40
16,Spezia,52,10.2,92,5,30.5,81.1,14.4,6.5,11.2,14.9,10.4,15.5,2.2,10.2,3.6,8.5,13.9,38,9,12,17,52,72,-20,39
17,Parma Calcio 1913,39,10.4,91,1,24.9,82.5,16.9,6.49,13.9,15.4,12.2,13.8,2.1,10.4,3.4,9.5,12.7,38,3,11,24,39,83,-44,20
18,Crotone,45,9.5,85,4,15.6,80.4,12.7,6.43,15.6,14.2,10.0,14.0,1.5,9.5,3.2,10.1,12.9,38,6,5,27,45,92,-47,23
19,Benevento,40,11.0,90,5,35.5,77.7,13.4,6.43,13.2,13.4,10.1,13.1,1.6,11.0,3.5,7.2,15.6,38,7,12,19,40,75,-35,33
