,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,RB Leipzig,9.4,19.3,12.2,13.7,2.6
1,Schalke 04,13.7,18.6,12.3,13.4,2.3
2,Fortuna Duesseldorf,14.5,18.4,12.3,12.7,1.4
3,Eintracht Frankfurt,13.4,17.6,10.6,12.4,2.4
4,Augsburg,15.3,17.4,13.7,13.5,2.5
5,Bayer Leverkusen,11.4,17.1,10.5,10.8,1.9
6,Hannover 96,16.7,17.1,13.5,12.4,1.7
7,VfB Stuttgart,15.5,16.9,11.7,11,2
8,Hoffenheim,13.9,16.8,11.7,13.9,1.9
9,Freiburg,15.4,16.8,11,12.1,1.5
10,Nuernberg,15.3,16.2,10.4,11.6,1.6
11,Werder Bremen,14,16.1,12,12.9,1.2
12,Wolfsburg,13.1,15.9,12.5,10.5,2
13,Hertha Berlin,14.8,15.8,11.2,13.1,2.2
14,Mainz 05,15.2,15.5,11.6,12.6,2.4
15,Borussia M,13.3,14.7,9.1,9.8,2.1
16,Borussia Dortmund,10.3,14.6,11.3,8.6,1.9
17,Bayern Munich,7.6,13.7,9.9,9.2,2.6
