,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Real Madrid,38,26,9,3,70,25,45,87,70,14.8,76,4,57.1,86.9,14.1,6.97,8.9,15.4,10.0,12.8,2.2,14.8,6.2,12.7,12.5
1,Barcelona,38,25,7,6,86,38,48,82,86,13.0,86,6,63.2,88.8,12.5,6.95,9.8,14.1,9.0,10.9,2.2,13.0,5.9,13.8,13.9
2,Atletico Madrid,38,18,16,4,51,27,24,70,51,11.8,89,3,48.9,78.8,22.7,6.78,10.9,17.3,10.8,13.5,3.1,11.8,3.8,9.1,12.6
3,Sevilla,38,19,13,6,54,34,20,70,54,12.9,96,1,55.9,83.0,20.4,6.8,10.2,15.4,9.1,13.7,2.4,12.9,4.6,10.9,12.6
4,Villarreal,38,18,6,14,63,49,14,60,63,13.0,78,1,29.6,82.7,15.1,6.75,12.7,14.6,8.9,12.7,1.9,13.0,4.6,11.3,11.1
5,Real Sociedad,38,16,8,14,56,48,8,56,56,11.3,77,2,54.6,81.1,22.4,6.69,10.4,14.5,8.4,13.2,2.1,11.3,3.8,9.3,12.9
6,Granada,38,16,8,14,52,45,7,56,52,10.4,107,1,45.2,71.3,20.4,6.65,11.8,15.4,10.1,15.5,1.8,10.4,3.3,7.9,13.1
7,Getafe,38,14,12,12,43,37,6,54,43,10.9,131,7,45.8,61.9,25.0,6.61,7.4,15.3,9.7,18.6,2.8,10.9,3.4,7.2,13.0
8,Valencia,38,14,11,13,46,53,-7,53,46,8.9,75,8,49.4,81.7,15.0,6.6,15.1,13.2,9.5,10.9,2.6,8.9,3.2,9.1,14.3
9,Osasuna,38,13,13,12,46,54,-8,52,46,12.2,104,6,47.8,70.5,23.7,6.61,11.2,16.1,11.0,14.5,2.1,12.2,3.9,8.3,10.8
10,Athletic Club,38,13,12,13,41,38,3,51,41,10.8,90,2,49.0,76.4,24.9,6.67,10.3,14.0,9.8,13.7,2.2,10.8,3.6,8.9,11.5
11,Levante,38,14,7,17,47,53,-6,49,47,11.2,71,5,48.8,77.9,14.1,6.6,15.2,13.3,8.7,12.3,2.1,11.2,3.7,10.2,12.1
12,Real Valladolid,38,9,15,14,32,43,-11,42,32,9.9,84,0,15.4,74.4,17.1,6.57,12.4,14.9,10.3,12.7,2.1,9.9,3.2,8.9,13.9
13,Eibar,38,11,9,18,39,56,-17,42,39,11.3,88,3,46.7,69.2,26.4,6.58,10.0,14.9,11.3,14.2,1.9,11.3,3.8,6.8,10.8
14,Real Betis,38,10,11,17,48,60,-12,41,48,12.6,105,9,55.7,83.4,15.8,6.61,11.8,13.2,7.9,12.4,2.2,12.6,4.2,11.7,15.2
15,Deportivo Alaves,38,10,9,19,34,59,-25,39,34,8.2,105,7,43.2,70.2,24.5,6.52,12.4,15.2,10.3,16.3,1.6,8.2,2.8,6.6,11.4
16,Celta Vigo,38,7,16,15,37,49,-12,37,37,9.7,100,6,51.3,80.5,17.7,6.61,11.7,15.5,10.4,12.4,1.8,9.7,3.8,9.7,13.9
17,Leganes,38,8,12,18,30,51,-21,36,30,11.4,125,4,45.0,72.2,21.3,6.55,9.2,15.8,11.0,15.6,2.0,11.4,3.9,9.0,13.2
18,Mallorca,38,9,6,23,40,65,-25,33,40,11.1,85,5,46.3,77.6,17.5,6.52,13.1,14.3,9.9,13.4,1.5,11.1,3.4,10.3,13.8
19,Espanyol,38,5,10,23,27,58,-31,25,27,10.8,95,9,47.5,74.6,21.0,6.47,11.7,16.5,9.5,15.3,1.7,10.8,3.3,7.4,12.3
