,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Real Madrid,38,26,8,4,80,31,49,86,80,17.3,76,0,60.1,89.0,10.5,6.9,11.4,14.7,8.8,10.4,2.8,17.3,6.8,12.0,12.5
1,Barcelona,38,21,10,7,68,38,30,73,68,13.6,91,5,64.7,88.3,12.2,6.77,9.3,15.4,8.6,13.1,2.6,13.6,4.9,12.5,12.9
2,Atletico Madrid,38,21,8,9,65,43,22,71,65,12.2,106,7,50.2,81.1,15.0,6.68,9.4,16.7,9.6,12.4,2.2,12.2,4.2,10.1,13.2
3,Sevilla,38,18,16,4,53,30,23,70,53,11.4,94,4,59.9,84.7,15.7,6.65,11.2,14.1,7.1,12.2,2.1,11.4,3.8,8.0,12.2
4,Real Betis,38,19,8,11,62,40,22,65,62,13.6,85,6,53.8,82.5,13.4,6.72,11.4,17.4,9.5,12.8,1.9,13.6,5.0,9.8,12.4
5,Real Sociedad,38,17,11,10,40,37,3,62,40,11.6,76,4,54.6,81.8,18.1,6.64,11.0,15.4,9.2,12.9,2.0,11.6,4.1,9.5,12.2
6,Villarreal,38,16,11,11,63,37,26,59,63,12.0,79,1,56.8,83.6,13.0,6.72,10.9,14.2,8.7,12.4,2.4,12.0,4.6,11.9,12.1
7,Athletic Club,38,14,13,11,43,36,7,55,43,12.3,84,4,47.5,77.1,15.7,6.59,11.7,13.4,8.9,12.8,2.3,12.3,4.3,7.8,12.7
8,Valencia,38,11,15,12,48,53,-5,48,48,10.6,123,8,43.3,71.9,15.1,6.54,11.7,15.6,8.9,16.9,1.4,10.6,3.8,9.5,15.4
9,Osasuna,38,12,11,15,37,51,-14,47,37,11.4,83,2,46.1,74.4,21.7,6.55,11.7,15.2,9.7,13.1,1.7,11.4,3.3,6.9,10.3
10,Celta Vigo,38,12,10,16,43,43,0,46,43,10.8,85,3,55.4,79.8,16.0,6.62,10.7,18.3,9.9,13.3,2.2,10.8,3.8,9.1,12.2
11,Rayo Vallecano,38,11,9,18,39,50,-11,42,39,13.3,100,3,49.4,77.6,17.6,6.56,10.9,16.3,9.6,14.1,2.2,13.3,3.7,9.4,13.4
12,Elche,38,11,9,18,40,52,-12,42,40,8.8,103,6,48.0,79.2,14.3,6.51,13.7,15.5,8.0,13.6,1.9,8.8,2.8,8.9,12.4
13,Espanyol,38,10,12,16,40,53,-13,42,40,10.7,93,7,46.7,81.1,12.1,6.52,13.2,14.7,8.6,11.6,1.8,10.7,3.5,9.8,13.6
14,Getafe,38,8,15,15,33,41,-8,39,33,10.8,119,8,40.4,72.3,19.3,6.55,10.8,15.4,10.6,14.7,1.4,10.8,3.1,6.4,12.7
15,Mallorca,38,10,9,19,36,63,-27,39,36,11.8,105,7,44.6,76.0,17.4,6.48,12.3,16.0,9.1,14.6,1.8,11.8,3.6,9.7,14.1
16,Cadiz,38,8,15,15,35,51,-16,39,35,10.8,100,3,40.5,73.6,16.1,6.53,12.5,17.0,10.9,12.8,1.8,10.8,3.4,7.4,11.8
17,Granada,38,8,14,16,44,61,-17,38,44,11.2,103,4,43.9,72.9,16.2,6.52,14.8,16.1,8.6,12.6,1.6,11.2,3.6,7.1,12.3
18,Levante,38,8,11,19,51,76,-25,35,51,11.7,105,6,46.6,78.3,11.9,6.46,13.5,14.7,9.9,14.5,2.0,11.7,4.2,9.2,10.6
19,Deportivo Alaves,38,8,7,23,31,65,-34,31,31,10.0,87,4,41.3,70.3,23.1,6.46,13.6,14.5,9.9,13.9,1.9,10.0,3.1,7.1,12.0
