,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
192,Séamus Coleman,Everton,35," D(CR),M(R)",18(7),1612,-,3,-,-,0.5,82.9,0.4,1,6.65
193,Jeffrey Schlupp,Crystal Palace,31," D(L),M(CLR)",15(12),1426,2,3,3,-,0.7,73.9,1.1,2,6.65
194,Jordan Pickford,Everton,30, GK,31,2743,-,-,1,-,-,61.8,0.3,1,6.65
195,Ciaran Clark,Newcastle,34, D(CL),21(1),1893,1,-,3,-,0.4,81.5,3.1,-,6.64
196,Federico Fernández,Newcastle,35, D(C),24,2083,-,-,4,-,0.2,80.7,2,1,6.64
197,Mason Holgate,Everton,27," D(CR),DMC,M(R)",26(2),2290,1,-,9,-,0.2,79.1,1.4,2,6.63
198,Conor Gallagher,WBA,24, M(CL),28(2),2532,2,2,11,-,1,81.5,0.8,-,6.63
199,Ashley Westwood,Burnley,34, DMC,38,3411,3,3,7,-,0.5,78.7,0.4,-,6.63
200,Lucas Moura,Tottenham,31," AM(CLR),FW",14(16),1403,3,4,1,-,0.6,75.2,0.8,3,6.63
201,Ola Aina,Fulham,27," D(CLR),M(LR)",31,2671,2,1,3,-,0.5,78.9,1,1,6.63
202,Lukasz Fabianski,West Ham,39, GK,35,3150,-,-,2,-,-,54.9,0.1,1,6.62
203,Darnell Furlong,WBA,28," D(CR),M(R)",32(3),2932,1,3,5,-,0.7,59.4,3.4,-,6.62
204,Ederson,Man City,30, GK,36,3240,-,1,3,-,-,81.3,0.2,-,6.62
205,Georginio Wijnaldum,Liverpool,33, M(CLR),34(4),2947,2,-,1,-,0.8,92.7,1,-,6.62
206,Ezgjan Alioski,Leeds,32," D(L),M(CLR)",29(7),2466,2,3,7,-,0.7,79.5,1.1,-,6.62
207,Kai Havertz,Chelsea,24," M(CR),FW",18(9),1522,4,3,2,-,1.2,84.9,1.1,1,6.60
208,Ben White,Brighton,26," D(CR),DMC",36,3195,-,-,3,1,0.3,83.2,1.4,-,6.60
209,Ayoze Pérez,Leicester,30," AM(CLR),FW",15(10),1333,2,1,2,-,1.2,76.8,0.5,-,6.60
210,Jamaal Lascelles,Newcastle,30, D(C),19,1628,2,-,4,-,0.8,80.2,2.5,-,6.60
211,Mario Lemina,Fulham,30, M(C),19(9),1705,1,-,5,-,0.7,83.5,0.8,1,6.60
212,Robert Sánchez,Brighton,26, GK,27,2430,-,-,2,-,-,70.9,0.5,1,6.59
213,Saïd Benrahma,West Ham,28, AM(CLR),14(16),1392,1,6,-,-,1.2,82,0.1,-,6.59
214,John Egan,Sheff Utd,31, D(C),30(1),2630,-,1,7,1,0.5,81.7,2.6,1,6.58
215,Curtis Jones,Liverpool,23, AM(CL),13(11),1178,1,2,2,-,0.8,92.2,0.6,-,6.58
216,Nemanja Matic,Man Utd,35, DMC,12(8),1102,-,-,2,-,0.3,90.3,1,-,6.58
217,Neal Maupay,Brighton,27," AM(C),FW",29(4),2519,8,2,1,1,2.2,78.5,0.6,1,6.57
218,Gary Cahill,Crystal Palace,38, D(C),20,1800,1,1,3,-,0.6,82.4,3.5,-,6.57
219,Cheikhou Kouyaté,Crystal Palace,34," D(CR),DMC",35(1),3123,1,-,4,-,0.2,77.2,2.3,1,6.57
220,Theo Walcott,Southampton,35," M(CLR),FW",20(1),1629,3,3,-,-,1.4,74.4,0.5,1,6.56
221,Ben Davies,Tottenham,31," D(CL),M(L)",14(6),1340,-,1,1,-,0.2,79.2,1.3,-,6.56
222,Édouard Mendy,Chelsea,32, GK,31,2746,-,-,2,-,-,83.3,0.1,-,6.56
223,Rayan Aït-Nouri,Wolves,22," D(L),M(L)",16(5),1406,1,1,1,-,0.7,86.1,0.2,-,6.56
224,Bernd Leno,Arsenal,32, GK,35,3132,-,-,-,1,-,76.8,0.3,-,6.56
225,Luka Milivojevic,Crystal Palace,33, DMC,27(4),2365,1,1,8,1,0.6,83,1.1,1,6.55
226,Aaron Ramsdale,Sheff Utd,25, GK,38,3420,-,-,1,-,-,43.4,0.2,2,6.55
227,Nathan Redmond,Southampton,30," AM(CLR),FW",17(12),1731,2,3,1,-,1.6,76.8,0.3,-,6.55
228,Joel Ward,Crystal Palace,34," D(CLR),DMC,M(R)",25(1),2255,-,1,5,-,0.1,71.9,1.8,-,6.55
229,Kasper Schmeichel,Leicester,37, GK,38,3420,-,-,-,-,-,70.4,0.3,2,6.55
230,Ivan Cavaleiro,Fulham,30," AM(CLR),FW",27(9),2476,3,-,2,-,1.3,76.2,1.3,-,6.54
231,Alex Iwobi,Everton,28, M(CLR),17(13),1543,1,2,-,-,0.5,83,0.1,-,6.54
232,Bobby De Cordova-Reid,Fulham,31," D(R),M(CLR),FW",28(5),2383,5,2,7,-,1,77.5,0.5,-,6.52
233,Jordan Ayew,Crystal Palace,32," AM(CLR),FW",23(10),2098,1,3,4,-,0.8,81,0.9,-,6.52
234,Mateusz Klich,Leeds,33, M(CL),28(7),2399,4,5,6,-,1,82.3,0.4,-,6.51
235,John Fleck,Sheff Utd,32, DMC,29(2),2577,-,2,4,-,0.5,82.9,0.4,-,6.51
236,Robert Brady,Burnley,32," D(L),M(CLR)",12(7),1055,1,1,3,-,0.8,69.2,1,1,6.51
237,Dara O'Shea,WBA,25, D(CR),25(3),2102,-,-,3,-,0.1,63.6,2.6,-,6.51
238,Conor Coady,Wolves,31," D(CR),DMC",37,3304,-,-,5,-,0.2,87.9,1.1,1,6.51
239,David Luiz,Arsenal,37," D(C),DMC",17(3),1400,1,-,1,1,0.8,83.5,1.8,-,6.51
240,Ruben Loftus-Cheek,Fulham,28, M(CLR),21(9),1913,1,-,3,-,1.2,80.7,1.5,-,6.50
241,Aleksandar Mitrovic,Fulham,29, FW,13(14),1390,3,3,3,-,2.2,73.5,2.6,1,6.50
242,Alex McCarthy,Southampton,34, GK,30,2700,-,-,2,-,-,61,0.1,1,6.49
243,Steven Bergwijn,Tottenham,26," AM(CLR),FW",13(8),1214,1,3,3,-,0.7,83.7,0.1,-,6.49
244,Jóhann Gudmundsson,Burnley,33, M(CLR),16(6),1369,2,-,2,-,0.9,79.6,0.9,-,6.49
245,Oliver Norwood,Sheff Utd,33, M(C),26(6),2226,-,-,6,-,0.3,83.4,0.5,-,6.48
246,James Milner,Liverpool,38," D(LR),M(CLR)",11(15),1062,-,1,3,-,0.5,85.6,0.9,-,6.48
247,Rui Patrício,Wolves,36, GK,37,3330,-,-,1,-,-,62.3,0.2,-,6.47
248,David de Gea,Man Utd,33, GK,26,2296,-,-,-,-,-,75.4,0.2,-,6.47
249,Patrick van Aanholt,Crystal Palace,33," D(L),M(L)",20(2),1776,-,1,2,-,0.8,80.1,0.5,-,6.47
250,Ashley Barnes,Burnley,34," AM(CL),FW",15(7),1337,3,-,4,-,1.7,61.8,2.8,1,6.47
251,Tom Davies,Everton,25, M(C),17(8),1426,-,1,3,-,0.3,81.2,0.4,-,6.46
252,André Gomes,Everton,30, M(CLR),17(11),1568,-,1,3,-,0.5,85.3,0.7,-,6.46
253,Vicente Guaita,Crystal Palace,37, GK,37,3330,-,-,2,-,-,49.6,0.3,1,6.46
254,Adam Lallana,Brighton,35, M(CLR),16(14),1592,1,1,-,-,0.7,85,0.3,-,6.45
255,Moussa Sissoko,Tottenham,34, M(CR),15(10),1577,-,-,3,-,0.1,84.4,0.6,-,6.44
256,Alexis Mac Allister,Brighton,25," M(CL),FW",13(8),1117,1,1,1,-,1.1,80.8,0.4,-,6.44
257,Erik Pieters,Burnley,35," D(CL),M(L)",13(7),1262,-,1,1,-,0.2,74.4,0.7,-,6.44
258,Tyler Roberts,Leeds,25," AM(CR),FW",14(13),1341,1,2,3,-,1,71.6,0.7,-,6.43
259,Mohamed Elneny,Arsenal,31, DMC,17(6),1542,1,-,3,-,0.4,93,0.3,1,6.43
260,Ryan Bertrand,Southampton,34," D(CL),M(L)",29,2599,-,1,5,-,0.3,79.6,1.3,-,6.41
261,Grady Diangana,WBA,26," AM(CLR),FW",15(5),1239,1,-,-,-,0.7,76.2,1.2,-,6.41
262,Callum Robinson,WBA,29," AM(CLR),FW",20(8),1567,5,-,-,-,1.1,74.9,0.6,1,6.41
263,Ben Osborn,Sheff Utd,29," D(L),M(CLR)",17(7),1606,1,-,1,-,0.4,81,0.5,-,6.40
264,Semi Ajayi,WBA,30," D(C),DMC",31(2),2780,2,-,3,1,0.4,73.2,2.3,-,6.40
265,Enda Stevens,Sheff Utd,33," D(CL),M(L)",30,2700,-,1,6,-,0.5,78.1,1.2,-,6.39
266,Moussa Djenepo,Southampton,25, M(LR),15(12),1240,1,-,5,-,0.5,72.8,0.4,-,6.37
267,Nampalys Mendy,Leicester,31, M(C),15(8),1458,-,1,5,-,0.2,91,0.3,-,6.36
268,Matej Vydra,Burnley,32," AM(CL),FW",15(13),1368,3,2,-,-,1.3,71.2,1.3,-,6.36
269,Sean Longstaff,Newcastle,26, DMC,15(7),1406,-,1,2,-,0.7,81.5,0.5,-,6.36
270,Érik Lamela,Tottenham,32," AM(CLR),FW",5(18),708,1,-,4,1,0.9,83.1,0.3,-,6.36
271,George Baldock,Sheff Utd,31," D(CR),M(R)",32,2789,-,2,7,-,0.4,78.3,0.8,-,6.35
272,Donny van de Beek,Man Utd,27, M(C),4(15),515,1,1,1,-,0.1,86.1,0.1,-,6.35
273,Matt Phillips,WBA,33," M(CLR),FW",20(13),1829,2,1,1,-,0.7,74.3,0.5,1,6.34
274,Jairo Riedewald,Crystal Palace,27," D(CL),DMC",19(14),1819,2,-,4,-,0.2,85.6,0.4,-,6.34
275,Jamal Lewis,Newcastle,26," D(L),M(L)",20(4),1833,-,1,4,-,0.1,77.1,0.4,-,6.34
276,Jeff Hendrick,Newcastle,32, M(CR),17(5),1423,2,1,1,1,0.5,80.1,0.6,1,6.33
277,Fábio Silva,Wolves,21," AM(L),FW",11(20),1323,4,3,2,-,1.5,73.2,1.1,-,6.32
278,Hélder Costa,Leeds,30, AM(CLR),13(9),1158,3,3,-,-,0.7,76.6,0.2,-,6.32
279,Jay Rodríguez,Burnley,34," AM(CLR),FW",12(19),1256,1,2,3,-,1,73.4,1.4,-,6.27
280,Alireza Jahanbakhsh,Brighton,30, AM(CLR),6(15),525,-,1,3,-,0.9,77.6,0.2,-,6.26
281,Oliver Burke,Sheff Utd,27," AM(CLR),FW",14(11),1273,1,1,2,-,1,70.2,1.2,-,6.25
282,Vitinha,Wolves,24, M(C),5(14),513,-,1,-,-,0.4,90.3,-,-,6.23
283,John Lundstram,Sheff Utd,30," D(C),DMC",23(5),2032,-,2,8,1,0.7,84.2,0.5,-,6.23
284,Ibrahima Diallo,Southampton,25, DMC,10(12),1012,-,-,3,-,0.3,85,0.5,-,6.22
285,Jacob Ramsey,Aston Villa,22, AM(CLR),6(16),619,-,-,-,-,0.5,86,0.3,-,6.20
286,Mark Noble,West Ham,36, M(C),8(13),707,-,-,1,-,-,88.6,0.1,-,6.17
287,Rhian Brewster,Sheff Utd,24, FW,12(15),1125,-,-,1,-,0.9,74.4,0.5,-,6.17
288,Karlan Grant,WBA,26," AM(CL),FW",14(7),1133,1,-,1,-,0.8,75.1,0.7,1,6.15
289,Hal Robson-Kanu,WBA,34," AM(LR),FW",2(17),549,2,-,2,-,0.7,70.9,0.6,-,6.13
290,Romaine Sawyers,WBA,32, M(CL),17(2),1490,-,-,2,-,0.2,85.3,0.7,-,6.12
