,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Eden Hazard,Chelsea,33," M(CLR),FW",32(5),2926,16,15,2,-,2.5,84.3,0.5,14,7.81
1,Raheem Sterling,Man City,29," M(CLR),FW",31(3),2777,17,10,3,-,2.3,85.8,0.4,8,7.61
2,Mohamed Salah,Liverpool,31," AM(CLR),FW",37(1),3262,22,8,1,-,3.6,75.9,0.3,8,7.57
3,Sergio Agüero,Man City,35," AM(CL),FW",31(2),2480,21,8,3,-,3.6,85,0.5,5,7.53
4,Virgil van Dijk,Liverpool,32, D(C),38,3385,4,2,1,-,0.8,89.7,4.8,4,7.44
5,Sadio Mané,Liverpool,32," AM(CLR),FW",35(1),3086,22,1,2,-,2.4,78.2,1,6,7.43
6,Harry Kane,Tottenham,30," AM(C),FW",27(1),2427,17,4,5,-,3.6,73.1,1.8,6,7.38
7,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",27(2),2467,1,12,3,-,1,77.5,0.3,1,7.36
8,Lucas Digne,Everton,30," D(CL),M(L)",33(2),2966,4,4,5,1,1,76,2.6,4,7.36
9,Ricardo Pereira,Leicester,30," D(LR),M(R)",35,3125,2,6,7,-,0.7,78,1.9,4,7.34
10,Paul Pogba,Man Utd,31, M(CL),34(1),3012,13,9,6,-,3,82.8,1.7,7,7.31
11,Fernandinho,Man City,38," D(CR),M(C)",27(2),2382,1,3,5,-,1,87.5,2.6,2,7.31
12,Fabian Schär,Newcastle,32, D(C),22(2),2004,4,1,12,-,1,68.1,2.7,6,7.30
13,Aaron Wan-Bissaka,Crystal Palace,26," D(LR),M(R)",35,3135,-,3,4,1,0.3,73,1.2,3,7.27
14,David Silva,Man City,38," M(CLR),FW",28(5),2412,6,8,3,-,1.5,87.8,0.6,1,7.26
15,Bernardo Silva,Man City,29," M(CLR),FW",31(5),2853,7,7,3,-,1.7,86.1,0.3,4,7.26
16,Leroy Sané,Man City,28," M(CLR),FW",21(10),1867,10,10,1,-,1.8,84.4,0.3,1,7.26
17,Felipe Anderson,West Ham,31," M(CLR),FW",36,3054,9,4,3,-,1.6,76,0.3,6,7.23
18,Wilfred Ndidi,Leicester,27," D(C),DMC",37(1),3299,2,-,8,-,1.4,79.9,3.4,3,7.21
19,Wilfried Zaha,Crystal Palace,31," AM(LR),FW",34,3041,10,5,8,1,2.1,77.3,0.3,6,7.21
20,James Maddison,Leicester,27, AM(CLR),35(1),2850,7,7,3,1,2.3,83.8,0.3,3,7.20
21,Roberto Firmino,Liverpool,32," M(CLR),FW",31(3),2620,12,6,-,-,2.2,80.8,0.9,4,7.20
22,Luka Milivojevic,Crystal Palace,33, DMC,38,3420,12,2,10,-,1.5,80,1.4,2,7.19
23,Marcos Alonso,Chelsea,33," D(CL),M(L)",31,2761,2,4,6,-,1.5,85,2.1,2,7.18
24,Alexandre Lacazette,Arsenal,32," M(CLR),FW",27(8),2507,13,8,2,-,2.3,74.2,1.3,4,7.17
25,Gylfi Sigurdsson,Everton,34," M(CLR),FW",36(2),3134,13,6,3,-,2.3,76.2,0.5,6,7.16
26,Sol Bamba,Cardiff,39," D(C),DMC",28,2477,4,1,7,-,0.8,69.1,3.4,3,7.15
27,Idrissa Gueye,Everton,34, M(C),32(1),2826,-,2,6,-,0.6,84.3,1,2,7.14
28,Michael Keane,Everton,31, D(CR),33,2970,1,2,2,-,0.9,80.8,5.8,2,7.13
29,Étienne Capoue,Watford,35," D(C),M(CL)",33,2947,1,3,14,1,0.5,84.4,2,2,7.13
30,Matt Doherty,Wolves,32," D(LR),M(LR)",35(3),3147,4,5,5,-,1.2,71.6,3.8,2,7.12
31,Willy-Arnaud Boly,Wolves,33, D(C),36,3169,4,-,2,1,0.7,81,3.8,2,7.12
32,Andy Robertson,Liverpool,30," D(L),M(L)",36,3219,-,11,4,-,0.4,83.2,0.7,1,7.12
33,James Tarkowski,Burnley,31, D(C),35,3087,3,1,8,-,0.6,69.5,4.8,3,7.11
34,Shane Duffy,Brighton,32, D(C),35,3088,5,1,4,1,1.1,75.2,5.3,6,7.11
35,Troy Deeney,Watford,35, FW,28(4),2548,9,5,4,1,2,60.7,6.5,4,7.11
36,Joël Matip,Liverpool,32, D(C),17(5),1535,1,-,3,-,0.4,86.9,3,2,7.11
37,Kieran Trippier,Tottenham,33," D(LR),M(R)",26(1),2278,1,3,2,-,0.3,78.9,1.1,1,7.10
38,Pierre-Emerick Aubameyang,Arsenal,34," M(CLR),FW",30(6),2733,22,5,-,-,2.6,74,0.9,4,7.10
39,Son Heung-Min,Tottenham,31," M(CLR),FW",23(8),2049,12,6,2,1,2.4,85.6,0.1,4,7.10
40,Ilkay Gündogan,Man City,33, M(C),23(8),2136,6,3,3,-,1.4,90.8,0.8,2,7.10
41,Ryan Fraser,Bournemouth,30," M(CLR),FW",35(3),3173,7,14,2,-,1.3,76.9,0.3,5,7.08
42,Christian Eriksen,Tottenham,32," M(CLR),FW",30(5),2772,8,12,3,-,2.4,81,0.4,2,7.08
43,David Luiz,Chelsea,37," D(C),DMC",36,3239,3,2,3,-,0.9,88,2.3,-,7.08
44,Philip Billing,Huddersfield,27," M(C),FW",25(2),2192,2,-,7,-,1.6,78.6,3.3,3,7.08
45,Raúl Jiménez,Wolves,32, FW,36(2),3125,13,7,4,-,2.9,72.8,2.1,4,7.07
46,Jannik Vestergaard,Southampton,31, D(C),23,2030,-,-,2,-,0.6,76.9,3.7,-,7.07
47,João Moutinho,Wolves,37, M(C),35(3),3040,1,8,4,-,0.5,84.8,0.6,1,7.06
48,Willian,Chelsea,35, AM(CLR),26(6),2109,3,6,2,-,1.9,85.7,0.3,2,7.06
49,Shkodran Mustafi,Arsenal,32, D(CR),31,2617,2,-,9,-,0.6,81.9,4,2,7.05
50,Aymeric Laporte,Man City,29, D(CL),34(1),3057,3,3,3,-,0.7,92.3,2.2,1,7.05
51,Salomón Rondón,Newcastle,34, FW,30(2),2609,11,7,1,-,2.8,69.9,4.6,1,7.05
52,Ben Chilwell,Leicester,27," D(L),M(L)",36,3240,-,4,4,-,0.6,72.3,3.1,4,7.04
53,Jan Bednarek,Southampton,28, D(C),24(1),2151,-,1,7,-,0.2,70.5,3.2,3,7.04
54,Dwight McNeil,Burnley,24, M(CLR),19(2),1599,3,5,2,-,1.3,75.7,1,2,7.03
55,Granit Xhaka,Arsenal,31," D(L),M(C)",29,2502,4,2,10,-,1,85.3,1.8,4,7.03
56,Aleksandar Mitrovic,Fulham,29, FW,37,3282,11,3,7,-,3.5,72,6.5,4,7.03
57,Lukasz Fabianski,West Ham,39, GK,38,3420,-,-,-,-,-,49.7,0.3,1,7.02
58,César Azpilicueta,Chelsea,34," D(CLR),M(R)",38,3403,1,5,4,-,0.4,87,1.8,1,7.01
59,Harry Maguire,Leicester,31, D(C),31,2599,3,-,6,1,1,85.6,3.8,2,7.01
60,José Holebas,Watford,39," D(CL),M(L)",27(1),2394,3,6,12,1,0.6,68.5,2.2,-,7.00
61,Callum Wilson,Bournemouth,32, FW,29(1),2535,14,9,3,-,2.2,67.1,1.5,4,6.99
62,Fabián Balbuena,West Ham,32, D(C),23,2014,1,-,2,-,0.8,79.4,3,1,6.98
63,Andros Townsend,Crystal Palace,32," AM(CLR),FW",34(4),3018,6,4,1,-,1.7,78.8,0.1,2,6.98
64,Pedro,Chelsea,36," M(CLR),FW",21(10),1781,8,2,2,-,1.8,86.5,0.3,5,6.97
65,Nacho Monreal,Arsenal,38," D(CL),M(L)",21(1),1861,1,3,5,-,0.3,87.6,1.6,-,6.97
66,Jefferson Lerma,Bournemouth,29," D(CR),DMC",29(1),2511,2,-,12,-,1,83.2,2.5,-,6.97
67,Steve Cook,Bournemouth,33, D(C),31,2787,1,1,3,-,0.7,79.3,4.1,1,6.96
68,Sean Morrison,Cardiff,33, D(C),34,3040,1,3,6,-,1,62.8,6.6,1,6.96
69,Kyle Walker,Man City,33," D(CR),M(R)",30(3),2777,1,1,3,-,0.6,90.1,1.4,-,6.96
70,Ander Herrera,Man Utd,34, M(C),16(6),1405,2,3,4,-,1,87.8,0.2,2,6.96
