,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Kevin De Bruyne,Man City,32," M(CLR),FW",32(3),2800,13,20,3,-,2.8,81.5,0.5,10,7.97
1,Ricardo Pereira,Leicester,30," D(LR),M(R)",28,2520,3,2,1,-,0.6,78.9,1.5,2,7.50
2,Adama Traoré,Wolves,28," M(CLR),FW",27(10),2608,4,9,1,-,1.2,74.3,1.2,6,7.49
3,Riyad Mahrez,Man City,33," AM(CLR),FW",21(12),1942,11,9,-,-,2.2,90.1,0.3,3,7.48
4,Sadio Mané,Liverpool,32," AM(CLR),FW",31(4),2756,18,7,3,-,2.2,81.6,1.2,7,7.45
5,Mohamed Salah,Liverpool,31," AM(CLR),FW",33(1),2888,19,10,1,-,3.9,76.5,0.4,6,7.40
6,Raheem Sterling,Man City,29," M(CLR),FW",30(3),2661,20,1,5,-,3,82.8,0.7,1,7.35
7,Marcus Rashford,Man Utd,26," AM(CLR),FW",31,2655,17,7,3,-,3.1,77.3,0.7,7,7.35
8,James Maddison,Leicester,27, AM(CLR),29(2),2629,6,3,4,-,2.4,83,0.2,4,7.34
9,Harry Kane,Tottenham,30," AM(C),FW",29,2590,18,2,4,-,2.8,66.7,2.6,4,7.33
10,Virgil van Dijk,Liverpool,32, D(C),38,3420,5,1,1,-,0.8,89.1,5,5,7.32
11,Anthony Martial,Man Utd,28," AM(LR),FW",31(1),2640,17,6,1,-,2.5,80.6,0.6,4,7.31
12,Willian,Chelsea,35, AM(CLR),29(7),2605,9,7,4,-,2,82.7,0.3,4,7.31
13,Michail Antonio,West Ham,34," D(R),M(CLR),FW",19(5),1773,10,3,3,-,2.8,68.4,3.8,2,7.29
14,Allan Saint-Maximin,Newcastle,27," AM(CLR),FW",23(3),1874,3,4,-,-,1.8,79.1,0.3,3,7.29
15,David Silva,Man City,38," M(CLR),FW",22(5),1833,6,10,-,-,1.7,89.3,0.3,3,7.29
16,Gabriel Jesus,Man City,27," AM(LR),FW",21(13),2026,14,7,3,-,3,86.5,1.2,2,7.26
17,Raúl Jiménez,Wolves,32, FW,37(1),3252,17,6,3,-,3.1,72.2,2.3,3,7.25
18,Son Heung-Min,Tottenham,31," M(CLR),FW",28(2),2487,11,10,-,2,2.7,84.7,0.2,4,7.24
19,Jack Grealish,Aston Villa,28," AM(CL),FW",36,3234,8,6,8,-,2,84.8,0.6,4,7.23
20,Wilfred Ndidi,Leicester,27," D(C),DMC",29(3),2674,2,1,6,-,0.8,85.1,2.6,4,7.23
21,Jamie Vardy,Leicester,37," AM(L),FW",34(1),3034,23,5,2,-,2.5,70.6,1.5,4,7.22
