Name,Position,Date of Birth,Age,Nationality,Market Value
David Soria,Goalkeeper,"Apr 4, 1993",30,Spain,€8.00m
Diego Conde,Goalkeeper,"Oct 28, 1998",24,Spain,€300k
Kiko Casilla,Goalkeeper,"Oct 2, 1986",36,Spain,€300k
Vicente Bellmunt,Goalkeeper,"Jan 28, 2000",23,Spain,-
Djené,Centre-Back,"Dec 31, 1991",31,Togo,€5.00m
Gastón Álvarez,Centre-Back,"Mar 24, 2000",23,Uruguay,€5.00m
Domingos Duarte,Centre-Back,"Mar 10, 1995",28,Portugal,€5.00m
Omar Alderete,Centre-Back,"Dec 26, 1996",26,Paraguay,€4.00m
Stefan Mitrovic,Centre-Back,"May 22, 1990",33,Serbia,€2.00m
Álex Revuelta,Centre-Back,"Apr 16, 2000",23,Spain,-
Pablo Ramirez,Centre-Back,"Mar 18, 2003",20,Spain,-
Fabrizio Angileri,Left-Back,"Mar 15, 1994",29,Argentina,€2.00m
Jordan Amavi,Left-Back,"Mar 9, 1994",29,France,€2.00m
Koffi,Left-Back,"Nov 20, 2001",21,Ghana,€200k
Gorka Rivera,Left-Back,"Aug 1, 2004",18,Spain,-
Juan Iglesias,Right-Back,"Jul 3, 1998",24,Spain,€3.50m
Damián Suárez,Right-Back,"Apr 27, 1988",35,Uruguay,€1.00m
Alex Rodríguez,Right-Back,"Mar 21, 2002",21,Spain,€50k
Ángel Algobia,Defensive Midfield,"Jun 23, 1999",24,Spain,€1.50m
Carles Aleñá,Central Midfield,"Jan 5, 1998",25,Spain,€9.00m
Mauro Arambarri,Central Midfield,"Sep 30, 1995",27,Uruguay,€9.00m
Nemanja Maksimovic,Central Midfield,"Jan 26, 1995",28,Serbia,€6.00m
Luis Milla,Central Midfield,"Oct 7, 1994",28,Spain,€4.00m
Gonzalo Villar,Central Midfield,"Mar 23, 1998",25,Spain,€2.80m
Jaime Seoane,Central Midfield,"Jan 22, 1997",26,Spain,€2.50m
John Joe Patrick Finn,Central Midfield,"Sep 24, 2003",19,Ireland,€500k
Santi García,Attacking Midfield,"Aug 29, 2001",21,Spain,€50k
Moi Parra,Left Winger,"Jun 24, 2002",21,Spain,-
Portu,Right Winger,"May 21, 1992",31,Spain,€3.50m
Munir El Haddadi,Right Winger,"Sep 1, 1995",27,Morocco,€3.50m
Enes Ünal,Centre-Forward,"May 10, 1997",26,Türkiye,€25.00m
Borja Mayoral,Centre-Forward,"Apr 5, 1997",26,Spain,€9.00m
Juanmi Latasa,Centre-Forward,"Mar 23, 2001",22,Spain,€3.00m
Jaime Mata,Centre-Forward,"Oct 24, 1988",34,Spain,€1.20m
