Name,Position,Date of Birth,Age,Nationality,Market Value
Predrag Rajkovic,Goalkeeper,"Oct 31, 1995",27,Serbia,€10.00m
Dominik Greif,Goalkeeper,"Apr 6, 1997",26,Slovakia,€1.50m
Leo Román,Goalkeeper,"Jul 6, 2000",22,Spain,€300k
Pere García,Goalkeeper,"Mar 22, 2002",21,Spain,€25k
Martin Valjent,Centre-Back,"Dec 11, 1995",27,Slovakia,€4.50m
Antonio Raíllo,Centre-Back,"Oct 8, 1991",31,Spain,€4.00m
José Copete,Centre-Back,"Oct 10, 1999",23,Spain,€3.50m
Dennis Hadzikadunic,Centre-Back,"Jul 9, 1998",24,Bosnia-Herzegovina,€3.00m
Matija Nastasic,Centre-Back,"Mar 28, 1993",30,Serbia,€1.50m
Franco Russo,Centre-Back,"Oct 25, 1994",28,Argentina,€800k
Benjamín Garay,Centre-Back,"Apr 19, 2000",23,Argentina,€100k
Josep Gayá,Centre-Back,"Jul 7, 2000",22,Spain,€100k
Ludwig Augustinsson,Left-Back,"Apr 21, 1994",29,Sweden,€2.50m
Braian Cufré,Left-Back,"Dec 15, 1996",26,Argentina,€1.20m
Jaume Costa,Left-Back,"Mar 18, 1988",35,Spain,€1.20m
Marcos Fernández,Left-Back,"Jul 17, 2003",19,Spain,€25k
Pablo Maffeo,Right-Back,"Jul 12, 1997",25,Argentina,€8.00m
Giovanni González,Right-Back,"Sep 20, 1994",28,Uruguay,€2.00m
Miguelito,Right-Back,"Jan 12, 2001",22,Spain,€50k
Rodrigo Battaglia,Defensive Midfield,"Jul 12, 1991",31,Argentina,€1.50m
Manu Morlanes,Central Midfield,"Jan 12, 1999",24,Spain,€4.00m
Iñigo Ruiz de Galarreta,Central Midfield,"Aug 6, 1993",29,Spain,€3.00m
Iddrisu Baba,Central Midfield,"Jan 22, 1996",27,Ghana,€3.00m
Antonio Sánchez,Central Midfield,"Apr 22, 1997",26,Spain,€2.50m
Clément Grenier,Central Midfield,"Jan 7, 1991",32,France,€800k
Miquel Llabrés,Central Midfield,"Jan 28, 2000",23,Spain,€100k
Luis Montiel,Central Midfield,"Jan 19, 2004",19,Spain,€25k
Rubén Quintanilla,Central Midfield,"Apr 3, 2002",21,Spain,€25k
Kang-in Lee,Attacking Midfield,"Feb 19, 2001",22,"Korea, South",€22.00m
Dani Rodríguez,Attacking Midfield,"Jun 6, 1988",35,Spain,€1.20m
Amath Ndiaye,Left Winger,"Jul 16, 1996",26,Senegal,€2.00m
Lago Júnior,Left Winger,"Dec 31, 1990",32,Cote d'Ivoire,€900k
Javi Llabrés,Left Winger,"Sep 11, 2002",20,Spain,€300k
Tòfol Montiel,Right Winger,"Apr 11, 2000",23,Spain,€150k
Vedat Muriqi,Centre-Forward,"Apr 24, 1994",29,Kosovo,€15.00m
Tino Kadewere,Centre-Forward,"Jan 5, 1996",27,Zimbabwe,€4.00m
Abdón Prats,Centre-Forward,"Dec 7, 1992",30,Spain,€1.20m
Ángel Rodríguez,Centre-Forward,"Apr 26, 1987",36,Spain,€1.00m
