Name,Position,Date of Birth,Age,Nationality,Market Value
Unai Simón,Goalkeeper,"Jun 11, 1997",26,Spain,€25.00m
Julen Agirrezabala,Goalkeeper,"Dec 26, 2000",22,Spain,€5.00m
Ibon Ispizua,Goalkeeper,"Apr 8, 2003",20,Spain,€100k
Ander Iru,Goalkeeper,"Aug 22, 1998",24,Spain,€100k
Yeray Álvarez,Centre-Back,"Jan 24, 1995",28,Spain,€15.00m
Dani Vivian,Centre-Back,"Jul 5, 1999",23,Spain,€14.00m
Iñigo Martínez,Centre-Back,"May 17, 1991",32,Spain,€10.00m
Aitor Paredes,Centre-Back,"Apr 29, 2000",23,Spain,€1.00m
Yuri Berchiche,Left-Back,"Feb 10, 1990",33,Spain,€2.00m
Mikel Balenziaga,Left-Back,"Feb 29, 1988",35,Spain,€500k
Iñigo Lekue,Right-Back,"May 4, 1993",30,Spain,€3.00m
Óscar de Marcos,Right-Back,"Apr 14, 1989",34,Spain,€1.80m
Ander Capa,Right-Back,"Feb 8, 1992",31,Spain,€1.80m
Mikel Vesga,Defensive Midfield,"Apr 8, 1993",30,Spain,€6.00m
Peru Nolaskoain,Defensive Midfield,"Oct 25, 1998",24,Spain,€1.00m
Unai Vencedor,Central Midfield,"Nov 15, 2000",22,Spain,€9.00m
Oier Zarraga,Central Midfield,"Jan 4, 1999",24,Spain,€3.00m
Ander Herrera,Central Midfield,"Aug 14, 1989",33,Spain,€2.50m
Dani García,Central Midfield,"May 24, 1990",33,Spain,€2.00m
Junior Bita,Central Midfield,"Jun 8, 2005",18,Spain,€50k
Oihan Sancet,Attacking Midfield,"Apr 25, 2000",23,Spain,€30.00m
Iker Muniain,Attacking Midfield,"Dec 19, 1992",30,Spain,€9.00m
Unai Gómez,Attacking Midfield,"May 25, 2003",20,Spain,€100k
Nico Williams,Left Winger,"Jul 12, 2002",20,Spain,€30.00m
Álex Berenguer,Left Winger,"Jul 4, 1995",27,Spain,€15.00m
Jon Morcillo,Left Winger,"Sep 15, 1998",24,Spain,€3.00m
Adu Ares,Left Winger,"Oct 12, 2001",21,Spain,€500k
Iñaki Williams,Right Winger,"Jun 15, 1994",29,Ghana,€25.00m
Asier Villalibre,Centre-Forward,"Sep 30, 1997",25,Spain,€2.50m
Raúl García,Centre-Forward,"Jul 11, 1986",36,Spain,€2.50m
Gorka Guruzeta,Centre-Forward,"Sep 12, 1996",26,Spain,€2.00m
