Name,Position,Date of Birth,Age,Nationality,Market Value
Gerónimo Rulli,Goalkeeper,"May 20, 1992",31,Argentina,€10.00m
Filip Jørgensen,Goalkeeper,"Apr 16, 2002",21,Denmark,€1.50m
Pepe Reina,Goalkeeper,"Aug 31, 1982",40,Spain,€700k
Iker Álvarez,Goalkeeper,"Jul 25, 2001",21,Andorra,€500k
Gianni Cassaro,Goalkeeper,"Apr 10, 1992",31,Spain,€100k
Pau Torres,Centre-Back,"Jan 16, 1997",26,Spain,€45.00m
Jorge Cuenca,Centre-Back,"Nov 17, 1999",23,Spain,€5.00m
Aïssa Mandi,Centre-Back,"Oct 22, 1991",31,Algeria,€3.00m
Mamadou Mbacke,Centre-Back,"Nov 21, 2002",20,Senegal,€2.80m
Raúl Albiol,Centre-Back,"Sep 4, 1985",37,Spain,€2.50m
Adrián de la Fuente,Centre-Back,"Feb 26, 1999",24,Spain,€800k
Pervis Estupiñán,Left-Back,"Jan 21, 1998",25,Ecuador,€32.00m
Alfonso Pedraza,Left-Back,"Apr 9, 1996",27,Spain,€15.00m
Johan Mojica,Left-Back,"Aug 21, 1992",30,Colombia,€3.00m
Alberto Moreno,Left-Back,"Jul 5, 1992",30,Spain,€3.00m
Dani Tasende,Left-Back,"Jul 6, 2000",22,Spain,€700k
Carlos Romero,Left-Back,"Oct 29, 2001",21,Spain,€100k
Juan Foyth,Right-Back,"Jan 12, 1998",25,Argentina,€25.00m
Kiko Femenía,Right-Back,"Feb 2, 1991",32,Spain,€2.50m
Sergio Carreira,Right-Back,"Oct 13, 2000",22,Spain,€1.50m
Marcos Sánchez,Right-Back,"Oct 26, 2003",19,Spain,-
Ramón Terrats,Defensive Midfield,"Oct 18, 2000",22,Spain,€4.00m
Étienne Capoue,Defensive Midfield,"Jul 11, 1988",34,France,€3.00m
Francis Coquelin,Defensive Midfield,"May 13, 1991",32,France,€3.00m
Dani Parejo,Central Midfield,"Apr 16, 1989",34,Spain,€6.00m
Manu Morlanes,Central Midfield,"Jan 12, 1999",24,Spain,€4.00m
Manu Trigueros,Central Midfield,"Oct 17, 1991",31,Spain,€4.00m
Alberto del Moral,Central Midfield,"Jul 20, 2000",22,Spain,€1.00m
Antonio Pacheco,Central Midfield,"Jan 3, 2002",21,Spain,€400k
Rodri Alonso,Central Midfield,"Jan 4, 2003",20,Spain,€100k
Álex Baena,Attacking Midfield,"Jul 20, 2001",21,Spain,€20.00m
Giovani Lo Celso,Attacking Midfield,"Apr 9, 1996",27,Argentina,€14.00m
Carlo García,Attacking Midfield,"Feb 12, 2001",22,Spain,€800k
Arnaut Danjuma,Left Winger,"Jan 31, 1997",26,Netherlands,€25.00m
Diego Collado,Left Winger,"Jan 9, 2001",22,Spain,€1.00m
Yéremy Pino,Right Winger,"Oct 20, 2002",20,Spain,€40.00m
Samuel Chukwueze,Right Winger,"May 22, 1999",24,Nigeria,€25.00m
Haissem Hassan,Right Winger,"Feb 8, 2002",21,France,€1.50m
Nicolas Jackson,Centre-Forward,"Jun 20, 2001",22,Senegal,€30.00m
Gerard Moreno,Centre-Forward,"Apr 7, 1992",31,Spain,€20.00m
Fer Niño,Centre-Forward,"Oct 24, 2000",22,Spain,€3.00m
José Luis Morales,Centre-Forward,"Jul 23, 1987",35,Spain,€3.00m
Jorge Pascual,Centre-Forward,"Apr 9, 2003",20,Spain,-
