Name,Position,Date of Birth,Age,Nationality,Market Value
Agustín Marchesín,Goalkeeper,"Mar 16, 1988",35,Argentina,€2.00m
Iván Villar,Goalkeeper,"Jul 9, 1997",25,Spain,€2.00m
Christian Joel,Goalkeeper,"Jul 9, 1999",23,Cuba,€500k
Diego Alves,Goalkeeper,"Jun 24, 1985",38,Brazil,€300k
Coke Carrillo,Goalkeeper,"Jan 7, 2002",21,Spain,€100k
Ruly García,Goalkeeper,"Jan 27, 2000",23,Spain,€50k
Joseph Aidoo,Centre-Back,"Sep 29, 1995",27,Ghana,€8.00m
Unai Núñez,Centre-Back,"Jan 30, 1997",26,Spain,€6.00m
Carlos Domínguez,Centre-Back,"Feb 11, 2001",22,Spain,€800k
Sergio Barcia,Centre-Back,"Dec 31, 2000",22,Spain,€300k
Javi Domínguez,Centre-Back,"Mar 26, 2001",22,Spain,€200k
Javi Galán,Left-Back,"Nov 19, 1994",28,Spain,€12.00m
Fernando Medrano,Left-Back,"Mar 26, 2000",23,Spain,€200k
Tincho,Left-Back,"Mar 25, 2003",20,Spain,€150k
Hugo Mallo,Right-Back,"Jun 22, 1991",32,Spain,€3.00m
Óscar Mingueza,Right-Back,"May 13, 1999",24,Spain,€2.50m
Kevin Vázquez,Right-Back,"Mar 23, 1993",30,Spain,€1.00m
Renato Tapia,Defensive Midfield,"Jul 28, 1995",27,Peru,€6.00m
Gabri Veiga,Central Midfield,"May 27, 2002",21,Spain,€30.00m
Fran Beltrán,Central Midfield,"Feb 3, 1999",24,Spain,€15.00m
Luca de la Torre,Central Midfield,"May 23, 1998",25,United States,€3.00m
Hugo Sotelo,Central Midfield,"Dec 19, 2003",19,Spain,€150k
Óscar Rodríguez,Attacking Midfield,"Jun 28, 1998",25,Spain,€8.00m
Williot Swedberg,Attacking Midfield,"Feb 1, 2004",19,Sweden,€3.00m
Miguel Baeza,Attacking Midfield,"Mar 27, 2000",23,Spain,€900k
Franco Cervi,Left Winger,"May 26, 1994",29,Argentina,€3.00m
Hugo Álvarez,Left Winger,"Jul 2, 2003",19,Spain,€200k
Carles Pérez,Right Winger,"Feb 16, 1998",25,Spain,€5.00m
Augusto Solari,Right Winger,"Jan 3, 1992",31,Argentina,€1.50m
Miguel Rodríguez,Right Winger,"Apr 29, 2003",20,Spain,€1.00m
Jørgen Strand Larsen,Centre-Forward,"Feb 6, 2000",23,Norway,€11.00m
Iago Aspas,Centre-Forward,"Aug 1, 1987",35,Spain,€6.00m
Haris Seferovic,Centre-Forward,"Feb 22, 1992",31,Switzerland,€4.00m
Gonçalo Paciência,Centre-Forward,"Aug 1, 1994",28,Portugal,€2.00m
Pablo Durán,Centre-Forward,"May 25, 2001",22,Spain,€250k
Fran López,Centre-Forward,"Jan 24, 2002",21,Spain,-
