Name,Position,Date of Birth,Age,Nationality,Market Value
Benjamin Lecomte,Goalkeeper,"Apr 26, 1991",32,France,€4.00m
Fernando Pacheco,Goalkeeper,"May 18, 1992",31,Spain,€2.50m
Álvaro Fernández,Goalkeeper,"Apr 13, 1998",25,Spain,€2.50m
Joan García,Goalkeeper,"May 4, 2001",22,Spain,€400k
Ángel Fortuño,Goalkeeper,"Oct 5, 2001",21,Spain,€300k
César Montes,Centre-Back,"Feb 24, 1997",26,Mexico,€8.00m
Leandro Cabrera,Centre-Back,"Jun 17, 1991",32,Uruguay,€2.50m
Fernando Calero,Centre-Back,"Sep 14, 1995",27,Spain,€2.00m
Sergi Gómez,Centre-Back,"Mar 28, 1992",31,Spain,€2.00m
Simo Keddari,Centre-Back,"Feb 3, 2005",18,Spain,€500k
Brian Oliván,Left-Back,"Apr 1, 1994",29,Spain,€6.00m
Adrià Pedrosa,Left-Back,"May 13, 1998",25,Spain,€5.00m
Ronaël Pierre-Gabriel,Right-Back,"Jun 13, 1998",25,France,€3.50m
Óscar Gil,Right-Back,"Apr 26, 1998",25,Spain,€3.00m
Rubén Sánchez,Right-Back,"Feb 4, 2001",22,Spain,€700k
Omar El Hilali,Right-Back,"Sep 12, 2003",19,Morocco,€500k
Vini Souza,Defensive Midfield,"Jun 17, 1999",24,Brazil,€6.00m
Sergi Darder,Central Midfield,"Dec 22, 1993",29,Spain,€16.00m
Edu Expósito,Central Midfield,"Aug 1, 1996",26,Spain,€4.00m
Keidi Bare,Central Midfield,"Aug 28, 1997",25,Albania,€3.00m
José Gragera,Central Midfield,"May 14, 2000",23,Spain,€2.50m
Pol Lozano,Central Midfield,"Oct 6, 1999",23,Spain,€1.50m
Roger Martínez,Central Midfield,"Apr 5, 2004",19,Spain,€400k
Dani Villahermosa,Central Midfield,"Jan 2, 2001",22,Spain,€250k
Nico Melamed,Attacking Midfield,"Apr 11, 2001",22,Spain,€6.00m
Denis Suárez,Attacking Midfield,"Jan 6, 1994",29,Spain,€5.00m
Javi Puado,Left Winger,"May 25, 1998",25,Spain,€8.00m
José Carlos Lazo,Left Winger,"Feb 16, 1996",27,Spain,€2.50m
Luca Koleosho,Left Winger,"Sep 15, 2004",18,Italy,€1.00m
Kenneth Soler,Left Winger,"Feb 16, 2001",22,Spain,€100k
Adrián Embarba,Right Winger,"May 7, 1992",31,Spain,€2.50m
Aleix Vidal,Right Winger,"Aug 21, 1989",33,Spain,€1.50m
Joselu,Centre-Forward,"Mar 27, 1990",33,Spain,€6.00m
Martin Braithwaite,Centre-Forward,"Jun 5, 1991",32,Denmark,€5.00m
Dani Gómez,Centre-Forward,"Jul 30, 1998",24,Spain,€1.50m
Nabil Touaizi,Centre-Forward,"Feb 1, 2001",22,Morocco,€200k
