Name,Position,Date of Birth,Age,Nationality,Market Value
Stole Dimitrievski,Goalkeeper,"Dec 25, 1993",29,North Macedonia,€4.00m
Miguel Ángel Morro,Goalkeeper,"Sep 11, 2000",22,Spain,€600k
Diego López,Goalkeeper,"Nov 3, 1981",41,Spain,€300k
Alejandro Catena,Centre-Back,"Oct 28, 1994",28,Spain,€8.00m
Florian Lejeune,Centre-Back,"May 20, 1991",32,France,€4.00m
Abdul Mumin,Centre-Back,"Jun 6, 1998",25,Ghana,€1.50m
Esteban Saveljich,Centre-Back,"May 20, 1991",32,Montenegro,€500k
Fran García,Left-Back,"Aug 14, 1999",23,Spain,€12.00m
Pep Chavarría,Left-Back,"Apr 10, 1998",25,Spain,€1.50m
Iván Balliu,Right-Back,"Jan 1, 1992",31,Albania,€4.00m
Mario Hernández,Right-Back,"Jan 25, 1999",24,Spain,€600k
Mario Suárez,Defensive Midfield,"Feb 24, 1987",36,Spain,€300k
Santi Comesaña,Central Midfield,"Oct 5, 1996",26,Spain,€7.50m
Óscar Valentín,Central Midfield,"Aug 20, 1994",28,Spain,€5.00m
Unai López,Central Midfield,"Oct 30, 1995",27,Spain,€3.50m
Pathé Ciss,Central Midfield,"Mar 16, 1994",29,Senegal,€3.00m
Diego Méndez,Central Midfield,"Aug 29, 2003",19,Spain,-
Óscar Trejo,Attacking Midfield,"Apr 26, 1988",35,Argentina,€3.00m
Randy Nteka,Attacking Midfield,"Dec 6, 1997",25,France,€1.80m
José Pozo,Attacking Midfield,"Mar 15, 1996",27,Spain,€1.00m
Pablo Muñoz,Attacking Midfield,"Sep 4, 2003",19,Spain,-
Álvaro García,Left Winger,"Oct 27, 1992",30,Spain,€6.00m
Bebé,Left Winger,"Jul 12, 1990",32,Cape Verde,€800k
Isi Palazón,Right Winger,"Dec 27, 1994",28,Spain,€12.00m
Salvi Sánchez,Right Winger,"Mar 30, 1991",32,Spain,€1.50m
Sergio Camello,Centre-Forward,"Feb 10, 2001",22,Spain,€10.00m
Raúl de Tomás,Centre-Forward,"Oct 17, 1994",28,Spain,€8.00m
Radamel Falcao,Centre-Forward,"Feb 10, 1986",37,Colombia,€2.00m
Andrés Martín,Centre-Forward,"Jul 11, 1999",23,Spain,€1.00m
