,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,Bayern,35, FW,34,2952,35,3,2,-,4.7,77.4,1.6,8,7.89,0.3,0.2,0.6,0.1,0.2,0.4,0.1,-,1.4,1.1,0.6,1.6,1.6,21.6,77.4,0.1,0.4,0.1
1,Christopher Nkunku,RBL,26," M(CLR),FW",31(3),2735,20,13,2,-,2.4,81.8,0.8,10,7.64,0.7,0.4,0.9,-,0.4,0.8,0.1,-,1.9,1.8,0.4,1.5,1.5,28.2,81.8,0.6,0.6,0.2
2,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",28,2478,3,11,4,-,1,88.0,0.6,5,7.6,1.4,1.9,0.7,0.1,0.9,1.4,0.3,-,0.8,1.6,-,0.6,0.6,84.2,88.0,2.4,5,0.3
3,Erling Haaland,Borussia Dortmund,23, FW,21(3),1915,22,7,3,-,3.3,71.3,1.6,6,7.55,0.1,-,0.7,-,1.3,-,-,-,0.5,0.6,0.6,0.7,0.7,19.2,71.3,-,-,0.1
4,Patrik Schick,Leverkusen,28," AM(R),FW",26(1),2094,24,3,-,-,3.3,68.9,2,4,7.45,0.2,0.1,0.5,-,1,0.3,-,-,0.6,0.8,0.2,0.8,0.8,15.1,68.9,-,0.2,-
5,Florian Wirtz,Leverkusen,21," AM(CL),FW",22(2),1864,7,10,2,-,1.5,78.7,0.3,3,7.41,1,0.5,0.6,-,0.1,0.8,-,-,2.3,1,0.4,1.4,1.4,33.8,78.7,0.6,1.3,0.5
6,Nico Schlotterbeck,Freiburg,24, D(C),32,2789,4,1,5,-,1.1,80.6,3.4,1,7.39,2.3,1.8,1,0.7,4.6,0.5,1,-,0.7,1.1,-,0.5,0.5,53.9,80.6,-,4.5,0.1
7,Thomas Müller,Bayern,34," M(CLR),FW",32,2578,8,18,-,-,1.7,77.0,1,3,7.34,1.1,0.5,0.3,-,0.4,1.2,-,1,0.4,0.7,0.4,0.8,0.8,42.9,77.0,0.6,0.8,0.2
8,Alphonso Davies,Bayern,23," D(L),M(LR)",20(2),1744,-,3,3,-,0.8,84.3,0.5,2,7.31,1.5,1,0.7,0.2,0.9,0.8,-,-,3.6,1.2,0.1,1.1,1.1,51.4,84.3,0.4,0.9,0.2
9,Serge Gnabry,Bayern,28," AM(CLR),FW",25(9),2192,14,5,-,-,2,82.0,0.2,2,7.3,1.4,0.4,0.3,-,0.1,1,-,-,1.9,0.6,0.4,0.6,0.6,35.8,82.0,0.5,0.8,0.2
10,Marco Reus,Borussia Dortmund,34," M(CLR),FW",29,2514,9,12,2,-,1.8,82.8,0.3,3,7.25,1.6,0.4,0.8,-,1.3,0.9,0.2,-,1,1.5,0.3,1.1,1.1,41.0,82.8,0.5,1.2,0.1
11,Jonas Hofmann,Borussia M.Gladbach,31," D(R),M(CLR),FW",24(2),2082,12,5,1,-,2.1,81.8,0.2,3,7.2,1.2,0.5,0.9,-,0.3,1,-,-,0.8,0.8,0.3,0.9,0.9,42.0,81.8,1.8,1.5,0.1
12,Moussa Diaby,Leverkusen,24," M(CLR),FW",32,2773,13,12,8,1,1.7,77.2,0.2,3,7.2,0.6,0.3,1.2,-,0.1,1,-,-,1.8,0.8,0.5,0.9,0.9,28.2,77.2,0.7,0.9,0.2
