,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,Bayern,35, FW,33,2959,22,7,2,-,4.4,77.5,1.7,5,7.65,0.4,0.2,0.8,-,0.5,0.2,-,-,1.5,1.4,0.9,1.5,1.5,22.1,77.5,-,0.6,0.2
1,Thiago Alcântara,Bayern,33, M(C),26(4),2409,2,6,5,-,0.8,91.8,1.2,3,7.59,2.9,1.5,1.7,-,0.6,0.8,0.1,-,1.9,1.1,-,0.9,0.9,83.6,91.8,0.5,7.3,0.1
2,Kerem Demirbay,Hoffenheim,30, M(C),24(2),2023,4,9,6,-,2.3,81.2,0.7,6,7.59,2.2,0.8,1.8,-,0.8,1.5,0.4,-,2.2,1.3,0.1,2,2,48.8,81.2,1.7,2.9,0.2
3,Marcel Halstenberg,RBL,32," D(CL),M(L)",27(1),2414,3,6,2,-,0.8,74.3,2.6,3,7.56,2.4,1.4,0.9,0.5,1.9,0.8,0.1,-,1,0.8,0.1,0.9,0.9,40.9,74.3,1.6,1.4,-
4,Sébastien Haller,Eintracht Frankfurt,29, FW,23(6),2181,15,9,3,-,1.9,63.5,6.9,3,7.55,0.8,0.5,1.4,-,0.8,0.4,-,-,1,1.5,0.7,1.7,1.7,27.0,63.5,-,0.4,0.1
5,Jadon Sancho,Borussia Dortmund,24, AM(CLR),26(8),2464,12,14,2,-,1.2,84.9,-,7,7.52,0.6,0.4,0.1,-,0.1,0.6,-,-,3.3,1.1,0.1,1.7,1.7,38.3,84.9,0.8,0.6,0.1
6,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",34,3060,2,13,4,-,0.7,90.5,0.7,4,7.49,1.4,1,0.8,0.1,1,0.9,0.3,-,1.1,1.5,0.1,0.7,0.7,74.1,90.5,2.2,4.2,0.1
7,Thorgan Hazard,Borussia M.Gladbach,31," M(CLR),FW",33,2878,10,10,1,-,2.3,76.9,0.7,6,7.44,1.5,0.8,0.8,-,0.2,0.9,0.1,-,2.2,1.8,0.5,1.5,1.5,34.8,76.9,1.4,1.6,0.2
8,Willi Orbán,RBL,31, D(C),23(1),2050,4,-,5,-,1.1,78.2,4.8,3,7.41,2,1.5,1.1,1.4,5.7,0.6,0.6,-,0.1,1.2,-,0.1,0.1,41.6,78.2,-,2.7,-
9,Lukasz Piszczek,Borussia Dortmund,38," D(CR),M(R)",20,1759,1,6,3,-,0.6,83.3,3.1,2,7.41,2.9,2,0.8,0.2,3,0.8,0.2,-,0.4,0.5,-,0.3,0.3,56.2,83.3,0.6,1.3,0.2
