,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Domenico Berardi,38.9,74.8,0.8,3.1,0.3
1,Rafael Leão,20.7,74.8,0.4,1,0.1
2,Sergej Milinkovic-Savic,62.2,81.4,0.3,2.6,0.1
3,Lorenzo Pellegrini,32.9,77.7,2,1.9,0.1
4,Dusan Vlahovic,18,70.6,0.2,1,0.1
5,Ciro Immobile,27.9,78,0.1,0.6,0.1
6,Luis Muriel,24.9,75.6,1.1,0.7,0.1
7,Hakan Çalhanoglu,47.5,86.8,2.1,3.1,0.1
8,Victor Osimhen,12,70.5,-,0.3,-
9,Ivan Perisic,33.3,76.3,1.1,1.8,-
10,Paulo Dybala,36.3,84.3,0.6,2.3,0.1
11,Bremer,43.3,81.6,-,2.6,-
12,Gianluca Caprari,32.9,80.5,0.7,0.9,0.2
13,Juan Cuadrado,49.2,88.7,1.3,3.9,-
14,Lautaro Martínez,14,74.7,0.1,0.4,-
15,Tammy Abraham,18.3,71,0.1,0.4,0.1
16,Théo Hernández,42.8,83.8,1.2,2.2,0.1
17,Marcelo Brozovic,73.6,92.5,0.3,5.8,0.1
18,Nicolò Barella,49.6,85.1,0.6,2.3,0.2
19,Fabián Ruiz,67.9,90.5,0.1,4.2,0.1
20,Lorenzo Insigne,43.3,83.7,0.9,2.8,0.2
21,Kalidou Koulibaly,60.8,86.9,-,3.4,-
22,Edin Dzeko,21.3,72.7,0.3,1.2,0.1
23,Duván Zapata,21.5,76.7,0.3,0.4,0.1
24,Frank Anguissa,48.1,89.9,0.2,1.2,-
25,Giovanni Di Lorenzo,59.2,88.2,0.2,2.1,0.1
26,Gerard Deulofeu,26.6,78.7,1.1,0.6,0.1
27,Sandro Tonali,38,85.5,0.9,2.8,0.1
28,Felipe Anderson,34.6,81.4,0.5,0.8,0.1
29,Nicolás González,25.5,77.9,0.4,1.7,-
30,Mattia Zaccagni,23.5,84.6,0.2,0.6,-
31,José Palomino,48.4,81.3,0.1,2.8,-
32,Henrikh Mkhitaryan,35.6,84.9,0.4,1.6,0.2
33,Olivier Giroud,16.3,67.6,-,0.2,-
34,Fikayo Tomori,55.7,87.9,-,3.3,-
35,Mário Rui,62.4,86.1,0.4,3.9,-
36,Milan Djuric,20.4,60.2,-,-,-
37,Luis Alberto,53.1,87.7,0.9,1.8,0.3
38,Bryan Cristante,52.7,82.2,0.1,4.2,0.1
39,Antonio Candreva,42.4,76.2,2.1,3.5,0.2
40,Franck Kessié,42.5,88.5,0.1,1.9,-
41,Danilo,59.9,86.3,0.3,3.5,-
42,Mike Maignan,30.9,75.8,-,6.9,-
43,Antonín Barák,37.2,80.5,0.1,0.8,0.1
44,Ruslan Malinovskyi,27.2,77,1.1,1.3,0.1
45,Alessandro Bastoni,56.3,89.6,0.2,4,-
46,Pedro,27.8,86.7,0.1,1.2,0.1
47,Hamed Traorè,24.6,82.1,0.5,0.9,0.1
48,Giovanni Simeone,18.6,70.4,0.2,0.3,-
49,Davide Calabria,39.8,76.3,0.8,2.8,-
50,Matthijs de Ligt,54.5,88.9,-,3.3,-
51,Guglielmo Vicario,29.2,74.9,-,4.7,-
52,Lukasz Skorupski,30.2,72,-,7.1,-
53,Pierre Kalulu,38.9,89.8,0.2,1.8,-
54,Junior Messias,18.5,72.8,0.3,0.4,-
55,Mario Pasalic,26.6,81.1,-,0.9,-
56,Dries Mertens,17.3,76.2,0.1,0.7,0.1
57,Marko Arnautovic,26.7,73.7,0.1,0.4,-
58,Hirving Lozano,17.5,82.1,0.5,0.2,-
59,Sasa Lukic,48.8,87.8,0.3,2.1,0.1
60,Beto,12.7,68.7,-,0.3,-
61,Adrien Tameze,32.1,81.1,0.2,1.7,0.1
62,Josip Ilicic,22.4,76.3,0.8,1.6,0.1
63,Álvaro Morata,18.1,75.7,0.1,0.8,0.1
64,Nicolás Domínguez,42.3,83.4,0.1,2.8,0.1
65,Amir Rrahmani,60.8,91.1,-,3.2,-
66,Zlatan Ibrahimovic,18,72.5,0.1,0.2,-
67,Gianluca Scamacca,14.9,74,-,0.5,-
68,David Ospina,27.5,81.2,-,4.8,-
69,Teun Koopmeiners,45.6,82.7,1,2.9,-
70,Adrien Rabiot,31.8,83.3,0.2,0.8,-
71,Milan Skriniar,60,92.9,0.1,3,0.1
72,Denzel Dumfries,20.5,77.1,0.4,0.4,-
73,Jordan Veretout,37,88.4,1,2.8,-
