,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Victor Osimhen,11.6,71,0.1,0.3,-
1,Khvicha Kvaratskhelia,30.5,83.7,0.4,1.3,0.2
2,Sergej Milinkovic-Savic,52.2,77.1,0.1,2.2,0.2
3,Paulo Dybala,28.4,82.3,1.3,2.2,0.1
4,Rafael Leão,21.2,74.4,0.5,1.3,0.1
5,Lautaro Martínez,17.3,75.6,-,0.6,0.1
6,Mattia Zaccagni,27.9,84.5,0.2,0.4,-
7,Domenico Berardi,31.2,71.1,1,3.1,0.1
8,Armand Laurienté,24.6,79.2,0.7,0.5,0.1
9,Adrien Rabiot,35.5,83.6,0.2,1.5,0.1
10,Teun Koopmeiners,46.5,78.1,1.5,2.8,0.1
11,Felipe Anderson,35.1,79.8,0.2,0.8,-
12,Lorenzo Pellegrini,29.5,80.1,1.7,1.6,0.1
13,Mário Rui,65,84.2,1.6,5.1,0.1
14,Lucas Martínez,55.9,81.9,0.1,6.3,-
15,Hakan Çalhanoglu,45.4,88.3,2.1,3,0.1
16,Kim Min-Jae,80,91,0.1,3.4,-
17,Giovanni Di Lorenzo,61.8,86,0.2,2.7,0.1
18,Danilo,56,85.1,0.1,4.3,0.1
19,Frank Anguissa,61.8,88.8,-,1.7,-
20,Carlos Augusto,39.4,84.7,0.3,1.1,0.1
21,Luis Alberto,52.1,87.6,1,1.7,0.3
22,Stefan Posch,49.2,76.7,0.3,3.9,0.1
23,Romelu Lukaku,15.1,72.5,0.1,0.3,0.1
24,Ismaël Bennacer,47.8,89.2,0.8,3.3,0.1
25,Nicolò Barella,42.9,85,0.6,1.8,0.1
26,Armando Izzo,52,87.7,0.1,3.3,-
27,Piotr Zielinski,38.7,87.5,1.2,1,0.1
28,Fabiano Parisi,38.7,79,0.4,1.8,-
29,Cristiano Biraghi,42.3,78.5,2.7,2.4,-
30,Bremer,55.4,90.2,-,3,-
31,Nicolás Domínguez,44,83.7,0.1,1.9,0.2
32,Chris Smalling,41.8,87.5,-,2.3,-
33,Sandro Tonali,41.3,81,0.9,2.5,0.1
34,Ademola Lookman,19.3,78.6,0.4,0.2,0.1
35,Ivan Provedel,30.3,78.1,-,7.9,-
36,Fikayo Tomori,57.5,88.9,-,5.1,0.1
37,Juan Cuadrado,35.7,87,1.1,2.7,-
38,Olivier Giroud,16.8,63.3,-,0.2,-
39,Manuel Locatelli,41.8,82.7,-,3.4,-
40,Boulaye Dia,17.5,77.3,0.1,0.5,0.1
41,Federico Dimarco,28.2,80.6,1.9,2.1,-
42,Stanislav Lobotka,60.4,94.2,-,2.5,-
43,Théo Hernández,43.2,81.1,1,1.9,-
44,Ibañez,49.8,88,-,2.6,0.1
45,Amir Rrahmani,74.5,91.4,-,5.3,-
46,Destiny Udogie,29.2,83,0.2,0.6,-
47,Stefan de Vrij,44.5,89.5,-,1.7,-
48,Ciro Immobile,19.7,75.9,-,0.4,0.1
49,Matteo Pessina,56.2,86.5,0.2,2.3,-
50,Jaka Bijol,42.9,85,-,3.7,0.1
51,Alessio Romagnoli,54.3,90.5,-,3.2,-
52,Guglielmo Vicario,36.3,68.7,-,5.9,-
53,Ángel Di María,21.3,78.7,1.3,1.3,0.2
54,Junior Messias,20.5,79.1,0.1,0.8,-
55,Rafael Tolói,51,81.3,0.1,3.1,-
56,Morten Hjulmand,37.2,79.3,0.1,2.7,-
57,Antonio Sanabria,20.8,76.1,-,0.5,-
58,Rade Krunic,41.2,85.9,-,1.1,-
59,Bryan Cristante,46.1,82.8,0.1,3.6,0.1
60,Ardian Ismajli,41,84.7,-,2.4,-
61,Guillermo Ochoa,35.6,55.8,-,8.2,-
62,Davide Zappacosta,32.2,87.1,0.6,0.5,-
63,Davide Frattesi,27.7,80.5,0.1,1.7,0.1
64,Lukasz Skorupski,27.2,74.8,-,5.5,-
65,Brahim Díaz,20.8,82.2,0.1,0.5,0.2
66,Christian Kouamé,21,73.3,0.5,0.5,-
67,Francesco Acerbi,51.5,89.8,0.1,3.2,-
68,Nicolás González,21.8,69.3,0.3,1,-
69,Stephan El Shaarawy,24.4,80.5,0.3,1,-
70,Michele Di Gregorio,34.5,71.9,-,6.7,-
71,Jérémie Boga,18,85,1,0.9,-
72,Marcelo Brozovic,51.6,89.6,0.5,2.5,0.1
73,Nicolò Rovella,53,89.7,0.4,3.9,-
74,Emil Audero,32.4,63.6,-,8.4,-
75,Filip Kostic,23.6,78.1,1.5,0.9,-
76,Marten de Roon,53.7,83.6,-,3.5,-
77,Nikola Milenkovic,47.5,85.9,-,2.8,-
78,Davide Calabria,42.3,82.5,0.6,1.5,-
79,Roberto Pereyra,33.7,84.5,0.6,1.1,-
80,Wojciech Szczesny,23.5,75.7,-,5.6,-
81,Hirving Lozano,15.8,81.7,0.7,0.2,-
82,Riccardo Orsolini,23.8,68.1,1,1.7,-
83,Alessandro Buongiorno,45.7,85.1,0.1,1.1,-
84,Gabriel Strefezza,21.1,69.1,0.8,1.5,0.1
85,Malick Thiaw,52.5,88.4,-,3.4,-
86,Edin Dzeko,15.2,72,0.1,0.6,0.1
87,Dusan Vlahovic,13.8,72.1,0.1,0.7,-
88,Tammy Abraham,13.1,68.3,0.1,0.4,0.1
89,Rodrigo Becão,43.9,80.3,0.1,2.9,-
90,Razvan Marin,43.7,84.5,1.2,3.7,-
91,Marco Carnesecchi,30.1,53.1,-,6.9,-
92,Patrick Ciurria,30.3,82.5,0.8,1.1,-
93,Pasquale Mazzocchi,24.8,79.9,0.8,1.1,-
94,Nikola Vlasic,27.2,81.7,0.4,0.5,-
95,Milan Djuric,18.5,51.6,-,0.1,-
96,Lewis Ferguson,37.2,86.1,0.1,0.5,-
97,André Onana,38,79.2,-,6.1,-
98,Lassana Coulibaly,33.1,84,-,1,0.1
99,Federico Baschirotto,37,74.1,0.1,3.3,-
100,Rolando Mandragora,31.1,84.4,0.8,2.3,-
101,Berat Djimsiti,44.9,87.1,-,1.6,-
102,Norbert Gyömbér,27.2,83.8,-,1.3,-
103,Éderson,30.6,81.9,0.1,1.8,-
104,Alex Sandro,44.6,87.5,0.2,2.9,-
105,Lazar Samardzic,21.4,85.4,0.9,2.3,-
106,Marko Arnautovic,21.3,72.3,-,0.5,-
107,Jerdy Schouten,45.2,87.1,-,1.4,-
108,Nicolò Casale,55.6,92,-,2.9,-
109,Giacomo Bonaventura,28.7,85.6,0.4,1.2,0.1
110,Alex Meret,23.8,86,-,3.5,-
111,Denzel Dumfries,22.3,79.1,0.6,0.7,-
112,Arkadiusz Milik,16.3,78.6,-,0.4,-
113,Henrikh Mkhitaryan,33.1,88.4,0.3,1.5,-
114,Alessandro Bastoni,53,85.4,0.4,4.6,-
115,Adam Marusic,48,87.6,0.2,1.9,-
116,Antonio Candreva,35.7,79.7,1.5,2,0.1
117,Ola Aina,21.5,76.5,0.6,0.7,-
118,Perr Schuurs,39.8,88.2,-,1.9,-
119,Bram Nuytinck,34.3,85.4,-,1.8,-
120,Rasmus Højlund,13.3,74.3,0.1,0.3,-
121,Gianluca Mancini,45.1,82.1,0.2,3.2,0.1
122,Darko Lazovic,21.2,68.5,1.1,0.8,0.1
123,Sandi Lovric,23.7,83.9,0.7,1.4,-
124,Mathías Olivera,39.5,87.3,0.2,1.1,-
125,Beto,8.8,65.7,-,0.2,-
126,Johan Vásquez,31,79.1,-,1.5,-
127,Walace,46.9,84.7,0.1,3.2,-
128,Nehuén Pérez,49,86.4,0.1,4.4,-
129,Simone Bastoni,23.6,69.3,1.1,0.9,0.1
