,Name,AvgP,PSp,Crosses,LonB,ThrB
108,Marash Kumbulla,36.4,84.9,-,1.6,-
109,Marco Silvestri,25.9,41.7,-,5.9,-
110,Nikola Maksimovic,59.5,93.1,0.3,2.6,-
111,Matthijs de Ligt,53.7,90.2,-,3.4,-
112,Cristian Ansaldi,20.2,77.1,1.7,2.3,-
113,Lasse Schöne,46.9,88.3,1,1.5,-
114,Mattia Zaccagni,21.2,75.3,0.1,0.6,-
115,Simone Verdi,22.6,78.4,1.2,2,-
116,Gianluca Mancini,52,88.2,-,2.7,0.1
117,Andrea Petagna,23.5,75.6,0.1,1.4,0.1
118,Germán Pezzella,36.8,82.7,0.1,2.5,-
119,Ola Aina,27.9,78.6,0.5,1.1,-
120,Danilo D'Ambrosio,36.1,85,0.1,1.4,-
121,Sofyan Amrabat,49.9,88,0.3,3.5,0.1
122,Karol Linetty,25.9,79.7,0.3,1,-
123,Cristiano Biraghi,23.5,77,1.5,1,-
124,Ernesto Torregrossa,19,65.4,-,0.9,0.1
125,Mattia Bani,42.8,80.5,0.1,3.2,-
126,Alessandro Bastoni,56.4,88.9,0.1,4.2,-
127,Luiz Felipe,44.2,88.8,0.1,2.5,-
128,Jasmin Kurtic,37.1,87.7,0.9,3,-
129,Douglas Costa,18.7,83.8,0.3,1.2,-
130,Armando Izzo,44.8,79.2,0.3,3.5,-
131,José Callejón,31.5,87.8,1.5,1.2,0.1
132,Franck Kessié,48.2,89.2,0.2,1.9,0.1
133,Stefano Sabelli,41.5,71.5,0.6,2.4,-
134,Koray Günter,42.7,85.7,-,2.7,-
135,Nikola Milenkovic,46.1,87.3,-,2.7,-
136,Samir Handanovic,26.6,86,-,4.7,-
137,Jordan Veretout,47.7,89.7,0.7,3.3,-
138,Matteo Pessina,37.1,78.8,0.3,1.1,-
139,Omar Colley,44,81.4,0.1,3.9,-
140,Luca Cigarini,52.4,84,1,3.7,-
141,Justin Kluivert,20.3,83.4,0.3,0.8,-
142,Gabriel Vasconcelos,22.9,72.4,-,4.6,-
143,Mattia Valoti,20.6,79.5,0.1,0.8,-
144,Stefano Okaka,18.1,76.7,-,0.5,0.1
145,Andrea Consigli,27.2,75.5,-,3.9,-
146,Kalidou Koulibaly,67.4,91.4,-,4.6,-
147,Giovanni Simeone,12.6,68.8,0.1,0.2,0.1
148,Antonio Sanabria,14.8,76.9,-,0.7,-
149,Rafael Leão,13.7,78.5,0.4,0.4,-
150,Timothy Castagne,34.9,85.4,0.6,0.5,-
151,Mario Balotelli,18.3,66,0.1,1.6,-
152,Giacomo Bonaventura,22.8,85.6,0.1,0.7,0.1
153,Konstantinos Manolas,57.8,91.8,-,2.3,-
154,Amadou Diawara,45.4,88.9,-,3.2,-
155,Dimitri Bisoli,27.7,67.3,0.5,0.6,-
156,Nicola Sansone,25.8,78.8,1,0.6,0.1
157,Leonardo Bonucci,58.7,86.9,0.1,5.4,-
158,Elseid Hysaj,57,84.2,0.3,1.9,0.1
159,Bartlomiej Dragowski,22.6,64.1,-,4.5,-
160,Bram Nuytinck,49.4,85.1,-,3.4,-
161,Paolo Faragò,33.4,79.6,0.6,1.9,-
162,Albin Ekdal,35.8,85.9,0.1,1.4,-
163,Diego Perotti,16.6,85.7,0.3,0.7,0.1
164,Felipe Caicedo,13.5,77.2,-,0.2,-
165,Matías Vecino,26.3,78.5,0.1,0.8,-
166,Leonardo Spinazzola,32.9,82.2,0.7,2,-
167,Soualiho Meïté,27.1,83.1,0.2,1.3,-
168,Gervinho,15.7,80.3,0.1,0.2,-
169,Nicolas Nkoulou,38.1,89.4,-,2.6,-
170,Davide Biraschi,41.8,77.5,0.3,1.8,-
171,Rolando Mandragora,34.9,85,0.4,2,-
172,Dalbert,30.9,78.5,1,1.4,-
173,Simone Zaza,13.1,65,-,0.5,-
174,Hans Hateboer,36.4,85.7,0.7,0.5,-
