,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
22,Salomon Kalou,Hertha Berlin,38,AM,30,2327,8,2,0,0,1.6,73.5,1.4,1,6.83,0.7,0.2,1.0,0.0,0.7,0.6,0.0,0,1.8,0.8,0.5,2.0,2.0,22.7,73.5,0.2,0.7,0.2,0.4067796610169492
23,Javairô Dilrosun,Hertha Berlin,25,AM,17,892,2,3,2,0,0.6,81.6,0.3,0,6.59,0.8,0.4,0.5,0.1,0.4,0.2,0.1,0,0.5,1.2,0.0,0.8,0.8,12.2,81.6,0.3,0.4,0.0,0.4067796610169492
24,Daniel Ginczek,Wolfsburg,33,AM,24,1275,6,2,4,0,1.5,58.7,1.1,3,6.68,0.4,0.1,0.6,0.0,0.8,0.6,0.1,0,0.6,0.6,0.2,1.0,1.0,13.9,58.7,0.3,0.7,0.0,0.6101694915254238
25,Josip Brekalo,Wolfsburg,25,AM,25,1416,3,3,2,0,1.0,73.0,0.2,0,6.59,0.6,0.5,0.6,0.0,0.2,0.5,0.0,0,1.2,0.8,0.1,1.0,1.0,22.0,73.0,0.4,1.8,0.0,0.6101694915254238
26,Milot Rashica,Werder Bremen,27,AM,26,1559,9,5,1,0,2.3,69.1,0.3,3,6.98,0.9,0.2,1.3,0.0,0.2,0.6,0.1,0,1.3,1.3,0.3,1.3,1.3,14.7,69.1,1.0,0.3,0.0,0.576271186440678
27,Yuya Osako,Werder Bremen,33,AM,21,1351,3,2,2,0,1.3,73.3,1.4,1,6.65,1.1,0.3,1.0,0.1,0.3,0.7,0.1,0,0.9,1.0,0.1,2.1,2.1,23.0,73.3,0.1,0.5,0.1,0.576271186440678
28,Claudio Pizarro,Werder Bremen,45,AM,26,677,5,2,1,0,1.0,69.9,1.4,0,6.49,0.3,0.0,0.7,0.0,0.3,0.1,0.0,0,0.3,0.3,0.2,0.5,0.5,10.0,69.9,0.1,0.3,0.0,0.576271186440678
29,Johannes Eggestein,Werder Bremen,25,AM,23,1118,4,1,0,0,1.5,72.3,0.7,1,6.41,0.6,0.2,0.7,0.0,0.2,0.6,0.0,0,0.7,0.6,0.0,1.6,1.6,13.5,72.3,0.1,0.3,0.0,0.576271186440678
30,Dodi Lukébakio,Fortuna Duesseldorf,26,AM,31,1978,10,3,6,0,1.8,75.8,0.7,2,6.82,0.8,0.3,0.9,0.0,0.6,0.2,0.0,0,1.6,1.6,0.5,1.5,1.5,17.6,75.8,0.3,0.9,0.0,0.423728813559322
31,Benito Raman,Fortuna Duesseldorf,29,AM,30,1679,10,4,1,0,1.8,70.3,0.2,3,6.74,1.2,0.5,0.9,0.0,0.3,1.4,0.1,0,1.2,0.6,0.0,0.9,0.9,13.6,70.3,0.3,1.0,0.0,0.423728813559322
32,Kenan Karaman,Fortuna Duesseldorf,30,AM,21,915,3,1,0,0,1.0,71.0,1.4,1,6.59,0.6,0.1,0.7,0.0,0.4,0.2,0.0,0,0.9,0.7,0.3,0.8,0.8,13.0,71.0,0.2,0.3,0.0,0.423728813559322
33,Takashi Usami,Fortuna Duesseldorf,31,AM,19,877,1,2,1,0,1.4,76.1,0.3,0,6.49,0.9,0.4,0.4,0.0,0.5,0.9,0.1,0,0.7,0.6,0.1,0.4,0.4,11.5,76.1,0.7,0.8,0.0,0.423728813559322
34,Luca Waldschmidt,Freiburg,27,AM,30,1719,9,1,1,0,2.1,81.0,0.4,2,6.75,0.7,0.4,1.1,0.0,0.2,0.6,0.1,0,0.7,0.9,0.1,0.7,0.7,19.3,81.0,0.3,1.2,0.1,0.288135593220339
35,Florian Niederlechner,Freiburg,33,AM,24,972,4,1,3,0,1.3,70.0,0.7,1,6.38,0.3,0.3,1.0,0.0,0.4,0.2,0.2,0,0.4,0.8,0.4,0.6,0.6,7.1,70.0,0.0,0.2,0.0,0.288135593220339
36,Lucas Höler,Freiburg,29,AM,26,1004,4,0,0,0,1.0,67.6,0.6,0,6.27,0.7,0.1,0.7,0.0,0.5,0.5,0.0,0,0.3,1.0,0.2,1.0,1.0,9.5,67.6,0.1,0.1,0.0,0.288135593220339
37,Daniel Didavi,VfB Stuttgart,34,AM,20,951,2,2,0,0,1.2,78.5,0.3,0,6.57,1.1,0.2,0.6,0.0,0.3,0.7,0.1,0,0.6,1.5,0.3,1.1,1.1,19.1,78.5,1.0,0.5,0.2,0.15254237288135594
38,Anastasios Donis,VfB Stuttgart,27,AM,24,961,5,2,4,0,1.3,80.1,0.4,2,6.45,0.6,0.2,0.9,0.0,0.0,0.3,0.0,0,0.8,0.5,0.6,0.5,0.5,6.7,80.1,0.1,0.2,0.0,0.15254237288135594
39,Alexander Esswein,VfB Stuttgart,34,AM,17,1259,0,0,3,0,1.7,71.2,0.9,0,6.4,1.0,0.7,1.1,0.0,0.8,0.9,0.0,0,0.5,1.0,0.6,1.0,1.0,22.9,71.2,0.8,0.9,0.1,0.15254237288135594
40,Bobby Wood,Hannover 96,31,AM,20,1186,3,1,1,0,0.9,78.7,1.3,0,6.33,0.7,0.2,0.9,0.0,0.3,0.2,0.0,0,0.3,0.7,0.2,2.9,2.9,14.4,78.7,0.1,0.3,0.1,0.03389830508474576
41,Jean-Paul Boëtius,Mainz 05,30,AM,30,2130,4,7,8,0,1.5,77.1,0.8,1,6.9,1.7,1.2,1.7,0.0,0.3,0.9,0.1,0,1.1,1.6,0.1,1.3,1.3,27.9,77.1,0.1,1.6,0.2,0.4067796610169492
42,Karim Onisiwo,Mainz 05,32,AM,26,1153,7,3,2,0,1.5,62.6,1.7,2,6.81,0.9,0.3,0.8,0.0,0.3,0.3,0.1,0,0.6,1.3,0.1,0.7,0.7,8.8,62.6,0.2,0.0,0.0,0.4067796610169492
43,Alexandru Maxim,Mainz 05,33,AM,22,565,1,0,3,0,0.7,83.1,0.1,0,6.36,0.7,0.2,0.4,0.0,0.3,0.4,0.0,0,0.5,0.3,0.1,0.7,0.7,15.1,83.1,0.5,0.8,0.0,0.4067796610169492
44,André Hahn,Augsburg,33,AM,28,2050,4,4,7,0,1.3,57.8,2.0,1,6.87,2.3,1.0,2.4,0.0,1.0,1.1,0.1,0,0.6,0.7,0.8,1.0,1.0,16.3,57.8,0.7,0.7,0.0,0.22033898305084745
45,Michael Gregoritsch,Augsburg,30,AM,32,2494,6,2,4,0,2.7,71.1,2.9,1,6.7,0.7,0.5,0.8,0.0,1.8,0.8,0.3,0,0.4,0.9,0.5,0.8,0.8,28.4,71.1,0.1,1.2,0.1,0.22033898305084745
46,Sergio Córdova,Augsburg,26,AM,20,516,3,0,1,0,0.7,75.0,1.0,0,6.29,0.5,0.2,0.8,0.0,0.3,0.2,0.0,0,0.5,1.0,0.2,1.0,1.0,5.8,75.0,0.0,0.2,0.0,0.22033898305084745
47,Matheus Pereira,Nuernberg,28,AM,19,1237,3,2,3,1,1.5,74.3,0.3,2,6.77,0.8,0.7,1.5,0.0,0.4,0.6,0.1,0,2.1,2.5,0.1,1.2,1.2,23.3,74.3,0.2,1.6,0.1,0.0
48,Sebastian Kerk,Nuernberg,30,AM,21,1187,0,1,0,0,0.9,73.5,0.6,0,6.37,0.8,0.1,0.4,0.0,0.7,0.8,0.2,0,0.2,0.5,0.0,0.7,0.7,17.1,73.5,1.2,0.6,0.0,0.0
49,Virgil Misidjan,Nuernberg,30,AM,23,1545,1,1,5,0,1.0,74.4,0.7,0,6.35,0.9,0.4,1.5,0.0,0.2,0.9,0.0,0,1.8,2.3,0.4,2.0,2.0,14.4,74.4,0.3,0.4,0.0,0.0
50,Federico Palacios,Nuernberg,29,AM,17,941,2,0,1,0,0.4,81.7,0.5,0,6.31,1.2,0.5,0.5,0.0,0.1,0.6,0.0,0,0.6,0.5,0.2,1.3,1.3,17.4,81.7,0.0,0.3,0.1,0.0
51,Serge Gnabry,Bayern Munich,28,AM,31,2203,12,10,0,0,3.1,82.3,0.2,7,7.49,1.2,0.5,0.5,0.0,0.0,0.6,0.0,0,1.8,0.8,0.5,0.8,0.8,33.1,82.3,0.4,0.6,0.1,1.0
52,Jadon Sancho,Borussia Dortmund,24,AM,32,2292,17,16,2,0,1.6,85.1,0.0,7,7.64,0.4,0.4,0.3,0.0,0.1,0.5,0.0,0,2.4,0.5,0.3,1.0,1.0,47.1,85.1,0.6,0.8,0.1,0.7903225806451613
53,Timo Werner,RB Leipzig,28,AM,34,2809,28,8,4,0,3.6,75.6,0.2,10,7.6,0.6,0.1,0.5,0.0,0.0,0.4,0.0,0,1.7,0.9,1.3,1.0,1.0,27.7,75.6,0.5,0.7,0.0,0.7419354838709677
54,Patrik Schick,RB Leipzig,28,AM,22,1304,10,2,3,0,2.4,72.0,2.7,0,7.06,0.3,0.1,0.7,0.0,0.8,0.3,0.1,0,0.8,1.0,0.4,0.6,0.6,13.5,72.0,0.0,0.1,0.0,0.7419354838709677
55,Yussuf Poulsen,RB Leipzig,29,AM,22,1219,5,6,2,0,1.5,68.2,1.6,0,6.87,0.6,0.2,1.3,0.0,0.7,0.8,0.0,0,0.7,1.3,0.0,1.1,1.1,14.6,68.2,0.1,0.1,0.0,0.7419354838709677
56,Emil Forsberg,RB Leipzig,32,AM,22,1142,5,2,1,0,1.2,80.4,0.4,1,6.71,0.7,0.2,0.5,0.0,0.1,0.9,0.0,0,1.0,0.9,0.1,0.6,0.6,22.7,80.4,0.5,0.7,0.1,0.7419354838709677
57,Daichi Kamada,Eintracht Frankfurt,27,AM,28,1973,2,4,5,0,1.6,79.7,0.4,0,6.71,1.0,0.4,1.0,0.0,0.2,1.2,0.0,0,1.4,1.4,0.3,1.3,1.3,24.1,79.7,0.9,1.0,0.0,0.4032258064516129
58,Josip Brekalo,Wolfsburg,25,AM,30,1678,3,4,0,0,1.4,72.8,0.4,0,6.73,0.6,0.5,0.6,0.0,0.1,0.6,0.0,0,1.3,0.6,0.1,1.5,1.5,23.9,72.8,0.7,1.3,0.1,0.46774193548387094
59,Daniel Ginczek,Wolfsburg,33,AM,18,770,3,1,2,0,1.3,66.3,1.2,0,6.45,0.2,0.1,0.5,0.0,0.2,0.6,0.1,0,0.3,0.5,0.3,0.9,0.9,10.9,66.3,0.1,0.3,0.1,0.46774193548387094
60,Felix Klaus,Wolfsburg,31,AM,23,662,0,1,0,1,0.8,68.9,0.3,0,6.25,1.0,0.1,0.5,0.0,0.2,0.5,0.1,0,0.2,1.0,0.1,0.6,0.6,8.3,68.9,0.2,0.2,0.0,0.46774193548387094
61,Amine Harit,Schalke 04,26,AM,25,2109,6,4,3,0,1.2,83.8,0.3,3,6.91,0.6,0.3,0.8,0.0,0.1,0.8,0.0,0,2.4,2.8,0.3,2.6,2.6,34.9,83.8,0.3,1.4,0.0,0.3064516129032258
62,Benito Raman,Schalke 04,29,AM,25,1613,4,3,2,0,1.4,66.8,0.3,1,6.52,0.7,0.3,0.8,0.0,0.0,0.7,0.0,0,1.0,0.4,0.7,0.8,0.8,12.5,66.8,0.1,0.5,0.0,0.3064516129032258
63,Guido Burgstaller,Schalke 04,35,AM,21,1233,0,1,3,0,1.7,70.3,1.4,0,6.34,0.3,0.2,1.0,0.0,0.5,0.5,0.1,0,0.6,0.9,0.8,1.5,1.5,13.3,70.3,0.0,0.1,0.0,0.3064516129032258
64,Rabbi Matondo,Schalke 04,23,AM,20,1170,2,0,1,0,1.2,68.0,0.4,0,6.3,0.5,0.3,1.1,0.0,0.0,0.5,0.0,0,1.5,0.9,0.8,1.7,1.7,11.3,68.0,0.1,0.2,0.0,0.3064516129032258
65,Marcus Thuram,Borussia M.Gladbach,26,AM,31,2217,10,8,3,0,1.8,69.4,2.5,5,7.3,0.8,0.4,1.7,0.0,0.5,0.6,0.0,0,2.0,2.0,0.6,1.3,1.3,20.2,69.4,0.0,0.1,0.0,0.7258064516129032
66,Alassane Pléa,Borussia M.Gladbach,31,AM,27,2151,10,10,0,2,2.9,75.2,1.1,4,7.24,0.6,0.3,0.9,0.0,0.2,0.7,0.1,0,1.7,1.3,0.6,1.4,1.4,24.9,75.2,0.4,0.6,0.3,0.7258064516129032
