,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
71,Luka Milivojevic,Crystal Palace,33,DM,31,2514,3,1,12,0,1.0,82.0,1.1,2,6.67,2.0,1.4,1.6,0.0,1.2,1.6,0.2,0,0.2,0.9,0.0,0.4,0.4,46.2,82.0,1.0,3.4,0.0,0.28205128205128205
72,John Fleck,Sheffield United,32,DM,30,2518,5,2,8,0,1.0,80.3,0.5,2,6.86,1.2,0.8,0.8,0.0,0.7,1.4,0.1,0,1.5,0.7,0.0,0.6,0.6,33.3,80.3,1.1,1.3,0.1,0.4230769230769231
73,Nemanja Matic,Manchester United,35,DM,20,1102,0,0,2,0,0.3,90.3,1.0,0,6.58,1.3,1.1,0.7,0.1,0.5,0.9,0.3,0,0.9,0.3,0.0,0.4,0.4,50.8,90.3,0.1,2.7,0.0,0.8095238095238095
74,Jorginho,Chelsea,32,DM,28,2014,7,1,2,0,0.5,89.2,0.6,4,6.88,2.0,1.4,1.1,0.0,0.7,1.6,0.2,0,0.6,1.0,0.0,0.5,0.5,63.7,89.2,0.1,2.7,0.1,0.6984126984126984
75,Allan,Everton,33,DM,24,2052,0,0,6,0,0.3,85.6,0.2,0,6.77,3.3,0.8,1.5,0.1,1.0,2.8,0.5,0,1.3,1.3,0.0,0.8,0.8,44.0,85.6,0.0,2.4,0.0,0.5714285714285714
76,Rúben Neves,Wolves,27,DM,36,2680,5,1,8,0,1.9,84.5,0.7,1,6.81,2.4,1.8,1.3,0.1,1.1,1.4,0.3,0,0.3,0.4,0.0,0.4,0.4,54.3,84.5,0.1,5.3,0.0,0.3492063492063492
77,Sean Longstaff,Newcastle,26,DM,22,1406,0,1,2,0,0.7,81.5,0.5,0,6.36,1.4,0.9,1.0,0.0,0.6,1.1,0.2,0,0.2,1.0,0.0,0.3,0.3,25.4,81.5,0.3,2.3,0.0,0.3492063492063492
78,Luka Milivojevic,Crystal Palace,33,DM,31,2365,1,1,8,1,0.6,83.0,1.1,1,6.55,2.1,1.1,1.2,0.0,1.5,1.1,0.2,0,0.3,1.1,0.0,0.6,0.6,41.7,83.0,0.5,2.4,0.0,0.3333333333333333
79,Oriol Romeu,Southampton,32,DM,21,1768,1,1,6,0,0.7,82.6,1.5,2,6.93,3.3,1.4,1.4,0.0,0.7,2.0,0.3,0,0.7,1.1,0.0,0.9,0.9,60.7,82.6,0.1,1.8,0.0,0.31746031746031744
80,Ibrahima Diallo,Southampton,25,DM,22,1012,0,0,3,0,0.3,85.0,0.5,0,6.22,1.3,0.5,1.0,0.0,0.5,0.3,0.0,0,0.5,0.5,0.0,0.7,0.7,26.7,85.0,0.0,0.7,0.0,0.31746031746031744
81,Ashley Westwood,Burnley,34,DM,38,3411,3,3,7,0,0.5,78.7,0.4,0,6.63,0.6,1.2,0.9,0.0,0.8,0.8,0.2,0,0.3,1.1,0.0,0.3,0.3,53.8,78.7,1.2,4.2,0.0,0.25396825396825395
