,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
22,Kai Havertz,Bayer Leverkusen,24,M,34,2901,17,3,2,0,2.6,87.2,1.6,2,7.25,0.8,0.5,0.7,0.0,0.8,0.7,0.1,0,1.4,1.5,0.1,2.0,2.0,52.6,87.2,0.1,2.2,0.1,0.6610169491525424
23,Charles Aránguiz,Bayer Leverkusen,35,M,24,1897,2,7,3,0,1.0,88.6,0.5,2,7.0,2.0,1.0,1.1,0.0,1.0,1.9,0.1,0,0.4,1.3,0.0,1.1,1.1,67.8,88.6,0.5,3.3,0.0,0.6610169491525424
24,Leon Bailey,Bayer Leverkusen,26,M,29,1921,5,1,4,0,1.9,74.4,0.4,0,6.9,0.5,0.5,0.6,0.0,0.3,0.5,0.0,0,1.8,1.2,0.2,1.5,1.5,26.2,74.4,1.3,0.8,0.0,0.6610169491525424
25,Karim Bellarabi,Bayer Leverkusen,34,M,19,1061,5,4,4,1,2.2,74.8,0.1,1,6.9,0.7,0.5,0.8,0.0,0.3,0.8,0.0,0,1.1,0.7,0.2,1.5,1.5,22.1,74.8,0.6,0.6,0.1,0.6610169491525424
26,Nabil Bentaleb,Schalke 04,29,M,25,1792,3,0,4,0,0.8,79.3,1.5,2,6.73,1.3,1.4,1.2,0.0,0.7,0.6,0.3,0,0.8,0.6,0.0,0.5,0.5,36.0,79.3,0.6,2.0,0.0,0.23728813559322035
27,Suat Serdar,Schalke 04,27,M,26,1737,2,1,3,2,1.2,71.6,0.8,1,6.58,2.0,0.9,1.5,0.0,0.2,1.3,0.2,0,1.4,1.1,0.1,1.4,1.4,16.8,71.6,0.0,0.7,0.0,0.23728813559322035
28,Ondrej Duda,Hertha Berlin,29,M,32,2575,11,5,7,0,1.7,76.9,1.0,5,7.02,1.7,0.5,2.4,0.0,0.4,1.3,0.1,0,1.2,1.4,0.2,1.3,1.3,37.6,76.9,0.5,1.4,0.1,0.4067796610169492
29,Mathew Leckie,Hertha Berlin,33,M,18,940,2,0,3,0,1.2,68.7,2.7,0,6.68,1.1,0.7,1.0,0.0,0.7,0.5,0.1,0,0.6,1.0,0.2,1.0,1.0,18.6,68.7,0.3,0.3,0.1,0.4067796610169492
30,Arne Maier,Hertha Berlin,25,M,24,2069,0,0,2,0,0.8,86.7,0.9,0,6.65,1.3,1.2,0.7,0.0,1.4,0.8,0.4,0,0.9,0.6,0.0,0.5,0.5,49.0,86.7,0.1,1.8,0.0,0.4067796610169492
31,Maximilian Arnold,Wolfsburg,29,M,33,2879,2,6,7,0,1.6,80.8,0.8,2,7.11,1.6,1.1,1.4,0.0,1.3,1.2,0.3,0,0.8,2.5,0.1,0.9,0.9,39.6,80.8,1.0,4.7,0.1,0.6101694915254238
32,Admir Mehmedi,Wolfsburg,33,M,26,1700,6,5,1,0,1.4,76.4,1.1,1,6.96,1.8,0.5,1.1,0.0,0.2,1.0,0.0,0,0.5,1.5,0.7,1.1,1.1,26.0,76.4,0.8,1.0,0.1,0.6101694915254238
33,Renato Steffen,Wolfsburg,32,M,31,1507,5,1,4,0,0.9,76.0,0.7,0,6.57,0.8,0.5,0.6,0.0,0.4,0.3,0.1,0,0.6,0.9,0.1,0.5,0.5,16.7,76.0,0.3,1.0,0.0,0.6101694915254238
34,Elvis Rexhbeçaj,Wolfsburg,26,M,24,1144,2,2,4,0,0.4,70.7,1.0,0,6.53,1.2,0.6,0.5,0.0,0.7,0.5,0.1,0,0.4,1.4,0.0,0.8,0.8,16.1,70.7,0.2,0.9,0.0,0.6101694915254238
35,Yunus Malli,Wolfsburg,32,M,21,689,1,1,0,0,0.4,77.7,0.3,0,6.34,0.7,0.2,0.3,0.0,0.0,0.4,0.0,0,0.4,0.3,0.1,0.6,0.6,15.1,77.7,0.5,0.4,0.0,0.6101694915254238
36,Max Kruse,Werder Bremen,36,M,32,2837,11,9,0,0,2.8,79.1,0.8,5,7.23,0.5,0.3,0.7,0.0,0.2,1.0,0.0,0,1.2,1.0,0.2,1.4,1.4,49.9,79.1,1.7,3.4,0.1,0.576271186440678
37,Maximilian Eggestein,Werder Bremen,27,M,34,3053,5,4,4,0,1.3,80.5,1.3,2,6.98,2.0,0.9,1.1,0.1,1.9,0.9,0.3,0,0.4,1.2,0.0,1.1,1.1,45.8,80.5,0.2,1.4,0.1,0.576271186440678
38,Nuri Sahin,Werder Bremen,35,M,20,1487,1,1,5,0,0.6,86.3,1.4,1,6.91,3.0,1.9,1.4,0.2,2.0,1.8,0.2,0,0.5,0.5,0.0,0.7,0.7,54.2,86.3,0.3,2.0,0.0,0.576271186440678
39,Davy Klaassen,Werder Bremen,31,M,33,2823,5,4,5,0,1.0,74.5,0.9,2,6.89,1.9,1.4,1.4,0.1,1.2,1.1,0.3,0,0.5,0.7,0.0,0.5,0.5,36.0,74.5,0.3,1.4,0.0,0.576271186440678
40,Martin Harnik,Werder Bremen,36,M,18,829,4,2,2,0,1.6,63.0,1.2,0,6.58,0.7,0.2,0.9,0.1,0.4,0.6,0.0,0,0.3,0.3,0.4,0.5,0.5,14.3,63.0,0.1,0.4,0.0,0.576271186440678
41,Kevin Möhwald,Werder Bremen,30,M,23,863,3,1,2,0,0.9,81.7,0.5,0,6.5,0.7,0.7,0.7,0.0,0.6,0.7,0.0,0,0.4,1.0,0.0,0.4,0.4,21.2,81.7,0.0,0.9,0.0,0.576271186440678
42,Kevin Stöger,Fortuna Duesseldorf,30,M,25,2121,1,7,8,0,1.3,85.0,0.2,3,7.17,2.5,1.2,1.9,0.1,0.6,1.5,0.2,0,1.1,2.4,0.0,1.0,1.0,54.8,85.0,1.2,5.4,0.2,0.423728813559322
43,Oliver Fink,Fortuna Duesseldorf,41,M,18,1058,3,0,4,0,0.7,58.6,3.9,0,6.74,2.1,0.7,1.4,0.0,1.1,1.4,0.2,0,0.5,1.1,0.2,1.3,1.3,21.3,58.6,0.1,0.4,0.0,0.423728813559322
44,Janik Haberer,Freiburg,30,M,27,2343,1,3,4,1,1.0,79.2,2.0,1,6.89,2.6,1.3,1.7,0.0,1.8,1.7,0.1,0,0.9,1.7,0.1,1.5,1.5,38.7,79.2,0.2,2.3,0.0,0.288135593220339
