,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
206,Jordi Masip,Real Valladolid,35,GK,35,3150,0,0,1,0,0.0,44.5,0.1,3,6.57,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.1,44.5,0.0,8.2,0.0,0.16363636363636364
207,Marc-André ter Stegen,Barcelona,32,GK,36,3240,0,2,1,0,0.0,86.4,0.3,0,6.66,0.1,0.1,0.0,0.0,0.7,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,34.8,86.4,0.0,6.2,0.0,0.9193548387096774
208,Thibaut Courtois,Real Madrid,31,GK,34,3060,0,0,1,0,0.0,75.1,0.1,0,6.84,0.0,0.1,0.0,0.0,0.6,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,25.9,75.1,0.0,2.9,0.0,1.0
209,Álex Remiro,Real Sociedad,29,GK,25,2250,0,0,0,0,0.0,72.6,0.3,0,6.61,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,33.5,72.6,0.0,7.2,0.0,0.5
210,Sergio Asenjo,Villarreal,34,GK,34,3060,0,0,2,0,0.0,67.5,0.2,1,6.83,0.0,0.0,0.1,0.0,0.7,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,25.7,67.5,0.0,5.1,0.0,0.5645161290322581
211,Joel Robles,Real Betis,33,GK,33,2888,0,0,3,1,0.0,69.9,0.2,2,6.42,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,30.6,69.9,0.0,5.0,0.0,0.25806451612903225
212,Jan Oblak,Atletico Madrid,31,GK,38,3396,0,0,0,0,0.0,54.9,0.1,0,6.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,22.1,54.9,0.0,6.8,0.0,0.7258064516129032
213,Fernando Pacheco,Deportivo Alaves,31,GK,27,2359,0,0,0,1,0.0,53.5,0.1,1,6.52,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,26.8,53.5,0.0,10.6,0.0,0.22580645161290322
214,Tomás Vaclík,Sevilla,35,GK,33,2926,0,0,0,0,0.0,66.5,0.2,0,6.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,23.4,66.5,0.0,5.0,0.0,0.7258064516129032
215,Unai Simón,Athletic Club,26,GK,34,2992,0,0,2,1,0.0,55.2,0.3,3,6.64,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,28.3,55.2,0.0,9.9,0.0,0.41935483870967744
216,Sergio Herrera,Osasuna,30,GK,19,1655,0,0,2,1,0.0,40.1,0.3,0,6.55,0.1,0.1,0.1,0.0,0.9,0.2,0.0,0,0.2,0.4,0.0,0.0,0.0,28.2,40.1,0.0,8.5,0.0,0.43548387096774194
217,Rubén Martínez,Osasuna,39,GK,19,1583,0,0,0,0,0.0,45.5,0.3,0,6.28,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0,0.1,0.1,0.0,0.0,0.0,24.1,45.5,0.0,7.4,0.0,0.43548387096774194
218,Rubén Blanco,Celta Vigo,28,GK,33,2961,0,0,4,0,0.0,58.5,0.3,2,6.61,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,26.1,58.5,0.0,6.4,0.0,0.1935483870967742
219,Jasper Cillessen,Valencia,35,GK,24,2097,0,1,1,0,0.0,56.8,0.3,1,6.72,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,25.9,56.8,0.0,5.6,0.0,0.45161290322580644
220,Aitor Fernández,Levante,33,GK,36,3240,0,0,2,0,0.0,61.5,0.4,2,6.97,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0,0.0,0.1,0.0,0.1,0.1,25.3,61.5,0.0,5.9,0.0,0.3870967741935484
