,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
209,Manu Vallejo,Valencia,27,FW,30,940,5,0,2,0,0.6,76.8,0.3,0,6.33,0.6,0.1,0.5,0.0,0.1,0.7,0.0,0,0.3,0.7,0.1,0.4,0.4,8.2,76.8,0.1,0.2,0.0,0.23214285714285715
210,Youssef En-Nesyri,Sevilla,26,FW,38,2314,18,0,2,0,2.1,68.2,2.5,6,6.87,0.4,0.2,0.7,0.0,0.6,0.4,0.0,0,0.4,0.9,0.7,0.6,0.6,9.9,68.2,0.0,0.2,0.0,0.8392857142857143
211,Kike García,Eibar,34,FW,37,3105,12,2,2,1,2.4,68.1,5.1,3,6.95,0.6,0.2,1.8,0.0,0.8,0.4,0.0,0,1.0,2.5,0.4,1.7,1.7,22.5,68.1,0.2,0.5,0.0,0.0
212,Sergi Enrich,Eibar,34,FW,27,1402,3,0,1,0,1.7,76.9,3.2,1,6.58,0.8,0.2,1.1,0.1,0.2,0.5,0.0,0,0.3,0.7,0.3,0.7,0.7,16.2,76.9,0.1,0.6,0.0,0.0
213,Yoshinori Muto,Eibar,31,FW,26,1122,1,1,1,0,0.8,68.7,1.5,0,6.31,0.5,0.1,1.1,0.0,0.0,0.2,0.0,0,0.6,0.6,0.3,1.1,1.1,8.3,68.7,0.0,0.1,0.0,0.0
214,Guido Carrillo,Elche,32,FW,21,1001,3,2,3,0,1.2,71.7,4.0,1,6.66,0.4,0.2,1.3,0.0,0.7,0.3,0.0,0,0.4,0.7,0.1,0.5,0.5,14.3,71.7,0.0,0.4,0.0,0.10714285714285714
215,Enes Ünal,Getafe,26,FW,28,1322,4,2,4,0,1.4,59.3,3.7,1,6.55,0.4,0.1,1.4,0.0,0.5,0.4,0.0,0,0.6,1.3,0.2,1.3,1.3,12.1,59.3,0.0,0.2,0.0,0.14285714285714285
216,Ángel Rodríguez,Getafe,37,FW,33,1364,5,0,4,0,1.2,69.7,0.7,1,6.19,0.2,0.1,0.8,0.0,0.2,0.5,0.0,0,0.3,0.7,0.4,0.8,0.8,8.4,69.7,0.0,0.3,0.0,0.14285714285714285
217,Ante Budimir,Osasuna,32,FW,30,1622,11,0,3,0,1.6,60.1,4.5,4,6.79,0.7,0.1,1.0,0.0,0.5,0.4,0.1,0,0.4,1.0,0.6,1.1,1.1,13.0,60.1,0.0,0.1,0.0,0.25
218,Jonathan Calleri,Osasuna,30,FW,25,1559,5,2,4,0,1.9,61.5,3.6,3,6.64,0.6,0.0,1.7,0.0,0.4,0.6,0.1,0,0.7,1.6,0.7,1.2,1.2,13.7,61.5,0.0,0.1,0.0,0.25
219,Enric Gallego,Osasuna,37,FW,22,803,0,2,2,0,0.6,58.9,3.4,0,6.28,0.3,0.0,1.4,0.0,0.4,0.5,0.0,0,0.3,0.5,0.2,0.4,0.4,11.3,58.9,0.0,0.1,0.0,0.25
220,Marcos André,Real Valladolid,27,FW,23,1171,4,1,3,0,1.4,60.8,1.8,2,6.5,0.3,0.1,1.1,0.1,0.4,0.3,0.1,0,0.6,1.1,0.3,0.7,0.7,8.1,60.8,0.0,0.2,0.0,0.017857142857142856
221,Shon Weissman,Real Valladolid,28,FW,32,2139,6,1,3,0,1.2,73.7,0.8,2,6.41,0.4,0.3,0.9,0.0,0.2,0.7,0.1,0,0.3,0.5,0.7,0.4,0.4,10.3,73.7,0.0,0.1,0.1,0.017857142857142856
222,Sergi Guardiola,Real Valladolid,32,FW,29,1795,1,2,5,0,1.2,67.0,2.0,0,6.37,0.4,0.2,1.3,0.0,0.6,0.9,0.0,0,0.9,1.4,0.4,1.4,1.4,17.2,67.0,0.2,0.7,0.0,0.017857142857142856
