,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Michael Oliver,30,21.33,0.63,0.37,2.9,87,0.03,1
1,Paul Tierney,30,20.97,0.58,0.17,3.8,114,0.07,2
2,Anthony Taylor,30,19.87,0.57,0.17,3.8,114,0.13,4
3,Simon Hooper,29,20.66,0.59,0.21,3.45,100,0.03,1
4,Robert Jones,26,22.81,0.68,0.46,4.12,107,0.0,0
5,Stuart Attwell,25,20.12,0.61,0.2,3.24,81,0.08,2
6,Andy Madley,24,22.71,0.7,0.17,3.54,85,0.13,3
7,Craig Pawson,21,23.9,0.66,0.33,3.76,79,0.05,1
8,Peter Bankes,21,23.05,0.66,0.05,4.33,91,0.0,0
9,David Coote,21,23.48,0.73,0.29,3.67,77,0.14,3
10,John Brooks,19,22.11,0.68,0.32,4.26,81,0.05,1
11,Darren England,18,21.22,0.67,0.33,3.61,65,0.11,2
12,Jarred Gillett,17,18.0,0.56,0.29,2.71,46,0.06,1
13,Michael Salisbury,15,23.33,0.64,0.07,4.4,66,0.2,3
14,Andre Marriner,13,19.15,0.56,0.31,3.54,46,0.15,2
15,Chris Kavanagh,13,20.77,0.59,0.46,3.15,41,0.0,0
16,Thomas Bramall,8,24.38,0.72,0.38,3.0,24,0.0,0
17,Graham Scott,6,19.83,0.67,0.5,2.17,13,0.33,2
18,Tony Harrington,6,22.0,0.54,0.33,3.83,23,0.0,0
19,Darren Bond,4,19.75,0.62,0.0,4.0,16,0.25,1
20,Tim Robinson,2,28.5,0.97,0.0,4.5,9,0.0,0
21,Robert Madley,1,27.0,0.79,0.0,6.0,6,1.0,1
22,Josh Smith,1,25.0,0.89,1.0,3.0,3,0.0,0
