,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Michael Oliver,28,22.36,0.71,0.68,2.96,83,0.11,3
1,Anthony Taylor,28,20.68,0.66,0.54,2.64,74,0.11,3
2,Martin Atkinson,26,18.77,0.62,0.08,2.38,62,0.08,2
3,Mike Dean,25,22.72,0.74,0.36,3.64,91,0.32,8
4,Jonathan Moss,25,20.16,0.69,0.16,2.56,64,0.08,2
5,Andre Marriner,25,18.76,0.63,0.36,2.36,59,0.04,1
6,Kevin Friend,25,20.24,0.65,0.28,2.32,58,0.12,3
7,Stuart Attwell,23,22.22,0.65,0.35,3.87,89,0.17,4
8,Craig Pawson,23,24.04,0.76,0.3,3.43,79,0.13,3
9,Chris Kavanagh,22,22.68,0.76,0.27,2.77,61,0.09,2
10,Paul Tierney,21,24.71,0.77,0.24,3.9,82,0.14,3
11,David Coote,21,23.95,0.75,0.43,3.1,65,0.14,3
12,Andy Madley,16,24.94,0.84,0.31,2.56,41,0.06,1
13,Peter Bankes,16,20.81,0.67,0.13,3.06,49,0.25,4
14,Graham Scott,13,21.15,0.73,0.38,2.46,32,0.31,4
15,Simon Hooper,12,23.42,0.69,0.42,2.42,29,0.0,0
16,Lee Mason,11,20.45,0.68,0.27,1.82,20,0.0,0
17,Darren England,11,22.0,0.73,0.18,3.18,35,0.0,0
18,Robert Jones,9,21.44,0.71,0.33,2.33,21,0.22,2
