,Team,P,W,D,L,GF,GA,GD,Pts
0,Bayern Munich,34,26,4,4,100,32,+68,82
1,Borussia Dortmund,34,21,6,7,84,41,+43,69
2,RB Leipzig,34,18,12,4,81,37,+44,66
3,Borussia M.Gladbach,34,20,5,9,66,40,+26,65
4,Bayer Leverkusen,34,19,6,9,61,44,+17,63
5,Hoffenheim,34,15,7,12,53,53,0,52
6,Wolfsburg,34,13,10,11,48,46,+2,49
7,Freiburg,34,13,9,12,48,47,+1,48
8,Eintracht Frankfurt,34,13,6,15,59,60,-1,45
9,Hertha Berlin,34,11,8,15,48,59,-11,41
10,Union Berlin,34,12,5,17,41,58,-17,41
11,Schalke 04,34,9,12,13,38,58,-20,39
12,Mainz 05,34,11,4,19,44,65,-21,37
13,FC Koln,34,10,6,18,51,69,-18,36
14,Augsburg,34,9,9,16,45,63,-18,36
15,Werder Bremen,34,8,7,19,42,69,-27,31
16,Fortuna Duesseldorf,34,6,12,16,36,67,-31,30
17,Paderborn,34,4,8,22,37,74,-37,20
